tree ID,date ,pd or md,lwc_bulk,lwc_leaf,leaf_number,dry scan area,bulk or individual leaf,notes
12,3/8/22,pd,NA,1.53688525,7,,,
12,3/8/22,pd,NA,1.44108527,8,,,
20,3/8/22,pd,NA,2.26625,1,,,
20,3/8/22,pd,NA,2.63653846,2,,,
20,3/8/22,pd,NA,2.33626374,3,,,
20,3/8/22,pd,NA,1.95285714,4,,,
20,3/8/22,pd,NA,2.21923077,5,,,
20,3/8/22,pd,NA,2.42658228,6,,,
20,3/8/22,pd,NA,2.23544304,7,,,
20,3/8/22,pd,NA,2.14939759,8,,,
2004,3/8/22,pd,2.03,2.00769231,1,,,
2004,3/8/22,pd,2.03,2.13529412,2,,,
2004,3/8/22,pd,2.03,1.975,3,,,
2004,3/8/22,pd,2.03,1.96153846,4,,,
2005,3/8/22,pd,2.06253165,2.02631579,1,,,
2005,3/8/22,pd,2.06253165,2.09382716,2,,,
2006,3/8/22,pd,2.12273642,1.94,1,,,
2006,3/8/22,pd,2.12273642,2.01470588,2,,,
2007,3/8/22,pd,1.59406061,1.45681818,1,,,
2007,3/8/22,pd,1.59406061,1.7025641,2,,,
2007,3/8/22,pd,1.59406061,1.52941176,3,,,
2301,3/8/22,pd,0.74195897,0.69226519,1,,,
2301,3/8/22,pd,0.74195897,0.7310219,2,,,
2331,3/8/22,pd,0.67552966,0.6489899,1,,,
2331,3/8/22,pd,0.67552966,0.68818182,2,,,
2343,3/8/22,pd,2.07234043,NA,1,2.829,bulk,
2343,3/8/22,pd,2.07234043,NA,2,2.829,bulk,
2343,3/8/22,pd,2.07234043,NA,3,2.829,bulk,
2352,3/8/22,pd,0.63353752,0.63815789,1,74.241,bulk,
2352,3/8/22,pd,0.63353752,0.62307692,2,74.241,bulk,
2352,3/8/22,pd,0.63353752,1.82105263,3,74.241,bulk,
2354,3/8/22,pd,0.66937574,0.63859649,1,,,
2354,3/8/22,pd,0.66937574,0.67961783,2,,,
2354,3/8/22,pd,0.66937574,0.69724771,3,,,
2354,3/8/22,pd,0.66937574,0.7,4,,,
2365,3/8/22,pd,1.79320388,NA,1,11.126,bulk,
2365,3/8/22,pd,1.79320388,NA,2,11.126,bulk,
2365,3/8/22,pd,1.79320388,NA,3,11.126,bulk,
2366,3/8/22,pd,1.80352423,NA,1,11.75,bulk,
2366,3/8/22,pd,1.80352423,NA,2,11.75,bulk,
2367,3/8/22,pd,1.97326733,NA,1,5.581,bulk,
2367,3/8/22,pd,1.97326733,NA,2,5.581,bulk,
2369,3/8/22,pd,1.2233871,NA,1,6.436,bulk,new leaves
2369,3/8/22,pd,1.2233871,NA,2,6.436,bulk,new leaves
2373,3/8/22,pd,1.93650794,NA,1,,,
2373,3/8/22,pd,1.93650794,NA,2,,,
2374,3/8/22,pd,1.37008547,NA,1,,,
2374,3/8/22,pd,1.37008547,NA,2,,,
2374,3/8/22,pd,1.37008547,NA,3,,,
2374,3/8/22,pd,1.37008547,NA,4,,,
2376,3/8/22,pd,0.68563312,0.70520231,1,,,
2376,3/8/22,pd,0.68563312,0.70781671,2,,,
2376,3/8/22,pd,0.68563312,0.69384058,3,,,
2378,3/8/22,pd,1.37874618,1.36031746,1,,,
2378,3/8/22,pd,1.37874618,1.32473118,2,,,
2378,3/8/22,pd,1.37874618,1.33768116,3,,,
2381,3/8/22,pd,1.91173709,NA,1,45.964,bulk,
2381,3/8/22,pd,1.91173709,NA,2,45.964,bulk,
2382,3/8/22,pd,2.02568807,NA,1,29.607,bulk,
2382,3/8/22,pd,2.02568807,NA,2,29.607,bulk,
2382,3/8/22,pd,2.02568807,NA,3,29.607,bulk,
2383,3/8/22,pd,1.34197248,1.45116279,1,,,
2383,3/8/22,pd,1.34197248,1.33529412,2,,,
2383,3/8/22,pd,1.34197248,1.31111111,3,,,
2346,3/15/22,md,0.69120879,0.68979592,1,22.216,bulk,
2346,3/15/22,md,0.69120879,0.69090909,2,22.216,bulk,
2346,3/15/22,md,0.69120879,0.74,3,22.216,bulk,
2346,3/15/22,md,0.69120879,1.23584906,4,22.216,bulk,
2347,3/15/22,md,1.73238636,1.43333333,1,10.487,bulk,
2347,3/15/22,md,1.73238636,13.66,2,10.487,bulk,
2347,3/15/22,md,1.73238636,1.48333333,3,10.487,bulk,
2347,3/15/22,md,1.73238636,1.5,4,10.487,bulk,
2349,3/15/22,md,0.64408602,0.64615385,1,20.557,bulk,
2349,3/15/22,md,0.64408602,0.65142857,2,20.557,bulk,
2365,3/15/22,md,1.46396396,1.255,1,29.099,bulk,
2365,3/15/22,md,1.46396396,1.44074074,2,29.099,bulk,
2365,3/15/22,md,1.46396396,1.41632653,3,29.099,bulk,
2365,3/15/22,md,1.46396396,1.4,4,29.099,bulk,
2365,3/15/22,md,1.46396396,0.795,5,29.099,bulk,
2367,3/15/22,md,1.46428571,1.48387097,1,10.042,bulk,
2367,3/15/22,md,1.46428571,1.73076923,2,10.042,bulk,
2367,3/15/22,md,1.46428571,1.48787879,3,10.042,bulk,
2367,3/15/22,md,1.46428571,1.51153846,4,10.042,bulk,
2369,3/15/22,md,1.48636364,0.71842105,1,,,
2369,3/15/22,md,1.48636364,1.19310345,2,,,
2369,3/15/22,md,1.48636364,1.31481481,3,,,
2369,3/15/22,md,1.48636364,1.43,4,,,
2369,3/15/22,md,1.48636364,1.39545455,5,,,
2381,3/15/22,md,1.06422018,1.2877193,1,24.538,bulk,
2381,3/15/22,md,1.06422018,1.445,2,24.538,bulk,
2381,3/15/22,md,1.06422018,1.17419355,3,24.538,bulk,
2381,3/15/22,md,1.06422018,1.31940299,4,24.538,bulk,
2382,3/15/22,md,0.97915493,0.97473684,1,38.065,bulk,
2382,3/15/22,md,0.97915493,0.91386139,2,38.065,bulk,
2384,3/15/22,md,1.1,1.05348837,1,18.573,bulk,
2384,3/15/22,md,1.1,1.07746479,2,18.573,bulk,
2384,3/15/22,md,1.1,1.21,3,18.573,bulk,
2384,3/15/22,md,1.1,1.03695652,4,18.573,bulk,
2384,3/15/22,md,1.1,1.05,5,18.573,bulk,
10,3/15/22,pd,1.43159379,1.51929825,1,,,
10,3/15/22,pd,1.43159379,2.05137615,2,,,
10,3/15/22,pd,1.43159379,1.16531532,3,,,
10,3/15/22,pd,1.43159379,1.52297297,4,,,
10,3/15/22,pd,1.43159379,1.79495798,5,,,
2020,3/15/22,pd,1.12927632,1,1,50.759,bulk,
2020,3/15/22,pd,1.12927632,1.08849558,2,50.759,bulk,
2020,3/15/22,pd,1.12927632,1.05242718,3,50.759,bulk,
2020,3/15/22,pd,1.12927632,1.09705882,4,50.759,bulk,
2021,3/15/22,pd,1.392891,1.28,1,37.23,bulk,
2021,3/15/22,pd,1.392891,1.48852459,2,37.23,bulk,
2021,3/15/22,pd,1.392891,1.56666667,3,37.23,bulk,
2022,3/15/22,pd,0.78919182,0.97032258,1,91.539,bulk,
2022,3/15/22,pd,0.78919182,0.7162037,2,91.539,bulk,
2022,3/15/22,pd,0.78919182,0.92484076,3,91.539,bulk,
2022,3/15/22,pd,0.78919182,0.92388889,4,91.539,bulk,
2023,3/15/22,pd,0.9068595,1.04125874,1,107.816,bulk,
2023,3/15/22,pd,0.9068595,1.15904255,2,107.816,bulk,
2023,3/15/22,pd,0.9068595,0.67471264,3,107.816,bulk,
2023,3/15/22,pd,0.9068595,0.64705882,4,107.816,bulk,
2024,3/15/22,pd,1.62042553,1.39568966,1,38.482,bulk,
2024,3/15/22,pd,1.62042553,1.51604938,2,38.482,bulk,
2024,3/15/22,pd,1.62042553,1.56164384,3,38.482,bulk,
2024,3/15/22,pd,1.62042553,1.177,4,38.482,bulk,
2025,3/15/22,pd,1.19823009,1.194,1,29.397,bulk,
2025,3/15/22,pd,1.19823009,1.162,2,29.397,bulk,
2025,3/15/22,pd,1.19823009,1.3109375,3,29.397,bulk,
2025,3/15/22,pd,1.19823009,1.16,4,29.397,bulk,
2026,3/15/22,pd,1.55218855,1.66,1,47.453,bulk,
2026,3/15/22,pd,1.55218855,1.50377358,2,47.453,bulk,
2026,3/15/22,pd,1.55218855,1.51184211,3,47.453,bulk,
2026,3/15/22,pd,1.55218855,1.42941176,4,47.453,bulk,
2027,3/15/22,pd,1.38428571,0.22405063,1,33.226,bulk,
2027,3/15/22,pd,1.38428571,0.01914894,2,33.226,bulk,
2027,3/15/22,pd,1.38428571,1.44705882,3,33.226,bulk,
2027,3/15/22,pd,1.38428571,NA,4,33.226,bulk,
2027,3/15/22,pd,1.38428571,NA,5,33.226,bulk,
2027,3/15/22,pd,1.38428571,NA,6,33.226,bulk,
2089,3/15/22,pd,0.63358779,0.63783784,1,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.58288889,2,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.65076923,3,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.609375,4,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.68589744,5,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.64868421,6,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.6184,7,114.918,bulk,
2089,3/15/22,pd,0.63358779,0.62393162,8,114.918,bulk,
2091,3/15/22,pd,0.65599473,0.69910314,1,68.857,bulk,
2091,3/15/22,pd,0.65599473,0.71814346,2,68.857,bulk,
2091,3/15/22,pd,0.65599473,0.69949749,3,68.857,bulk,
2092,3/15/22,pd,0.63932039,0.62447552,1,64.057,bulk,
2092,3/15/22,pd,0.63932039,0.70969697,2,64.057,bulk,
2092,3/15/22,pd,0.63932039,0.64335664,3,64.057,bulk,
2093,3/15/22,pd,0.55614407,0.55189873,1,56.156,bulk,
2093,3/15/22,pd,0.55614407,0.54235808,2,56.156,bulk,
2093,3/15/22,pd,0.55614407,0.57808989,3,56.156,bulk,
2093,3/15/22,pd,0.55614407,0.59210526,4,56.156,bulk,
2346,3/15/22,pd,0.75064103,0.70461538,1,20.97,bulk,
2346,3/15/22,pd,0.75064103,0.67536232,2,20.97,bulk,
2346,3/15/22,pd,0.75064103,1.29375,3,20.97,bulk,
2346,3/15/22,pd,0.75064103,NA,4,20.97,bulk,
2349,3/15/22,pd,NA,0.64242424,1,4.431,bulk,
2349,3/15/22,pd,NA,0.54545455,2,4.431,bulk,
2365,3/15/22,pd,1.45945946,1.5,1,11.812,bulk,
2365,3/15/22,pd,1.45945946,1.4862069,2,11.812,bulk,
2365,3/15/22,pd,1.45945946,1.45416667,3,11.812,bulk,
2365,3/15/22,pd,1.45945946,1.5,4,11.812,bulk,
2365,3/15/22,pd,1.45945946,NA,5,11.812,bulk,
2369,3/15/22,pd,1.43409091,1.4875,1,17.08,bulk,
2369,3/15/22,pd,1.43409091,1.24444444,2,17.08,bulk,
2369,3/15/22,pd,1.43409091,1.23636364,3,17.08,bulk,
2381,3/15/22,pd,1.50333333,1.44827586,1,22.318,bulk,
2381,3/15/22,pd,1.50333333,1.66590909,2,22.318,bulk,
2381,3/15/22,pd,1.50333333,1.54736842,3,22.318,bulk,
2381,3/15/22,pd,1.50333333,1.25714286,4,22.318,bulk,
2381,3/15/22,pd,1.50333333,1.56666667,5,22.318,bulk,
2382,3/15/22,pd,1.17839721,1.1195122,1,35.894,bulk,
2382,3/15/22,pd,1.17839721,1.153,2,35.894,bulk,
2343,3/23/22,pd,2.135,2.135,1,,,
2343,3/23/22,pd,2.135,NA,1,,,
2343,3/23/22,pd,NA,2.135,1,,,
2343,3/23/22,pd,NA,2.135,2,,,
2343,3/23/22,pd,2.135,NA,2,,,
2343,3/23/22,pd,2.135,2.135,2,,,
2343,3/23/22,pd,2.135,2.135,3,,,
2343,3/23/22,pd,2.135,NA,3,,,
2343,3/23/22,pd,NA,2.135,3,,,
2343,3/23/22,pd,2.135,2.135,4,,,
2343,3/23/22,pd,2.135,NA,4,,,
2343,3/23/22,pd,NA,2.135,4,,,
2346,3/23/22,pd,NA,1.71511628,1,,,
2346,3/23/22,pd,1.71511628,NA,1,,,
2346,3/23/22,pd,1.71511628,1.71511628,1,,,
2346,3/23/22,pd,1.71511628,1.71511628,2,,,
2346,3/23/22,pd,1.71511628,NA,2,,,
2346,3/23/22,pd,NA,1.71511628,2,,,
2365,3/23/22,pd,NA,1.41151685,1,,,
2365,3/23/22,pd,1.41151685,NA,1,,,
2365,3/23/22,pd,1.41151685,1.41151685,1,,,
2365,3/23/22,pd,NA,1.41151685,2,,,
2365,3/23/22,pd,1.41151685,NA,2,,,
2365,3/23/22,pd,1.41151685,1.41151685,2,,,
2365,3/23/22,pd,NA,1.41151685,3,,,
2365,3/23/22,pd,1.41151685,NA,3,,,
2365,3/23/22,pd,1.41151685,1.41151685,3,,,
2009,3/25/22,md,1.13333333,1.13333333,1,,,
2009,3/25/22,md,1.13333333,1.13333333,2,,,
2009,3/25/22,md,1.13333333,1.13333333,3,,,
2009,3/25/22,md,1.13333333,1.13333333,4,,,
2301,3/25/22,md,0.7362356,0.7362356,1,41.288,,
2301,3/25/22,md,0.7362356,0.7362356,2,41.288,,
2301,3/25/22,md,0.7362356,0.7362356,3,41.288,,
2301,3/25/22,md,0.7362356,0.7362356,4,41.288,,
2301,3/25/22,md,0.7362356,0.7362356,5,41.288,,
2331,3/25/22,md,0.67851623,-0.5278261,1,30.13,,
2331,3/25/22,md,0.67851623,0.67851623,1,30.13,,
2331,3/25/22,md,0.67851623,-0.5278261,2,30.13,,
2331,3/25/22,md,0.67851623,0.67851623,2,30.13,,
2331,3/25/22,md,0.67851623,-0.5278261,3,30.13,,
2331,3/25/22,md,0.67851623,0.67851623,3,30.13,,
2343,3/25/22,md,1.65564738,1.65564738,1,25.838,,
2343,3/25/22,md,1.65564738,1.65564738,2,25.838,,
2343,3/25/22,md,1.65564738,1.65564738,3,25.838,,
2343,3/25/22,md,1.65564738,1.65564738,4,25.838,,
2346,3/25/22,md,1.18421053,1.18421053,1,5.041,,
2346,3/25/22,md,1.18421053,1.18421053,2,5.041,,
2346,3/25/22,md,1.18421053,1.18421053,3,5.041,,
2346,3/25/22,md,1.18421053,1.18421053,4,5.041,,
2346,3/25/22,md,1.18421053,1.18421053,5,5.041,,
2346,3/25/22,md,1.18421053,1.18421053,6,5.041,,
2354,3/25/22,md,0.7016129,0.7016129,1,7.026,,
2354,3/25/22,md,0.7016129,0.7016129,2,7.026,,
2354,3/25/22,md,0.7016129,0.7016129,3,7.026,,
2354,3/25/22,md,0.7016129,0.7016129,4,7.026,,
2354,3/25/22,md,0.7016129,0.7016129,5,7.026,,
2365,3/25/22,md,1.27536232,1.27536232,1,38.213,,
2365,3/25/22,md,1.27536232,1.27536232,2,38.213,,
2365,3/25/22,md,1.27536232,1.27536232,3,38.213,,
2365,3/25/22,md,1.27536232,1.27536232,4,38.213,,
2367,3/25/22,md,1.49305556,1.49305556,1,11.362,,
2367,3/25/22,md,1.49305556,1.49305556,2,11.362,,
2367,3/25/22,md,1.49305556,1.49305556,3,11.362,,
2367,3/25/22,md,1.49305556,1.49305556,4,11.362,,
2369,3/25/22,md,1.33101045,1.33101045,1,21.329,,
2369,3/25/22,md,1.33101045,1.33101045,2,21.329,,
2369,3/25/22,md,1.33101045,1.33101045,3,21.329,,
2376,3/25/22,md,0.6723869,0.6723869,1,120.139,,
2376,3/25/22,md,0.6723869,0.6723869,2,120.139,,
2376,3/25/22,md,0.6723869,0.6723869,3,120.139,,
2377,3/25/22,md,0.81521739,0.81521739,1,64.567,,
2377,3/25/22,md,0.81521739,0.81521739,2,64.567,,
