tree,date,pheno_score,year,plot,site,species
2346,2022-02-28,0,2022,Hobbiton,LL,blue oak
2346,2022-04-06,5,2022,Hobbiton,LL,blue oak
2346,2022-03-25,4,2022,Hobbiton,LL,blue oak
2347,2022-02-18,0,2022,Hobbiton,LL,blue oak
2347,2022-03-25,6,2022,Hobbiton,LL,blue oak
2347,2022-04-13,10,2022,Hobbiton,LL,blue oak
2347,2022-04-06,7,2022,Hobbiton,LL,blue oak
2347,2022-02-28,0,2022,Hobbiton,LL,blue oak
2347,2023-04-12,5,2023,Hobbiton,LL,blue oak
2347,2022-03-15,1,2022,Hobbiton,LL,blue oak
2347,2023-03-02,0,2023,Hobbiton,LL,blue oak
2348,2023-03-02,0,2023,Hobbiton,LL,blue oak
2348,2022-02-28,0,2022,Hobbiton,LL,blue oak
2348,2022-03-25,6,2022,Hobbiton,LL,blue oak
2348,2022-04-06,7,2022,Hobbiton,LL,blue oak
2348,2023-04-12,5,2023,Hobbiton,LL,blue oak
2348,2022-02-18,0,2022,Hobbiton,LL,blue oak
2349,2023-03-02,0,2023,Hobbiton,LL,blue oak
2349,2022-03-25,6,2022,Hobbiton,LL,blue oak
2349,2022-02-28,0,2022,Hobbiton,LL,blue oak
2349,2022-03-15,2,2022,Hobbiton,LL,blue oak
2349,2022-04-06,6,2022,Hobbiton,LL,blue oak
2349,2023-04-12,5,2023,Hobbiton,LL,blue oak
2349,2022-02-18,0,2022,Hobbiton,LL,blue oak
2352,2022-03-25,7,2022,MiddleEarth,LL,live oak
2353,2022-03-25,9,2022,MiddleEarth,LL,live oak
2354,2022-03-25,2,2022,MiddleEarth,LL,live oak
2360,2023-04-12,5,2023,MiddleEarth,LL,blue oak
2360,2022-02-28,5,2022,MiddleEarth,LL,blue oak
2360,2022-02-18,5,2022,MiddleEarth,LL,blue oak
2360,2022-04-06,10,2022,MiddleEarth,LL,blue oak
2360,2022-03-25,10,2022,MiddleEarth,LL,blue oak
2361,2022-02-28,2,2022,MiddleEarth,LL,blue oak
2361,2022-04-06,10,2022,MiddleEarth,LL,blue oak
2361,2022-02-18,0,2022,MiddleEarth,LL,blue oak
2361,2022-03-25,10,2022,MiddleEarth,LL,blue oak
2364,2023-04-12,3,2023,MiddleEarth,LL,blue oak
2364,2023-03-02,2,2023,MiddleEarth,LL,blue oak
2364,2022-03-25,9,2022,MiddleEarth,LL,blue oak
2364,2022-02-28,1,2022,MiddleEarth,LL,blue oak
2364,2022-04-06,10,2022,MiddleEarth,LL,blue oak
2364,2022-02-18,0,2022,MiddleEarth,LL,blue oak
2365,2022-04-13,10,2022,MiddleEarth,LL,blue oak
2365,2022-02-18,1,2022,MiddleEarth,LL,blue oak
2365,2022-02-28,3,2022,MiddleEarth,LL,blue oak
2365,2022-04-06,9,2022,MiddleEarth,LL,blue oak
2365,2023-03-02,1,2023,MiddleEarth,LL,blue oak
2365,2022-03-15,2,2022,MiddleEarth,LL,blue oak
2365,2022-03-25,9,2022,MiddleEarth,LL,blue oak
2365,2023-04-12,4,2023,MiddleEarth,LL,blue oak
2366,2023-03-02,1,2023,MiddleEarth,LL,blue oak
2366,2022-04-06,9,2022,MiddleEarth,LL,blue oak
2366,2022-03-25,8,2022,MiddleEarth,LL,blue oak
2366,2023-04-12,4,2023,MiddleEarth,LL,blue oak
2366,2022-02-18,0,2022,MiddleEarth,LL,blue oak
2366,2022-02-28,2,2022,MiddleEarth,LL,blue oak
2366,2022-03-15,2,2022,MiddleEarth,LL,blue oak
2367,2022-04-06,9,2022,MiddleEarth,LL,blue oak
2367,2022-04-13,10,2022,MiddleEarth,LL,blue oak
2367,2023-03-02,0.75,2023,MiddleEarth,LL,blue oak
2367,2022-02-28,1,2022,MiddleEarth,LL,blue oak
2367,2022-03-25,9,2022,MiddleEarth,LL,blue oak
2367,2022-02-18,0,2022,MiddleEarth,LL,blue oak
2367,2022-03-15,2,2022,MiddleEarth,LL,blue oak
2367,2023-04-12,4,2023,MiddleEarth,LL,blue oak
2369,2022-03-25,9,2022,MiddleEarth,LL,blue oak
2369,2023-03-02,0.75,2023,MiddleEarth,LL,blue oak
2369,2022-04-06,9,2022,MiddleEarth,LL,blue oak
2369,2022-04-13,10,2022,MiddleEarth,LL,blue oak
2369,2023-04-12,4,2023,MiddleEarth,LL,blue oak
2369,2022-02-18,0,2022,MiddleEarth,LL,blue oak
2369,2022-02-28,0,2022,MiddleEarth,LL,blue oak
2369,2022-03-15,3,2022,MiddleEarth,LL,blue oak
2370,2022-03-25,3,2022,Weathertop,LL,blue oak
2370,2022-04-06,4,2022,Weathertop,LL,blue oak
2370,2023-04-12,4,2023,Weathertop,LL,blue oak
2370,2022-02-28,0,2022,Weathertop,LL,blue oak
2371,2022-03-15,1,2022,Weathertop,LL,blue oak
2371,2023-03-02,0,2023,Weathertop,LL,blue oak
2371,2023-04-12,4,2023,Weathertop,LL,blue oak
2371,2022-02-28,0,2022,Weathertop,LL,blue oak
2371,2022-04-06,6,2022,Weathertop,LL,blue oak
2371,2022-03-25,5,2022,Weathertop,LL,blue oak
2372,2022-04-06,5,2022,Weathertop,LL,blue oak
2372,2022-03-15,2,2022,Weathertop,LL,blue oak
2372,2023-03-02,0,2023,Weathertop,LL,blue oak
2372,2022-02-28,0,2022,Weathertop,LL,blue oak
2372,2023-04-12,5,2023,Weathertop,LL,blue oak
2372,2022-03-25,7,2022,Weathertop,LL,blue oak
2373,2022-02-28,1,2022,Weathertop,LL,blue oak
2373,2022-04-06,5,2022,Weathertop,LL,blue oak
2373,2022-03-15,2,2022,Weathertop,LL,blue oak
2373,2022-03-25,5,2022,Weathertop,LL,blue oak
2374,2022-02-28,2,2022,Ridge,LL,blue oak
2375,2023-04-12,3,2023,Hobbiton,LL,blue oak
2375,2022-02-28,0,2022,Hobbiton,LL,blue oak
2375,2023-03-02,0.5,2023,Hobbiton,LL,blue oak
2375,2022-04-06,6,2022,Hobbiton,LL,blue oak
2375,2022-03-25,5,2022,Hobbiton,LL,blue oak
2376,2022-03-25,1,2022,MiddleEarth,LL,live oak
2376,2023-03-02,0.5,2023,MiddleEarth,LL,live oak
2376,NA,NA,2023,MiddleEarth,LL,live oak
2377,2022-03-25,5,2022,MiddleEarth,LL,live oak
2378,2022-03-15,7,2022,MiddleEarth,LL,blue oak
2378,2022-02-28,6,2022,MiddleEarth,LL,blue oak
2378,2023-04-12,3.5,2023,MiddleEarth,LL,blue oak
2378,2022-03-25,9,2022,MiddleEarth,LL,blue oak
2378,2023-03-02,2.5,2023,MiddleEarth,LL,blue oak
2379,2022-03-15,7,2022,MiddleEarth,LL,blue oak
2379,2022-03-15,7,2022,Hobbiton,LL,blue oak
2379,2022-03-25,10,2022,MiddleEarth,LL,blue oak
2379,2022-03-25,10,2022,Hobbiton,LL,blue oak
2379,2022-04-06,5,2022,MiddleEarth,LL,blue oak
2379,2022-04-06,5,2022,Hobbiton,LL,blue oak
2379,2023-04-12,4,2023,MiddleEarth,LL,blue oak
2379,2023-04-12,4,2023,Hobbiton,LL,blue oak
2379,2023-03-02,2.5,2023,MiddleEarth,LL,blue oak
2379,2023-03-02,2.5,2023,Hobbiton,LL,blue oak
2379,2022-02-28,7,2022,MiddleEarth,LL,blue oak
2379,2022-02-28,7,2022,Hobbiton,LL,blue oak
2380,2022-03-25,3,2022,MiddleEarth,LL,live oak
2381,2022-03-25,10,2022,Weathertop,LL,blue oak
2381,2023-04-12,5,2023,Weathertop,LL,blue oak
2381,2023-03-02,1,2023,Weathertop,LL,blue oak
2381,2022-03-15,8,2022,Weathertop,LL,blue oak
2381,2022-02-28,3,2022,Weathertop,LL,blue oak
2382,2022-03-15,8,2022,Weathertop,LL,blue oak
2382,2023-03-02,1,2023,Weathertop,LL,blue oak
2382,2022-03-25,10,2022,Weathertop,LL,blue oak
2382,2022-02-28,6,2022,Weathertop,LL,blue oak
2382,2023-04-12,4,2023,Weathertop,LL,blue oak
2383,2023-03-02,5,2023,Weathertop,LL,blue oak
2383,2023-04-12,5,2023,Weathertop,LL,blue oak
2383,2022-03-25,10,2022,Weathertop,LL,blue oak
2383,2022-02-28,7,2022,Weathertop,LL,blue oak
2384,2022-03-15,7,2022,Weathertop,LL,blue oak
2384,2023-04-12,4,2023,Weathertop,LL,blue oak
2384,2023-03-02,2,2023,Weathertop,LL,blue oak
2384,2022-03-25,10,2022,Weathertop,LL,blue oak
