"","tree","plot","site","species","date","time","notes","week","lwc_bulk","dm_bulk_g","wm_bulk_g","rep","lwc_leaf","dm_leaf_g","wm_leaf_g"
"19",2007,"High","Cucu Mesa","blue oak",2022-09-16,"pd",NA,37,0.790027562014533,0.3991,0.7144,NA,NA,NA,NA
"20",2007,"High","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.627936507936508,0.4725,0.7692,NA,NA,NA,NA
"21",2007,"High","Cucu Mesa","blue oak",2022-09-12,"pd",NA,37,0.813745828447731,1.1087,2.0109,NA,NA,NA,NA
"22",2009,"Hobbiton","LL","blue oak",2022-09-16,"md",NA,37,0.503884372177055,0.5535,0.8324,NA,NA,NA,NA
"23",2009,"Hobbiton","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.591337719298246,0.912,1.4513,NA,NA,NA,NA
"24",2009,"Hobbiton","LL","blue oak",2022-08-18,"pd",NA,33,0.650943396226415,0.7632,1.26,NA,NA,NA,NA
"25",2010,"Weathertop","LL","blue oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.678798441664958,0.9754,1.6375,NA,NA,NA,NA
"26",2010,"Weathertop","LL","blue oak",2022-08-18,"pd",NA,33,0.698709507505926,0.7594,1.29,NA,NA,NA,NA
"27",2011,"Weathertop","LL","blue oak",2022-09-15,"md",NA,37,0.566715086117452,0.4819,0.755,NA,NA,NA,NA
"28",2011,"Weathertop","LL","blue oak",2022-08-18,"pd","Labelled ""bulk_LWC""",33,0.552907186710004,0.5538,0.86,NA,NA,NA,NA
"29",2011,"Weathertop","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.545520231213873,0.8304,1.2834,NA,NA,NA,NA
"30",2011,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.637793340705246,2.4417,3.999,NA,NA,NA,NA
"31",2012,"Low","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.656576480042861,0.3733,0.6184,NA,NA,NA,NA
"32",2012,"Low","Cucu Mesa","blue oak",2022-09-16,"pd",NA,37,0.722444622364558,0.3747,0.6454,NA,NA,NA,NA
"33",2013,"Low","Cucu Mesa","blue oak",2022-09-16,"pd",NA,37,0.718999704054454,0.6758,1.1617,NA,NA,NA,NA
"34",2013,"Low","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.61648946092147,0.5361,0.8666,NA,NA,NA,NA
"35",2015,"Low","Cucu Mesa","blue oak",2022-09-16,"pd",NA,37,0.728144697177309,0.3649,0.6306,NA,NA,NA,NA
"36",2015,"Low","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.702747989276139,0.2984,0.5081,NA,NA,NA,NA
"37",2020,"Chamise","Chamise","blue oak",2022-09-16,"md",NA,37,0.654434250764526,0.3924,0.6492,NA,NA,NA,NA
"38",2020,"Chamise","Chamise","blue oak",2022-09-12,"pd",NA,37,0.689802517611734,0.8659,1.4632,NA,NA,NA,NA
"39",2021,"Chamise","Chamise","blue oak",2022-09-12,"pd",NA,37,0.694620755315773,2.5208,4.2718,NA,NA,NA,NA
"40",2021,"Chamise","Chamise","blue oak",2022-09-16,"md",NA,37,0.575757575757576,0.5346,0.8424,NA,NA,NA,NA
"41",2022,"Chamise","Chamise","live oak",2022-09-12,"pd",NA,37,0.679897855721206,2.6629,4.4734,NA,NA,NA,NA
"42",2022,"Chamise","Chamise","live oak",2022-09-16,"md",NA,37,0.576576576576577,1.3209,2.0825,NA,NA,NA,NA
"43",2023,"Chamise","Chamise","live oak",2022-09-16,"md",NA,37,0.635241686664381,2.0419,3.339,NA,NA,NA,NA
"44",2024,"Chamise","Chamise","blue oak",2022-09-12,"pd",NA,37,0.696020654431161,1.7817,3.0218,NA,NA,NA,NA
"45",2024,"Chamise","Chamise","blue oak",2022-09-16,"md",NA,37,0.60480093676815,0.6832,1.0964,NA,NA,NA,NA
"46",2025,"Chamise","Chamise","blue oak",2022-09-16,"md",NA,37,0.651715039577836,0.4927,0.8138,NA,NA,NA,NA
"47",2026,"Shedd","Chamise","blue oak",2022-09-12,"pd",NA,37,0.752694191742477,0.7145,1.2523,NA,NA,NA,NA
"48",2026,"Shedd","Chamise","blue oak",2022-09-16,"md",NA,37,0.641708101784148,0.3419,0.5613,NA,NA,NA,NA
"49",2027,"Shedd","Chamise","blue oak",2022-09-12,"pd",NA,37,0.557437955119631,0.6729,1.048,NA,NA,NA,NA
"50",2027,"Shedd","Chamise","blue oak",2022-09-15,"md",NA,37,0.621411276374957,0.5782,0.9375,NA,NA,NA,NA
"51",2028,"Shedd","Chamise","blue oak",2022-09-16,"md",NA,37,0.558911004346831,0.4371,0.6814,NA,NA,NA,NA
"52",2028,"Shedd","Chamise","blue oak",2022-09-12,"pd",NA,37,0.534153120525562,1.1873,1.8215,NA,NA,NA,NA
"53",2029,"Shedd","Chamise","live oak",2022-09-16,"md",NA,37,0.596239289114567,1.2604,2.0119,NA,NA,NA,NA
"54",2029,"Shedd","Chamise","live oak",2022-09-12,"pd",NA,37,0.642248429026427,2.3234,3.8156,NA,NA,NA,NA
"55",2030,"Shedd","Chamise","live oak",2022-09-16,"md",NA,37,0.573248975227232,1.1222,1.7655,NA,NA,NA,NA
"56",2030,"Shedd","Chamise","live oak",2022-09-12,"pd",NA,37,0.540224109341239,1.9901,3.0652,NA,NA,NA,NA
"57",2031,"Shedd","Chamise","blue oak",2022-09-16,"md",NA,37,0.59749243406831,0.2313,0.3695,NA,NA,NA,NA
"58",2040,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.713609796827164,0.3593,0.6157,NA,NA,NA,NA
"59",2041,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.733750236877014,0.5277,0.9149,NA,NA,NA,NA
"60",2042,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.644937725994375,0.9956,1.6377,NA,NA,NA,NA
"61",2043,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.585100446428572,1.0752,1.7043,NA,NA,NA,NA
"62",2044,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,-0.88457166477214,9.677,1.117,NA,NA,NA,NA
"63",2045,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.748266897746967,0.6924,1.2105,NA,NA,NA,NA
"64",2046,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.697028624766646,1.2856,2.1817,NA,NA,NA,NA
"65",2047,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.770265324794145,1.093,1.9349,NA,NA,NA,NA
"66",2048,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.771028508109197,0.9927,1.7581,NA,NA,NA,NA
"67",2049,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.588858321870702,0.727,1.1551,NA,NA,NA,NA
"68",2050,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.725076556651922,0.8817,1.521,NA,NA,NA,NA
"69",2051,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.713879159369527,0.9136,1.5658,NA,NA,NA,NA
"70",2052,NA,NA,NA,2022-10-05,"md","SERPENTINE",40,0.699022247413915,0.7057,1.199,NA,NA,NA,NA
"71",2082,NA,NA,NA,2022-08-18,"pd","labeled bulk",33,0.588065447545717,1.2468,1.98,NA,NA,NA,NA
"72",2085,"Low","PineNeedle","blue oak",2022-09-12,"pd",NA,37,0.883578431372549,0.9792,1.8444,NA,NA,NA,NA
"73",2085,"Low","PineNeedle","blue oak",2022-09-16,"pd",NA,37,0.589256995818591,0.6218,0.9882,NA,NA,NA,NA
"74",2085,"Low","PineNeedle","blue oak",2022-09-15,"md",NA,37,0.635114503816794,0.655,1.071,NA,NA,NA,NA
"75",2086,"Low","PineNeedle","blue oak",2022-09-16,"pd",NA,37,0.705693176879617,1.1505,1.9624,NA,NA,NA,NA
"76",2086,"Low","PineNeedle","blue oak",2022-09-15,"md",NA,37,0.655257039524671,1.5484,2.563,NA,NA,NA,NA
"77",2086,"Low","PineNeedle","blue oak",2022-09-12,"pd","No weight mass",37,0.705693176879617,1.6846,1.9624,NA,NA,NA,NA
"78",2087,"Low","PineNeedle","blue oak",2022-09-12,"pd",NA,37,0.846673213847287,0.8146,1.5043,NA,NA,NA,NA
"79",2087,"Low","PineNeedle","blue oak",2022-09-15,"md",NA,37,0.613561050216671,0.3923,0.633,NA,NA,NA,NA
"80",2087,"Low","PineNeedle","blue oak",2022-09-16,"pd",NA,37,0.684131120559594,0.7291,1.2279,NA,NA,NA,NA
"81",2088,"Low","PineNeedle","blue oak",2022-09-12,"pd",NA,37,0.830658292626192,0.4299,0.787,NA,NA,NA,NA
"82",2088,"Low","PineNeedle","blue oak",2022-09-16,"pd",NA,37,0.66150289017341,0.4325,0.7186,NA,NA,NA,NA
"83",2089,"Low","PineNeedle","live oak",2022-09-15,"md",NA,37,0.483984719365266,0.3403,0.505,NA,NA,NA,NA
"84",2089,"Low","PineNeedle","live oak",2022-09-12,"pd",NA,37,0.666666666666667,1.0431,1.7385,NA,NA,NA,NA
"85",2089,"Low","PineNeedle","live oak",2022-09-16,"pd",NA,37,0.573605706874189,1.2336,1.9412,NA,NA,NA,NA
"86",2090,"Low","PineNeedle","blue oak",2022-09-16,"pd",NA,37,0.722641812630564,0.6223,1.072,NA,NA,NA,NA
"87",2090,"Low","PineNeedle","blue oak",2022-09-15,"md",NA,37,0.673127422783544,0.7997,1.338,NA,NA,NA,NA
"88",2091,"Low","PineNeedle","live oak",2022-09-15,"md",NA,37,0.560431905259491,0.2871,0.448,NA,NA,NA,NA
"89",2091,"Low","PineNeedle","live oak",2022-09-12,"pd",NA,37,0.725155682407888,1.5416,2.6595,NA,NA,NA,NA
"90",2091,"Low","PineNeedle","live oak",2022-09-16,"pd",NA,37,0.655806420882157,1.0497,1.7381,NA,NA,NA,NA
"91",2092,"Low","PineNeedle","live oak",2022-09-12,"pd",NA,37,0.668518518518519,1.134,1.8921,NA,NA,NA,NA
"92",2092,"Low","PineNeedle","live oak",2022-09-15,"md",NA,37,0.566088443684339,0.8186,1.282,NA,NA,NA,NA
"93",2092,"Low","PineNeedle","live oak",2022-09-16,"pd",NA,37,0.57626188734455,1.6404,2.5857,NA,NA,NA,NA
"94",2093,"Low","PineNeedle","live oak",2022-09-15,"md",NA,37,0.584232453797671,0.9361,1.483,NA,NA,NA,NA
"95",2301,"Hobbiton","LL","live oak",2022-09-16,"md",NA,37,0.548910675381263,0.918,1.4219,NA,NA,NA,NA
"96",2301,"Hobbiton","LL","live oak",2022-08-18,"pd","labeled bulk",33,0.585357065648195,1.3877,2.2,NA,NA,NA,NA
"97",2301,"Hobbiton","LL","live oak",2022-09-12,"pd",NA,37,0.680027564028942,1.7414,2.9256,NA,NA,NA,NA
"98",2301,"Hobbiton","LL","live oak",2022-08-18,"md","labeled bulk",33,0.567843788948899,1.2035,1.8869,NA,NA,NA,NA
"99",2330,"Ridge","LL","blue oak",2022-08-18,"pd","Labelled ""bulk_LWC""",33,0.465376879609233,1.0441,1.53,NA,NA,NA,NA
"100",2331,"Ridge","LL","live oak",2022-09-16,"md",NA,37,0.540139460039335,0.5593,0.8614,NA,NA,NA,NA
"101",2331,"Ridge","LL","live oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.539203406813627,0.7984,1.2289,NA,NA,NA,NA
"102",2331,"Ridge","LL","live oak",2022-09-12,"pd",NA,37,0.57259842519685,2.54,3.9944,NA,NA,NA,NA
"103",2342,NA,NA,NA,2022-08-18,"pd",NA,33,0.642710472279261,1.1688,1.92,NA,NA,NA,NA
"104",2343,"Hobbiton","LL","blue oak",2022-09-12,"pd",NA,37,0.744446170576355,1.2874,2.2458,NA,NA,NA,NA
"105",2343,"Hobbiton","LL","blue oak",2022-09-16,"md",NA,37,0.625556104794859,0.8092,1.3154,NA,NA,NA,NA
"106",2343,"Hobbiton","LL","blue oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.671194153337011,1.4504,2.4239,NA,NA,NA,NA
"107",2345,"Hobbiton","LL","live oak",2022-08-18,"md","labeled bulk",33,0.578065395095368,0.734,1.1583,NA,NA,NA,NA
"108",2345,"Hobbiton","LL","live oak",2022-09-12,"pd",NA,37,0.708213699753897,1.9504,3.3317,NA,NA,NA,NA
"109",2345,"Hobbiton","LL","live oak",2022-09-16,"md",NA,37,0.542327735958309,0.8635,1.3318,NA,NA,NA,NA
"110",2345,"Hobbiton","LL","live oak",2022-08-18,"pd",NA,33,0.591737545565006,0.823,1.31,NA,NA,NA,NA
"111",2346,"Hobbiton","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.552876712328767,0.5475,0.8502,NA,NA,NA,NA
"112",2346,"Hobbiton","LL","blue oak",2022-09-16,"md",NA,37,0.535292574127526,0.3811,0.5851,NA,NA,NA,NA
"113",2346,"Hobbiton","LL","blue oak",2022-09-12,"pd",NA,37,0.929184023523646,0.8162,1.5746,NA,NA,NA,NA
"114",2347,"Hobbiton","LL","blue oak",2022-09-16,"md","*No LFM or spectra*",37,0.622602168473728,0.4796,0.7782,NA,NA,NA,NA
"115",2347,"Hobbiton","LL","blue oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.666062801932367,0.6624,1.1036,NA,NA,NA,NA
"116",2347,"Hobbiton","LL","blue oak",2022-08-18,"pd",NA,33,0.588323674608285,0.4659,0.74,NA,NA,NA,NA
"117",2347,"Hobbiton","LL","blue oak",2022-09-12,"pd",NA,37,0.739592143595527,2.1282,3.7022,NA,NA,NA,NA
"118",2352,"MiddleEarth","LL","live oak",2022-09-16,"md",NA,37,0.547684865238424,0.2894,0.4479,NA,NA,NA,NA
"119",2352,"MiddleEarth","LL","live oak",2022-09-12,"pd",NA,37,0.657544956997655,1.279,2.12,NA,NA,NA,NA
"120",2352,"MiddleEarth","LL","live oak",2022-08-18,"pd","labeled bulk",33,0.504237288135593,0.472,0.71,NA,NA,NA,NA
"121",2352,"MiddleEarth","LL","live oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.531367200818275,0.5866,0.8983,NA,NA,NA,NA
"122",2354,"MiddleEarth","LL","live oak",2022-09-12,"pd",NA,37,0.643332783005889,1.8171,2.9861,NA,NA,NA,NA
"123",2354,"MiddleEarth","LL","live oak",2022-08-18,"md","labeled bulk",33,0.625531503672207,1.0348,1.6821,NA,NA,NA,NA
"124",2354,"MiddleEarth","LL","live oak",2022-09-16,"md",NA,37,0.477956787810666,0.8007,1.1834,NA,NA,NA,NA
"125",2354,"MiddleEarth","LL","live oak",2022-08-18,"pd",NA,33,0.627728839525086,1.5666,2.55,NA,NA,NA,NA
"126",2360,"MiddleEarth","LL","blue oak",2022-09-12,"pd",NA,37,0.78865564984368,1.1195,2.0024,NA,NA,NA,NA
"127",2360,"MiddleEarth","LL","blue oak",2022-09-12,"pd",NA,37,0.749162802679031,1.5528,2.7161,NA,NA,NA,NA
"128",2360,"MiddleEarth","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.592247572432305,1.2667,2.0169,NA,NA,NA,NA
"129",2360,"MiddleEarth","LL","blue oak",2022-08-18,"pd","Labelled ""bulk_LWC""",33,0.693851944792974,0.3188,0.54,NA,NA,NA,NA
"130",2365,"MiddleEarth","LL","blue oak",2022-08-18,"pd","LABELLED BULK",33,0.586782267299198,0.6113,0.97,NA,NA,NA,NA
"131",2365,"MiddleEarth","LL","blue oak",2022-08-18,"pd","labeled bulk",33,0.586782267299198,0.6113,0.97,NA,NA,NA,NA
"132",2365,"MiddleEarth","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.53375,0.4,0.6135,NA,NA,NA,NA
"133",2365,"MiddleEarth","LL","blue oak",2022-09-16,"md",NA,37,0.535108250438853,0.3418,0.5247,NA,NA,NA,NA
"134",2367,"MiddleEarth","LL","blue oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.622279792746114,0.579,0.9393,NA,NA,NA,NA
"135",2367,"MiddleEarth","LL","blue oak",2022-08-18,"pd",NA,33,0.596755797744266,0.7891,1.26,NA,NA,NA,NA
"136",2367,"MiddleEarth","LL","blue oak",2022-09-16,"md","No LFM or Spectra",37,0.636964845109641,0.2873,0.4703,NA,NA,NA,NA
"137",2369,"MiddleEarth","LL","blue oak",2022-08-18,"pd","Labelled ""bulk_LWC""",33,0.512151215121512,0.5555,0.84,NA,NA,NA,NA
"138",2369,"MiddleEarth","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.560145492335672,0.7698,1.201,NA,NA,NA,NA
"139",2369,"MiddleEarth","LL","blue oak",2022-09-12,"pd",NA,37,0.725609139621879,0.9891,1.7068,NA,NA,NA,NA
"140",2370,"Weathertop","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.561261558784676,0.6056,0.9455,NA,NA,NA,NA
"141",2370,"Weathertop","LL","blue oak",2022-08-18,"pd","Labelled ""bulk_LWC""",33,0.607212857702862,0.7653,1.23,NA,NA,NA,NA
"142",2370,"Weathertop","LL","blue oak",2022-09-16,"md",NA,37,0.62901023890785,0.293,0.4773,NA,NA,NA,NA
"143",2370,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.718773829495196,0.6557,1.127,NA,NA,NA,NA
"144",2371,"Weathertop","LL","blue oak",2022-09-16,"md",NA,37,0.630022183879714,0.4057,0.6613,NA,NA,NA,NA
"145",2371,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.858463619963921,1.3304,2.4725,NA,NA,NA,NA
"146",2371,"Weathertop","LL","blue oak",2022-08-18,"pd","labeled bulk",33,0.701129197829594,0.6819,1.16,NA,NA,NA,NA
"147",2372,"Weathertop","LL","blue oak",2022-08-18,"pd",NA,33,0.733102253032929,0.8655,1.5,NA,NA,NA,NA
"148",2372,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.789003212440058,2.1479,3.8426,NA,NA,NA,NA
"149",2372,"Weathertop","LL","blue oak",2022-09-16,"md",NA,37,0.62704343764596,0.4282,0.6967,NA,NA,NA,NA
"150",2375,"Hobbiton","LL","blue oak",2022-09-16,"md",NA,37,0.668363351605325,0.7662,1.2783,NA,NA,NA,NA
"151",2375,"Hobbiton","LL","blue oak",2022-08-18,"pd",NA,33,0.676780581283935,0.6262,1.05,NA,NA,NA,NA
"152",2375,"Hobbiton","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.602439489231942,1.0494,1.6816,NA,NA,NA,NA
"153",2376,"MiddleEarth","LL","live oak",2022-08-18,"pd",NA,33,0.554793948006353,1.1963,1.86,NA,NA,NA,NA
"154",2376,"MiddleEarth","LL","live oak",2022-09-16,"md",NA,37,0.532171712255427,1.0273,1.574,NA,NA,NA,NA
"155",2376,"MiddleEarth","LL","live oak",2022-09-12,"pd",NA,37,0.567171417793824,1.8557,2.9082,NA,NA,NA,NA
"156",2376,"MiddleEarth","LL","live oak",2022-08-18,"md","labeled bulk",33,0.548951211571555,2.1501,3.3304,NA,NA,NA,NA
"157",2377,"MiddleEarth","LL","live oak",2022-09-15,"md",NA,37,0.541074737492279,0.9714,1.497,NA,NA,NA,NA
"158",2377,"MiddleEarth","LL","live oak",2022-09-12,"pd",NA,37,0.604042573967386,1.0241,1.6427,NA,NA,NA,NA
"159",2377,"MiddleEarth","LL","live oak",2022-08-18,"md","labeled bulk",33,0.423654462628649,0.5927,0.8438,NA,NA,NA,NA
"160",2378,"MiddleEarth","LL","blue oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.643972517176764,0.9606,1.5792,NA,NA,NA,NA
"161",2378,"MiddleEarth","LL","blue oak",2022-09-12,"pd",NA,37,0.824079723408582,0.9834,1.7938,NA,NA,NA,NA
"162",2378,"MiddleEarth","LL","blue oak",2022-08-18,"pd",NA,33,0.635625596943649,0.8376,1.37,NA,NA,NA,NA
"163",2378,"MiddleEarth","LL","blue oak",2022-09-15,"md",NA,37,0.633228320344885,0.6031,0.985,NA,NA,NA,NA
"164",2379,"MiddleEarth","LL","blue oak",2022-08-18,"md","Labelled bulk (not LWC)",33,0.663801694070753,0.8028,1.3357,NA,NA,NA,NA
"165",2379,"MiddleEarth","LL","blue oak",2022-08-18,"pd",NA,33,0.657824933687003,0.754,1.25,NA,NA,NA,NA
"166",2379,"MiddleEarth","LL","blue oak",2022-09-12,"pd",NA,37,0.711864406779661,0.9971,1.7069,NA,NA,NA,NA
"167",2379,"MiddleEarth","LL","blue oak",2022-09-15,"md",NA,37,0.624784853700516,0.2905,0.472,NA,NA,NA,NA
"168",2380,"MiddleEarth","LL","live oak",2022-08-18,"md","labeled bulk",33,0.486189138576779,0.8544,1.2698,NA,NA,NA,NA
"169",2380,"MiddleEarth","LL","live oak",2022-09-15,"md",NA,37,0.474568362109193,0.6429,0.948,NA,NA,NA,NA
"170",2381,"Weathertop","LL","blue oak",2022-08-18,"pd",NA,33,0.649250912753368,0.7943,1.31,NA,NA,NA,NA
"171",2381,"Weathertop","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.633887414443358,0.7159,1.1697,NA,NA,NA,NA
"172",2381,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.725470117296593,1.0742,1.8535,NA,NA,NA,NA
"173",2381,"Weathertop","LL","blue oak",2022-09-15,"md",NA,37,0.582907820478366,0.3721,0.589,NA,NA,NA,NA
"174",2382,"Weathertop","LL","blue oak",2022-09-15,"md",NA,37,0.612541993281075,0.5358,0.864,NA,NA,NA,NA
"175",2382,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.661975248726037,0.4121,0.6849,NA,NA,NA,NA
"176",2382,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.687525363201039,1.2321,2.0792,NA,NA,NA,NA
"177",2383,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.640724051019629,1.3093,2.1482,NA,NA,NA,NA
"178",2383,"Weathertop","LL","blue oak",2022-08-18,"pd",NA,33,0.663716814159292,0.2825,0.47,NA,NA,NA,NA
"179",2383,"Weathertop","LL","blue oak",2022-08-18,"md","labeled bulk",33,0.562345983242977,1.2174,1.902,NA,NA,NA,NA
"180",2383,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,1.49343629343629,0.3885,0.9687,NA,NA,NA,NA
"181",2383,"Weathertop","LL","blue oak",2022-09-15,"md",NA,37,0.57862218103182,0.3237,0.511,NA,NA,NA,NA
"182",2384,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,1.0416970403849,0.6859,1.4004,NA,NA,NA,NA
"183",2384,"Weathertop","LL","blue oak",2022-08-18,"pd","labeled bulk",33,0.604611310172924,0.6419,1.03,NA,NA,NA,NA
"184",2384,"Weathertop","LL","blue oak",2022-09-15,"md",NA,37,0.596059113300493,0.609,0.972,NA,NA,NA,NA
"185",2384,"Weathertop","LL","blue oak",2022-09-12,"pd",NA,37,0.803394907638542,1.0015,1.8061,NA,NA,NA,NA
"186",NA,NA,NA,NA,2022-09-16,"pd",NA,37,0.695652173913043,0.3611,0.6123,NA,NA,NA,NA
"187",NA,"Chamise","Chamise","LEU",2022-09-15,"md","Mystery tree from upper Lisque or Piney",37,0.620262954369683,0.5172,0.838,NA,NA,NA,NA
"188",NA,"Chamise","Chamise","LEU",2022-09-15,"md","Mystery blue ID",37,0.629213483146067,0.1958,0.319,NA,NA,NA,NA
"189",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"1",1.52119205298013,0.151,0.3807
"190",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"1",2.24931972789116,0.294,0.9553
"191",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"2",1.6377358490566,0.159,0.4194
"192",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"2",2.13488372093023,0.215,0.674
"193",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"3",1.90472440944882,0.127,0.3689
"194",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"3",1.87263843648208,0.307,0.8819
"195",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"4",1.37906976744186,0.129,0.3069
"196",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"4",1.79343629343629,0.259,0.7235
"197",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"5",1.55042016806723,0.119,0.3035
"198",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"5",2.08993288590604,0.298,0.9208
"199",10,"Chamise","Chamise","ARCA",NA,"md",NA,10,NA,NA,NA,"6",NA,NA,NA
"200",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"6",2.11432038834951,0.412,1.2831
"201",10,"Chamise","Chamise","ARCA",NA,"md",NA,10,NA,NA,NA,"7",NA,NA,NA
"202",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"7",1.8316,0.25,0.7079
"203",10,"Chamise","Chamise","ARCA",NA,"md",NA,11,NA,NA,NA,"1",NA,NA,NA
