"","tree_id","branch","species","year","week","...1","file","day","notes_leaf_area","more_notes_leaf_area","area_cm2","date_leaf_area","year_leaf_area","sub_branch","lwm_g","ldm_g","swm_g","sdm_g","l_cm","d_mm","length_new_cm","notes","date_alas","area_mm2","lma_g_cm2","d_cm","r_cm","area_stem_cm2","alas","sla_cm_g"
"11","1478",3,"B",0,29,9,"txt",19,NA,NA,18.659,2022-07-19,0,NA,0.499,0.292,0.125,0.067,2.55,1.5925,2.55,NA,2022-07-19,186.59,0.0156492845275738,0.15925,0.079625,0.0199181392102262,936.784295112279,63.9006849315069
"12","1478",3,"B",0,37,739,"csv",12,NA,NA,43.333,2022-09-12,0,NA,1.2062,0.7299,0.3704,0.2113,57.89,1.96,NA,"length in mm",2022-09-12,433.33,0.0168439757228902,0.196,0.098,0.0301718558450764,1436.2059868807,59.3684066310453
"13","2004",1,"B",0,14,13,"txt",4,NA,NA,36.481,2022-04-04,0,NA,1.157,0.585,0.325,0.143,5.25,1.5575,5.25,NA,2022-04-04,364.81,0.0160357446341931,0.15575,0.077875,0.0190522377350805,1914.78820006682,62.3606837606838
"14","2004",1,"B",0,17,10,"txt",27,NA,NA,33.565,2022-04-27,0,NA,0.9937,0.5222,0.154,0.0755,2.858,1.4525,2.858,NA,2022-04-27,335.65,0.0155578727841502,0.14525,0.072625,0.0165699868396629,2025.65037165008,64.2761394101877
"15","2004",1,"B",0,29,16,"txt",19,NA,NA,17.625,2022-07-19,0,NA,0.492,0.299,0.12,0.073,1.94,1.365,1.94,NA,2022-07-19,176.25,0.0169645390070922,0.1365,0.06825,0.0146337349299621,1204.40885968991,58.9464882943144
"16","2004",2,"B",0,14,14,"txt",4,NA,NA,31.795,2022-04-04,0,NA,0.958,0.502,0.184,0.082,3.34,1.2175,3.34,NA,2022-04-04,317.95,0.0157886460135241,0.12175,0.060875,0.0116420060634256,2731.05853293505,63.3366533864542
"17","2004",2,"B",0,17,11,"txt",27,NA,NA,13.381,2022-04-27,0,NA,0.3466,0.1856,0.0519,0.0265,1.699,1.07,1.699,NA,2022-04-27,133.81,0.0138704132725506,0.107,0.0535,0.00899202357273739,1488.09663272785,72.0959051724138
"18","2004",2,"B",0,29,17,"txt",19,NA,NA,11.508,2022-07-19,0,NA,0.326,0.198,0.105,0.062,1.85,1.22,1.85,NA,2022-07-19,115.08,0.0172054223149114,0.122,0.061,0.0116898662640076,984.442399947074,58.1212121212121
"19","2004",2,"B",0,37,741,"csv",12,NA,NA,23.251,2022-09-12,0,NA,0.6183,0.4173,0.28,0.1652,34.52,1.4975,NA,NA,2022-09-12,232.51,0.0179476151563374,0.14975,0.074875,0.017612602901573,1320.13423171674,55.7177090821951
"20","2004",3,"B",0,14,15,"txt",4,NA,NA,19.457,2022-04-04,0,NA,0.583,0.305,0.075,0.034,1.93,0.9925,1.93,NA,2022-04-04,194.57,0.0156755923318086,0.09925,0.049625,0.00773661369593178,2514.92458648042,63.7934426229508
"21","2004",3,"B",0,17,12,"txt",27,NA,NA,14.838,2022-04-27,0,NA,0.3888,0.2117,0.0588,0.031,1.778,0.9775,1.778,NA,2022-04-27,148.38,0.0142674214853754,0.09775,0.048875,0.00750452853864783,1977.20615273635,70.0897496457251
"22","2004",3,"B",0,29,18,"txt",19,NA,NA,19.433,2022-07-19,0,NA,0.495,0.324,0.118,0.078,1.84,1.2375,1.84,NA,2022-07-19,194.33,0.016672670200175,0.12375,0.061875,0.0120276365616537,1615.6956439768,59.9783950617284
"23","2004",3,"B",0,37,742,"csv",12,NA,NA,23.236,2022-09-12,0,NA,0.6527,0.3996,0.2387,0.1393,32.69,1.4675,NA,NA,2022-09-12,232.36,0.0171974522292994,0.14675,0.073375,0.016913991235231,1373.77391751278,58.1481481481481
"24","2005",1,"B",0,14,22,"txt",4,NA,NA,32.996,2022-04-04,0,NA,0.971,0.463,0.109,0.048,2.29,1.0275,2.29,NA,2022-04-04,329.96,0.0140320038792581,0.10275,0.051375,0.00829189019745377,3979.30980925582,71.2656587473002
"25","2005",1,"B",0,17,19,"txt",27,NA,NA,39.518,2022-04-27,0,NA,1.224,0.5742,0.1462,0.0706,2.47,1.4575,2.47,NA,2022-04-27,395.18,0.0145300875550382,0.14575,0.072875,0.0166842622724372,2368.57940463359,68.8227098571926
"26","2005",1,"B",0,29,25,"txt",19,NA,NA,62.886,2022-07-19,0,NA,1.853,1.06,0.361,0.219,4.02,1.6625,4.02,NA,2022-07-19,628.86,0.0168558979741119,0.16625,0.083125,0.0217076689255273,2896.94854918525,59.3264150943396
"27","2005",1,"B",0,37,743,"csv",12,NA,NA,25.994,2022-09-12,0,NA,0.6499,0.3974,0.1138,0.0667,19.41,0.9875,NA,NA,2022-09-12,259.94,0.0152881434177118,0.09875,0.049375,0.00765885927775543,3393.97801386658,65.4101660795169
"28","2005",2,"B",0,14,23,"txt",4,NA,NA,41.111,2022-04-04,0,NA,1.284,0.617,0.108,0.049,1.72,1.3325,1.72,NA,2022-04-04,411.11,0.0150081486706721,0.13325,0.066625,0.0139451861775886,2948.04239086243,66.6304700162075
"29","2005",2,"B",0,17,20,"txt",27,NA,NA,36.447,2022-04-27,0,NA,1.1186,0.519,0.1401,0.0646,1.716,1.27,1.716,NA,2022-04-27,364.47,0.0142398551321096,0.127,0.0635,0.0126676869774374,2877.16297891763,70.2254335260116
"30","2005",2,"B",0,29,26,"txt",19,NA,NA,59.853,2022-07-19,0,NA,1.653,0.95,0.181,0.113,2.45,1.4,2.45,NA,2022-07-19,598.53,0.0158722202730022,0.14,0.07,0.01539380400259,3888.12277913437,63.0031578947368
"31","2005",2,"B",0,37,744,"csv",12,NA,NA,34.285,2022-09-12,0,NA,0.9814,0.6031,0.2743,0.1668,40.04,1.4775,NA,NA,2022-09-12,342.85,0.0175907831413154,0.14775,0.073875,0.0171452909943515,1999.67443021499,56.8479522467252
"32","2005",3,"B",0,14,24,"txt",4,NA,NA,35.35,2022-04-04,0,NA,1.046,0.515,0.108,0.05,2.44,0.9325,2.44,NA,2022-04-04,353.5,0.0145685997171146,0.09325,0.046625,0.00682947881720772,5176.09043766726,68.6407766990291
"33","2005",3,"B",0,17,21,"txt",27,NA,NA,55.495,2022-04-27,0,NA,1.8027,0.8732,0.3377,0.1634,4.754,1.7625,4.754,NA,2022-04-27,554.95,0.0157347508784575,0.17625,0.088125,0.0243976576351635,2274.60360456968,63.5535959688502
"34","2005",3,"B",0,29,27,"txt",19,NA,NA,37.19,2022-07-19,0,NA,1.079,0.631,0.19,0.12,2.5,1.525,2.5,NA,2022-07-19,371.9,0.0169669265931702,0.1525,0.07625,0.0182654160375119,2036.08830609839,58.9381933438986
"35","2005",3,"B",0,37,745,"csv",12,NA,NA,52.334,2022-09-12,0,NA,1.558,0.9256,0.4919,0.3057,66.81,1.4925,NA,NA,2022-09-12,523.34,0.0176863988993771,0.14925,0.074625,0.0174951858761451,2991.33718101036,56.5406222990493
"36","2006",1,"B",0,17,28,"txt",27,NA,NA,50.411,2022-04-27,0,NA,1.4527,0.7419,0.1881,0.0962,2.87,1.9225,2.87,NA,2022-04-27,504.11,0.0147170260459027,0.19225,0.096125,0.0290283652065549,1736.61174652084,67.9485105809408
"37","2006",1,"B",0,29,31,"txt",19,NA,NA,17.479,2022-07-19,0,NA,0.459,0.267,0.059,0.038,1.12,1.155,1.12,NA,2022-07-19,174.79,0.0152754734252532,0.1155,0.05775,0.0104774078492628,1668.25614230812,65.4644194756554
"38","2006",1,"B",0,37,746,"csv",12,NA,NA,13.628,2022-09-12,0,NA,0.35,0.2065,0.0997,0.0596,20.85,1.1675,NA,NA,2022-09-12,136.28,0.015152626944526,0.11675,0.058375,0.0107054187535741,1273.00017997429,65.9951573849879
"39","2006",2,"B",0,17,29,"txt",27,NA,NA,41.002,2022-04-27,0,NA,1.1535,0.5933,0.1,0.0529,1.636,1.485,1.636,NA,2022-04-27,410.02,0.0144700258523974,0.1485,0.07425,0.0173197966487814,2367.3488108121,69.1083768751053
"40","2006",2,"B",0,29,32,"txt",19,NA,NA,20.755,2022-07-19,0,NA,0.56,0.353,0.078,0.053,1.56,1.265,1.56,NA,2022-07-19,207.55,0.0170079498915924,0.1265,0.06325,0.0125681377602268,1651.3981940651,58.7960339943343
"41","2006",2,"B",0,37,747,"csv",12,NA,NA,5.978,2022-09-12,0,NA,0.1554,0.0869,0.1109,0.061,16.64,1.195,NA,NA,2022-09-12,59.78,0.0145366343258615,0.1195,0.05975,0.0112156821228564,533.003693802756,68.7917146144994
"42","2006",3,"B",0,17,30,"txt",27,NA,NA,15.059,2022-04-27,0,NA,0.4397,0.2291,0.0448,0.0249,0.881,1.0575,0.881,NA,2022-04-27,150.59,0.015213493591872,0.10575,0.052875,0.00878315674865888,1714.53162353039,65.7311217808817
"43","2006",3,"B",0,29,33,"txt",19,NA,NA,21.595,2022-07-19,0,NA,0.506,0.326,0.076,0.052,1.42,1.3525,1.42,NA,2022-07-19,215.95,0.0150960870571892,0.13525,0.067625,0.014366944991333,1503.10313104333,66.2423312883435
"44","2006",3,"B",0,37,748,"csv",12,NA,NA,5.568,2022-09-12,0,NA,0.1652,0.0928,0.1444,0.0809,20.74,1.425,NA,NA,2022-09-12,55.68,0.0166666666666667,0.1425,0.07125,0.0159484914554894,349.123929090077,60
"45","2007",1,"B",0,14,37,"txt",4,NA,NA,21.548,2022-04-04,0,NA,0.619,0.327,0.064,0.028,1.9,0.895,1.9,NA,2022-04-04,215.48,0.0151754223129757,0.0895,0.04475,0.00629123563835441,3425.08232701268,65.8960244648318
"46","2007",1,"B",0,17,34,"txt",27,NA,NA,29.795,2022-04-27,0,NA,0.8188,0.4215,0.1101,0.0572,2.485,1.1275,2.485,NA,2022-04-27,297.95,0.0141466689041786,0.11275,0.056375,0.00998442323957527,2984.14833637075,70.6880189798339
"47","2007",1,"B",0,29,40,"txt",19,NA,NA,32.303,2022-07-19,0,NA,0.866,0.512,0.117,0.071,2.44,1.1475,2.44,NA,2022-07-19,323.03,0.0158499210599635,0.11475,0.057375,0.0103417794039211,3123.54370929168,63.091796875
"48","2007",1,"B",0,37,749,"csv",12,NA,NA,6.725,2022-09-12,0,NA,0.1678,0.0989,0.0929,0.0507,21.06,0.98,NA,NA,2022-09-12,67.25,0.0147063197026022,0.098,0.049,0.0075429639612691,891.559343850892,67.9979777553084
"49","2007",2,"B",0,14,38,"txt",4,NA,NA,13.072,2022-04-04,0,NA,0.37,0.194,0.051,0.022,1.27,0.6,1.27,NA,2022-04-04,130.72,0.0148408812729498,0.06,0.03,0.00282743338823081,4623.2742579939,67.3814432989691
"50","2007",2,"B",0,17,35,"txt",27,NA,NA,29.003,2022-04-27,0,NA,0.7689,0.3954,0.0567,0.0297,1.683,1.08,1.683,NA,2022-04-27,290.03,0.013633072440782,0.108,0.054,0.00916088417786784,3165.96077811676,73.3510369246333
"51","2007",2,"B",0,29,41,"txt",19,NA,NA,19.703,2022-07-19,0,NA,0.507,0.297,0.045,0.027,1.14,1.0475,1.14,NA,2022-07-19,197.03,0.0150738466223418,0.10475,0.052375,0.00861783043526371,2286.30629808825,66.3400673400673
"52","2007",2,"B",0,37,750,"csv",12,NA,NA,15.278,2022-09-12,0,NA,0.3904,0.2251,0.0675,0.038,21.85,0.7775,NA,NA,2022-09-12,152.78,0.0147336038748527,0.07775,0.038875,0.00474778098512279,3217.92434147105,67.8720568636162
"53","2007",3,"B",0,14,39,"txt",4,NA,NA,36.239,2022-04-04,0,NA,1.023,0.54,0.199,0.091,5.73,1.3425,5.73,NA,2022-04-04,362.39,0.0149010734291785,0.13425,0.067125,0.0141552801862974,2560.10474699611,67.1092592592592
"54","2007",3,"B",0,17,36,"txt",27,NA,NA,16.573,2022-04-27,0,NA,0.4045,0.21,0.0513,0.0266,1.367,0.88,1.367,NA,2022-04-27,165.73,0.012671212212635,0.088,0.044,0.00608212337734984,2724.87073539461,78.9190476190476
"55","2007",3,"B",0,29,42,"txt",19,NA,NA,17.857,2022-07-19,0,NA,0.472,0.275,0.064,0.039,1.32,1.1425,1.32,NA,2022-07-19,178.57,0.0154001232009856,0.11425,0.057125,0.0102518513142121,1741.83173874605,64.9345454545454
"56","2007",3,"B",0,37,751,"csv",12,NA,NA,9.234,2022-09-12,0,NA,0.2632,2.3273,0.127,0.0685,29.84,1.095,NA,NA,2022-09-12,92.34,0.252035954082738,0.1095,0.05475,0.00941712032867625,980.554530229519,3.96768787865767
"57","2008",1,"B",0,14,43,"txt",4,NA,NA,26.426,2022-04-04,0,NA,0.737,0.384,0.05,0.022,1.76,0.8325,1.76,NA,2022-04-04,264.26,0.0145311435707258,0.08325,0.041625,0.00544325105881123,4854.81924579302,68.8177083333333
"58","2008",2,"B",0,14,44,"txt",4,NA,NA,30.991,2022-04-04,0,NA,0.942,0.48,0.053,0.023,1.43,0.9725,1.43,NA,2022-04-04,309.91,0.0154883675905908,0.09725,0.048625,0.00742795221771658,4172.21316072587,64.5645833333333
"59","2008",3,"B",0,14,45,"txt",4,NA,NA,24.088,2022-04-04,0,NA,0.678,0.357,0.055,0.024,1.55,0.8,1.55,NA,2022-04-04,240.88,0.0148206575888409,0.08,0.04,0.00502654824574367,4792.15533649697,67.4733893557423
"60","2009",1,"B",0,13,46,"txt",30,NA,NA,20.239,2022-03-30,0,NA,0.502,0.195,0.049,0.019,1.28,0.865,1.28,NA,2022-03-30,202.39,0.00963486338257819,0.0865,0.04325,0.00587654540808056,3444.03022431688,103.789743589744
"61","2009",1,"B",0,17,52,"txt",25,NA,NA,35.268,2022-04-25,0,NA,0.974,0.547,0.118,0.064,2.05,1.335,2.05,NA,2022-04-25,352.68,0.0155098105931723,0.1335,0.06675,0.0139975624176102,2519.58154911528,64.4753199268739
"62","2009",1,"B",0,21,55,"txt",23,NA,NA,26.321,2022-05-23,0,NA,0.798,0.363,0.062,0.027,1.01,1.14,1.01,NA,2022-05-23,263.21,0.0137912693286729,0.114,0.057,0.0102070345315132,2578.71176184782,72.5096418732782
"63","2009",1,"B",0,29,58,"txt",19,NA,NA,15.585,2022-07-19,0,NA,0.398,0.257,0.06,0.041,1.13,1.1,1.13,NA,2022-07-19,155.85,0.0164902149502727,0.11,0.055,0.00950331777710913,1639.95357890062,60.6420233463035
"64","2009",1,"L",0,37,883,"csv",12,NA,NA,25.006,2022-09-12,0,NA,0.7625,0.3298,0.2435,0.0413,18.87,1.3,NA,NA,2022-09-12,250.06,0.0131888346796769,0.13,0.065,0.0132732289614169,1883.94248849985,75.8217101273499
"65","2009",1,"L",1,37,884,"csv",12,"1",NA,7.641,2022-09-12,1,NA,1.6347,0.976,0.3654,0.2256,62.69,20.312,NA,"no year 0 growth, length in mm",2022-09-12,76.41,0.12773197225494,2.0312,1.0156,3.24037488236997,2.35806049527561,7.82889344262295
"66","2009",2,"B",0,13,47,"txt",30,NA,NA,26.665,2022-03-30,0,NA,0.674,0.271,0.08,0.032,1.33,0.8225,1.33,NA,2022-03-30,266.65,0.0101631351959497,0.08225,0.041125,0.00531326766276895,5018.56892827865,98.3948339483395
"67","2009",2,"B",0,17,53,"txt",25,NA,NA,32.056,2022-04-25,0,NA,0.829,0.47,0.104,0.056,1.79,1.1175,1.79,NA,2022-04-25,320.56,0.0146618417768904,0.11175,0.055875,0.00980810135189254,3268.31859193773,68.2042553191489
"68","2009",2,"B",0,21,56,"txt",23,NA,NA,21.758,2022-05-23,0,NA,0.648,0.297,0.054,0.024,0.95,1.1025,0.95,NA,2022-05-23,217.58,0.0136501516683519,0.11025,0.055125,0.0095465637634812,2279.14467855247,73.2592592592593
"69","2009",2,"B",0,29,59,"txt",19,NA,NA,25.335,2022-07-19,0,NA,0.639,0.415,0.079,0.054,1.19,1.245,1.19,NA,2022-07-19,253.35,0.0163805012828103,0.1245,0.06225,0.0121738678822013,2081.09700591057,61.0481927710843
"70","2009",3,"B",0,13,48,"txt",30,NA,NA,23.959,2022-03-30,0,NA,0.617,0.249,0.059,0.024,1.41,1.06,1.41,NA,2022-03-30,239.59,0.0103927542885763,0.106,0.053,0.00882473376393373,2714.98275652454,96.2208835341365
"71","2009",3,"B",0,17,54,"txt",25,NA,NA,24.25,2022-04-25,0,NA,0.661,0.378,0.093,0.051,1.86,1.2575,1.86,NA,2022-04-25,242.5,0.0155876288659794,0.12575,0.062875,0.0124195502451891,1952.56668085816,64.1534391534392
"72","2009",3,"B",0,21,57,"txt",23,NA,NA,13.715,2022-05-23,0,NA,0.426,0.195,0.06,0.025,1.15,1.2725,1.15,NA,2022-05-23,137.15,0.014218009478673,0.12725,0.063625,0.0127176088481984,1078.42599687621,70.3333333333333
"73","2009",3,"B",0,29,60,"txt",19,NA,NA,23.4,2022-07-19,0,NA,0.595,0.388,0.088,0.062,1.45,1.3725,1.45,NA,2022-07-19,234,0.0165811965811966,0.13725,0.068625,0.0147949869903846,1581.6168013671,60.3092783505155
"74","2009",4,"B",0,13,49,"txt",30,NA,NA,33.638,2022-03-30,0,NA,0.892,0.334,0.066,0.023,1.25,1.26,1.25,NA,2022-03-30,336.38,0.00992924668529639,0.126,0.063,0.0124689812420979,2697.73442969271,100.712574850299
"75","2009",5,"B",0,13,50,"txt",30,NA,NA,22.994,2022-03-30,0,NA,0.527,0.167,0.045,0.014,1.38,1.3825,1.38,NA,2022-03-30,229.94,0.00726276419935635,0.13825,0.069125,0.0150113641844006,1531.77284339652,137.688622754491
"76","2009",6,"B",0,13,51,"txt",30,NA,NA,17.116,2022-03-30,0,NA,0.409,0.097,0.04,0.013,1.06,0.7475,1.06,NA,2022-03-30,171.16,0.00566721196541248,0.07475,0.037375,0.00438846132536846,3900.22805967487,176.453608247423
"77","2009",7,"L",0,37,730,"txt",12,NA,NA,30.664,2022-09-12,0,NA,0.6541,0.395,0.0917,0.0547,16.06,1.005,1.606,NA,2022-09-12,306.64,0.0128815549178189,0.1005,0.05025,0.00793271779985508,3865.51000220381,77.6303797468354
"78","2010",1,"B",0,17,61,"txt",25,NA,NA,32.976,2022-04-25,0,NA,0.86,0.462,0.092,0.046,1.54,1.4275,1.54,NA,2022-04-25,329.76,0.0140101892285298,0.14275,0.071375,0.0160045001620167,2060.42048587444,71.3766233766234
"79","2010",1,"B",0,21,64,"txt",23,NA,NA,31.499,2022-05-23,0,NA,0.895,0.455,0.158,0.076,1.94,1.7325,1.94,NA,2022-05-23,314.99,0.0144449030127941,0.17325,0.086625,0.0235741676608413,1336.16594457002,69.2285714285714
"80","2010",1,"B",0,29,67,"txt",19,NA,NA,41.416,2022-07-19,0,NA,1.108,0.673,0.127,0.083,1.78,1.425,1.78,NA,2022-07-19,414.16,0.0162497585474213,0.1425,0.07125,0.0159484914554894,2596.86003002777,61.5393759286776
"81","2010",1,"B",0,37,752,"csv",12,NA,NA,18.253,2022-09-12,0,NA,0.4459,0.2544,0.1641,0.0994,22.26,1.695,2.226,NA,2022-09-12,182.53,0.0139374349422013,0.1695,0.08475,0.0225646855839495,808.918871574418,71.749213836478
"82","2010",2,"B",0,17,62,"txt",25,NA,NA,26.048,2022-04-25,0,NA,0.676,0.361,0.118,0.06,1.37,1.3025,1.37,NA,2022-04-25,260.48,0.0138590294840295,0.13025,0.065125,0.0133243289294229,1954.92021684338,72.1551246537396
"83","2010",2,"B",0,21,65,"txt",23,NA,NA,47.289,2022-05-23,0,NA,1.462,0.724,0.249,0.12,2.47,1.93,2.47,NA,2022-05-23,472.89,0.0153101144029267,0.193,0.0965,0.0292552961883916,1616.42526862415,65.3162983425414
"84","2010",2,"B",0,29,68,"txt",19,NA,NA,32.972,2022-07-19,0,NA,0.981,0.588,0.102,0.067,1.28,1.595,1.28,NA,2022-07-19,329.72,0.0178333131141575,0.1595,0.07975,0.0199807256263719,1650.19031923852,56.0748299319728
"85","2010",3,"B",0,17,63,"txt",25,NA,NA,30.164,2022-04-25,0,NA,0.888,0.485,0.149,0.072,2.54,1.6075,2.54,NA,2022-04-25,301.64,0.0160787693939796,0.16075,0.080375,0.020295130328657,1486.26786384358,62.1938144329897
"86","2010",3,"B",0,21,66,"txt",23,NA,NA,40.646,2022-05-23,0,NA,1.215,0.604,0.15,0.073,2.37,1.5725,2.37,NA,2022-05-23,406.46,0.0148600108251734,0.15725,0.078625,0.0194209821727956,2092.89106175772,67.294701986755
"87","2010",3,"B",0,29,69,"txt",19,NA,NA,30.399,2022-07-19,0,NA,1.054,0.623,0.449,0.285,5.23,2,5.23,NA,2022-07-19,303.99,0.0204940952005,0.2,0.1,0.0314159265358979,967.630223010105,48.7945425361156
"88","2010",3,"B",0,29,69,"txt",19,NA,NA,30.399,2022-07-19,0,NA,0.859,0.525,0.114,0.075,1.53,1.525,1.53,NA,2022-07-19,303.99,0.0172703049442416,0.1525,0.07625,0.0182654160375119,1664.29277808779,57.9028571428571
"89","2010",3,"B",0,37,754,"csv",12,NA,NA,11.86,2022-09-12,0,NA,0.2617,0.1505,0.1477,0.0893,22.95,2.08,2.295,NA,2022-09-12,118.6,0.0126897133220911,0.208,0.104,0.0339794661412272,349.03432416233,78.8039867109635
"90","2010",4,"B",0,29,70,"txt",19,NA,NA,25.553,2022-07-19,0,NA,0.736,0.439,0.206,0.13,2.94,1.7725,2.94,NA,2022-07-19,255.53,0.017179978867452,0.17725,0.088625,0.0246752958859245,1035.57015559745,58.2072892938497
"91","2010",5,"B",0,29,71,"txt",19,NA,NA,22.885,2022-07-19,0,NA,0.657,0.394,0.165,0.104,2.35,1.875,2.35,NA,2022-07-19,228.85,0.017216517369456,0.1875,0.09375,0.0276116541819415,828.81669635596,58.0837563451777
"92","2011",1,"B",0,17,73,"txt",25,NA,NA,27.748,2022-04-25,0,NA,0.781,0.431,0.078,0.039,1.2,1.15,1.2,NA,2022-04-25,277.48,0.015532651001874,0.115,0.0575,0.0103868907109313,2671.44430149802,64.3805104408353
"93","2011",1,"B",0,21,76,"txt",23,NA,NA,21.451,2022-05-23,0,NA,0.636,0.336,0.057,0.029,0.92,1.3375,0.92,NA,2022-05-23,214.51,0.0156636054263205,0.13375,0.066875,0.0140500368324022,1526.7575634058,63.8422619047619
"94","2011",1,"B",0,29,79,"txt",19,NA,NA,23.136,2022-07-19,0,NA,0.59,0.377,0.058,0.039,1.05,1.26,1.05,NA,2022-07-19,231.36,0.0162949515905947,0.126,0.063,0.0124689812420979,1855.48438567603,61.368700265252
"95","2011",1,"B",0,37,755,"csv",12,NA,NA,25.013,2022-09-12,0,NA,0.599,0.3598,0.0745,0.0462,16.68,1.655,1.668,NA,2022-09-12,250.13,0.0143845200495742,0.1655,0.08275,0.021512252044997,1162.73275097747,69.5191773207337
"96","2011",2,"B",0,17,74,"txt",25,NA,NA,20.709,2022-04-25,0,NA,0.591,0.324,0.061,0.031,0.98,1.1525,0.98,NA,2022-04-25,207.09,0.015645371577575,0.11525,0.057625,0.0104321001927118,1985.12280532619,63.9166666666667
"97","2011",2,"B",0,21,77,"txt",23,NA,NA,15.039,2022-05-23,0,NA,0.445,0.235,0.037,0.019,0.8,1.0075,0.8,NA,2022-05-23,150.39,0.0156260389653567,0.10075,0.050375,0.00797223314495101,1886.42250252359,63.9957446808511
"98","2011",2,"B",0,29,80,"txt",19,NA,NA,18.519,2022-07-19,0,NA,0.511,0.327,0.043,0.029,0.8,1.2025,0.8,NA,2022-07-19,185.19,0.0176575409039365,0.12025,0.060125,0.0113569065301123,1630.63770498575,56.6330275229358
"99","2011",2,"B",0,37,756,"csv",12,NA,NA,31.633,2022-09-12,0,NA,0.7613,0.4346,0.1141,0.0658,18.62,1.6625,1.862,NA,2022-09-12,316.33,0.0137388170581355,0.16625,0.083125,0.0217076689255273,1457.22694171003,72.7864703175334
"100","2011",3,"B",0,17,75,"txt",25,NA,NA,28.311,2022-04-25,0,NA,0.776,0.428,0.057,0.028,0.93,1.3075,0.93,NA,2022-04-25,283.11,0.0151177987354738,0.13075,0.065375,0.0134268233897463,2108.54043269984,66.1471962616822
"101","2011",3,"B",0,21,78,"txt",23,NA,NA,18.489,2022-05-23,0,NA,0.56,0.299,0.052,0.027,0.96,1.105,0.96,NA,2022-05-23,184.89,0.0161717778138353,0.1105,0.05525,0.00958990792462369,1927.96428759513,61.8361204013378
"102","2011",3,"B",0,29,81,"txt",19,NA,NA,25.467,2022-07-19,0,NA,0.662,0.421,0.081,0.054,1.08,1.4075,1.08,NA,2022-07-19,254.67,0.0165311972356383,0.14075,0.070375,0.0155591794033704,1636.78297805882,60.4916864608076
"103","2011",7,"B",0,37,676,"txt",12,NA,NA,13.668,2022-09-12,0,NA,0.3022,0.1896,0.1008,0.0599,12.17,1.1175,1.217,NA,2022-09-12,136.68,0.0138718173836699,0.11175,0.055875,0.00980810135189254,1393.54188029089,72.0886075949367
