"","time","type","year","x14","tree","lfm_wet_per_dry_g","lfm_percent","lfm_wet_wt_g","lfm_dry_wt_g","date_lfm","week"
"135","pd","leaf",0,NA,2379,1.31538021037403,131.538021037403,7.6822,3.3179,2022-02-28,9
"136","md","leaf",0,NA,2020,1.30653336595938,130.653336595938,13.1966,5.7214,2022-02-28,9
"137","pd","stem",0,NA,2378,3.42043795620438,342.043795620438,1.2112,0.274,2022-02-28,9
"138","md","stem",1,NA,2025,0.87603305785124,87.603305785124,0.9534,0.5082,2022-02-28,9
"139","pd","stem",0,NA,2383,0.0766773162939298,7.66773162939298,0.1685,0.1565,2022-02-28,9
"140","pd","stem",0,NA,2354,10.2854209445585,1028.54209445585,0.5496,0.0487,2022-02-28,9
"141","md","stem",0,NA,2089,0.653179190751445,65.3179190751445,0.6006,0.3633,2022-02-28,9
"142","md","stem",0,NA,2020,2.89714993804213,289.714993804213,1.258,0.3228,2022-02-28,9
"143","md","stem",1,NA,2331,0.68920360849743,68.920360849743,1.7414,1.0309,2022-03-08,10
"144","md","leaf",0,NA,2004,1.81342569684974,181.342569684974,8.5289,3.0315,2022-02-28,9
"145","md","leaf",0,NA,2023,1.12728042626769,112.728042626769,6.0285,2.8339,2022-02-28,9
"146","md","stem",1,NA,2021,0.795972284532177,79.5972284532177,3.6029,2.0061,2022-02-28,9
"147","md","leaf",0,NA,2006,1.60109994776784,160.109994776784,8.4658,3.2547,2022-02-28,9
"148","md","stem",0,NA,2021,2.85826210826211,285.826210826211,1.0834,0.2808,2022-02-28,9
"149","md","stem",0,NA,2025,1.83354166666667,183.354166666667,1.3601,0.48,2022-02-28,9
"150","md","leaf",1,NA,2389,0.910682001769435,91.0682001769435,4.9672,2.5997,2022-02-28,9
"151","md","both",NA,NA,2354,0.720925732079555,72.0925732079555,19.564,11.3683,2022-02-28,9
"152","md","both",NA,NA,2354,0.707811446755812,70.7811446755812,10.8943,6.3791,2022-02-28,9
"153","md","both",NA,NA,2381,0.722135007849294,72.2135007849294,9.4342,5.4782,2022-02-28,9
"154","pd","leaf",1,NA,2381,3.83793738489871,383.793738489871,0.5254,0.1086,2022-03-08,10
"155","md","both",NA,NA,2301,0.900021368662856,90.0021368662856,7.1133,3.7438,2022-02-28,9
"156","pd","leaf",1,NA,2331,0.724837108649119,72.4837108649119,7.3328,4.2513,2022-03-08,10
"157","pd","leaf",1,NA,2301,0.796445903716824,79.6445903716824,12.4747,6.9441,2022-03-08,10
"158","pd","stem",1,NA,2301,1.2376211684569,123.76211684569,1.7082,0.7634,2022-03-08,10
"159","md","both",NA,NA,3477,0.86777320684688,86.777320684688,14.3925,7.7057,2022-02-28,9
"160","md","stem",1,NA,2004,6.13956310679612,613.956310679612,0.5883,0.0824,2022-02-28,9
"161","md","both",NA,NA,2301,0.80987541020079,80.987541020079,13.0159,7.1916,2022-02-28,9
"162","md","both",NA,NA,2331,0.714776718936453,71.4776718936453,20.4055,11.8998,2022-02-28,9
"163","md","stem",0,NA,2004,1.2426722497145,124.26722497145,1.1783,0.5254,2022-02-28,9
"164","md","both",NA,NA,3480,0.582992915359264,58.2992915359264,16.043,10.1346,2022-02-28,9
"165","md","both",NA,NA,2376,0.774578854153795,77.4578854153796,21.5425,12.1395,2022-02-28,9
"166","md","leaf",0,NA,2021,1.22167042889391,122.167042889391,11.8104,5.316,2022-02-28,9
"167","md","both",NA,NA,2352,0.714182335701277,71.4182335701277,14.2128,8.2913,2022-02-28,9
"168","md","stem",0,NA,2004,2.23499874466483,223.499874466483,1.2885,0.3983,2022-02-28,9
"169","pd","stem",1,NA,2331,0.855542276665671,85.5542276665671,1.2421,0.6694,2022-02-28,9
"170","pd","leaf",1,NA,2354,0.831733824837931,83.1733824837931,5.7641,3.1468,2022-02-28,9
"171","md","leaf",0,NA,2027,0.933569313263357,93.3569313263357,11.0343,5.7067,2022-02-28,9
"172","pd","leaf",0,NA,2378,1.48985765124555,148.985765124555,5.5972,2.248,2022-02-28,9
"173","pd","leaf",1,NA,2377,0.808850289495451,80.8850289495451,6.5607,3.627,2022-03-08,10
"174","md","both",NA,NA,2345,0.741575373849294,74.1575373849294,12.543,7.2021,2022-02-28,9
"175","md","stem",0,NA,2007,1.92588303416329,192.588303416329,1.0106,0.3454,2022-02-28,9
"176","pd","stem",0,NA,2331,-0.697516930022573,-69.7516930022573,0.0536,0.1772,2022-03-08,10
"177","md","both",NA,NA,2366,0.735115694600919,73.5115694600919,12.0129,6.9234,2022-02-28,9
"178","md","both",NA,NA,2377,0.717295122505447,71.7295122505447,12.8476,7.4813,2022-02-28,9
"179","md","both",NA,NA,2322,6.55063739376771,655.063739376771,12.7938,1.6944,2022-02-28,9
"180","md","leaf",0,NA,2331,2.38593583520777,238.593583520777,2.8601,0.8447,2022-03-08,10
"181","md","both",NA,NA,2345,0.849480374473933,84.9480374473933,8.6134,4.6572,2022-02-28,9
"182","pd","stem",0,NA,2006,2.21846015757455,221.846015757455,6.4543,2.0054,2022-02-28,9
"183","md","stem",0,NA,2024,2.06332020997375,206.332020997375,0.9337,0.3048,2022-02-28,9
"184","md","leaf",1,NA,2093,0.591451341451342,59.1451341451342,6.4301,4.0404,2022-02-28,9
"185","pd","leaf",0,NA,2006,1.06285509774974,106.285509774974,9.2222,4.4706,2022-03-30,13
"186","pd","stem",0,NA,2022,4.42189781021898,442.189781021898,0.7428,0.137,2022-03-30,13
"187","pd","leaf",1,NA,2301,0.779575908869186,77.9575908869186,6.202,3.4851,2022-03-30,13
"188","pd","leaf",1,NA,2023,0.853983745425179,85.3983745425179,10.79,5.8199,2022-03-30,13
"189","pd","leaf",0,NA,2372,1.6729633617174,167.29633617174,8.1929,3.0651,2022-03-30,13
"190","pd","stem",0,NA,2370,0.131545221530575,13.1545221530575,1.2361,1.0924,2022-03-30,13
"191","pd","stem",0,NA,2382,0.56400310318076,56.400310318076,0.6048,0.3867,2022-03-30,13
"192","pd","stem",1,NA,2352,-0.358731099911058,-35.8731099911058,0.2163,0.3373,2022-03-30,13
"193","pd","stem",0,NA,2025,1.48819527811124,148.819527811124,0.6218,0.2499,2022-03-30,13
"194","pd","leaf",1,NA,2030,1.15210020719533,115.210020719533,2.2851,1.0618,2022-03-30,13
"195","pd","stem",1,NA,2009,1.04900124843945,104.900124843945,0.6565,0.3204,2022-03-30,13
"196","md","stem",1,NA,1478,1.91681574239714,191.681574239714,1.6305,0.559,2022-03-30,13
"197","pd","stem",0,NA,2009,4.18067978533095,418.067978533095,0.8688,0.1677,2022-03-30,13
"198","pd","stem",1,NA,2086,2.54074702886248,254.074702886248,1.2513,0.3534,2022-03-30,13
"199","pd","stem",0,NA,2371,2.37314540059347,237.314540059347,0.4547,0.1348,2022-03-30,13
"200","pd","leaf",0,NA,2026,1.17027321682249,117.027321682249,6.5692,3.0269,2022-03-30,13
"201","pd","leaf",0,NA,2354,1.5498289892676,154.98289892676,2.162,0.8479,2022-03-30,13
"202","pd","leaf",0,NA,2024,1.35644021449625,135.644021449625,6.6355,2.8159,2022-03-30,13
"203","pd","stem",1,NA,2369,-0.664252021563342,-66.4252021563342,0.1993,0.5936,2022-03-30,13
"204","md","stem",0,NA,2015,1.49560485558811,149.560485558811,1.7886,0.7167,2022-03-30,13
"205","pd","stem",1,NA,2360,0.241924994580533,24.1924994580533,0.5729,0.4613,2022-03-30,13
"206","pd","leaf",0,NA,2012,1.85393258426966,185.393258426966,6.223,2.1805,2022-03-30,13
"207","pd","stem",1,NA,2027,-0.266242038216561,-26.624203821656,0.2304,0.314,2022-03-30,13
"208","pd","stem",0,NA,2008,3.53052404105889,353.052404105889,0.8386,0.1851,2022-03-30,13
"209","pd","stem",1,NA,2378,1.1705950991832,117.05950991832,0.9301,0.4285,2022-03-30,13
"210","pd","stem",0,NA,2343,3.18059299191375,318.059299191375,1.2408,0.2968,2022-03-30,13
"211","pd","leaf",0,NA,2031,1.33525783370343,133.525783370343,4.7324,2.0265,2022-03-30,13
"212","pd","leaf",0,NA,2011,1.42023782813552,142.023782813552,4.3148,1.7828,2022-03-30,13
"213","pd","leaf",0,NA,2380,2.18259874069834,218.259874069834,0.556,0.1747,2022-03-30,13
"214","pd","stem",1,NA,2090,0.669201013738829,66.9201013738829,1.2514,0.7497,2022-03-30,13
"215","pd","leaf",0,NA,2009,1.52939657954179,152.939657954179,3.9193,1.5495,2022-03-30,13
"216","pd","leaf",1,NA,2092,0.778103044496487,77.8103044496487,4.8592,2.7328,2022-03-30,13
"217","pd","stem",1,NA,1478,1.63183447000347,163.183447000347,2.2768,0.8651,2022-03-30,13
"218","pd","stem",1,NA,2012,1.11743956841996,111.743956841996,2.041,0.9639,2022-03-30,13
"219","pd","leaf",1,NA,2352,0.66156966765486,66.156966765486,3.1947,1.9227,2022-03-30,13
"220","md","stem",0,NA,2087,3.32009468700684,332.009468700684,1.6425,0.3802,2022-03-30,13
"221","pd","stem",0,NA,2029,-1.42658875091308,-142.658875091308,-0.0584,0.1369,2022-03-30,13
"222","pd","stem",0,NA,2352,2.08838821490468,208.838821490468,0.5346,0.1731,2022-03-30,13
"223","pd","stem",1,NA,2024,1.15369958717053,115.369958717053,1.3564,0.6298,2022-03-30,13
"224","md","stem",0,NA,2088,2.99798030800303,299.798030800303,1.5836,0.3961,2022-03-30,13
"225","pd","stem",1,NA,2022,1.21144519883608,121.144519883608,1.824,0.8248,2022-03-30,13
"226","pd","stem",1,NA,2367,0.341073332543537,34.1073332543537,1.132,0.8441,2022-03-30,13
"227","pd","stem",0,NA,2354,-6.16820276497696,-616.820276497696,-0.2243,0.0434,2022-03-30,13
"228","pd","leaf",0,NA,2093,2.74617737003058,274.617737003058,0.3675,0.0981,2022-03-30,13
"229","pd","stem",1,NA,2377,-0.111231101511879,-11.1231101511879,0.4115,0.463,2022-03-30,13
"230","pd","leaf",0,NA,2008,1.56056065286551,156.056065286551,5.5536,2.1689,2022-03-30,13
"231","pd","stem",0,NA,2367,0.485036119711042,48.5036119711042,0.1439,0.0969,2022-03-30,13
"232","pd","leaf",0,NA,2021,1.09053288558733,109.053288558733,6.1631,2.9481,2022-03-30,13
"233","pd","leaf",0,NA,2027,1.10638216948121,110.638216948121,5.5381,2.6292,2022-03-30,13
"234","pd","stem",0,NA,2360,2.77869986168741,277.869986168741,1.0928,0.2892,2022-03-30,13
"235","pd","stem",0,NA,2085,1.80066913188942,180.066913188942,1.5905,0.5679,2022-03-30,13
"236","NA","leaf",0,NA,2031,1.04202223349786,104.202223349785,8.8538,4.3358,2022-03-30,13
"237","pd","stem",0,NA,2379,1.39017735334243,139.017735334243,0.876,0.3665,2022-03-30,13
"238","pd","leaf",0,NA,2382,1.12510396451345,112.510396451345,9.1983,4.3284,2022-03-30,13
"239","pd","stem",0,NA,2026,0.674287856071964,67.4287856071964,0.8934,0.5336,2022-03-30,13
"240","pd","stem",1,NA,2380,0.824497448182481,82.4497448182481,1.7517,0.9601,2022-03-30,13
"241","pd","stem",1,NA,2301,0.670236838135466,67.0236838135466,3.3216,1.9887,2022-03-30,13
"242","pd","leaf",0,NA,2381,1.28730613544367,128.730613544367,5.0291,2.1987,2022-03-30,13
"243","md","leaf",0,NA,2086,1.8858940397351,188.58940397351,4.3577,1.51,2022-03-30,13
"244","pd","stem",1,NA,2331,0.780609149375076,78.0609149375076,1.4674,0.8241,2022-03-30,13
"245","pd","leaf",1,NA,2377,0.538614491370397,53.8614491370397,3.869,2.5146,2022-03-30,13
"246","pd","stem",1,NA,2347,0.780874688420576,78.0874688420576,0.7859,0.4413,2022-03-30,13
"247","pd","stem",1,NA,2029,2.49664617104528,249.664617104528,1.2511,0.3578,2022-03-30,13
"248","pd","stem",0,NA,2378,1.70151187904968,170.151187904968,0.6254,0.2315,2022-03-30,13
"249","pd","stem",1,NA,2085,1.55993215228044,155.993215228044,2.7166,1.0612,2022-03-30,13
"250","pd","leaf",0,NA,2023,1.10306507261494,110.306507261494,5.2421,2.4926,2022-03-30,13
"251","pd","stem",0,NA,2015,1.86610793131643,186.610793131643,1.4021,0.4892,2022-03-30,13
"252","pd","leaf",0,NA,2010,1.42831938289841,142.831938289841,5.9183,2.4372,2022-03-30,13
"253","md","stem",1,NA,2086,2.24137191854234,224.137191854234,1.5121,0.4665,2022-03-30,13
"254","pd","leaf",0,NA,2378,1.07812931749102,107.812931749102,6.0166,2.8952,2022-03-30,13
"255","pd","stem",0,NA,2383,1.59589743589744,159.589743589744,0.7593,0.2925,2022-03-30,13
"256","pd","stem",0,NA,2005,0.711760993057017,71.1760993057017,0.8136,0.4753,2022-03-30,13
"257","pd","leaf",0,NA,1478,1.75311648402621,175.311648402621,4.7483,1.7247,2022-03-30,13
"258","pd","stem",0,NA,2380,101.333333333333,10133.3333333333,0.4298,0.0042,2022-03-30,13
"259","pd","leaf",0,NA,2090,1.51899328543926,151.899328543926,5.3647,2.1297,2022-03-30,13
"260","pd","leaf",1,NA,2091,0.791362087544049,79.1362087544049,6.151,3.4337,2022-03-30,13
"261","pd","leaf",0,NA,2028,1.06288942866195,106.288942866195,7.8134,3.7876,2022-03-30,13
"262","pd","stem",1,NA,2025,0.728501514798415,72.8501514798415,0.7417,0.4291,2022-03-30,13
"263","pd","stem",0,NA,2008,2.35341176470588,235.341176470588,0.7126,0.2125,2022-03-30,13
"264","pd","stem",1,NA,2021,1.24639954370455,124.639954370455,1.5754,0.7013,2022-03-30,13
"265","pd","stem",1,NA,2384,0.230620902429618,23.0620902429618,0.6382,0.5186,2022-03-30,13
"266","pd","leaf",0,NA,2345,1.36129032258065,136.129032258065,0.0366,0.0155,2022-03-30,13
"267","pd","stem",0,NA,2369,1.77495769881557,177.495769881557,0.492,0.1773,2022-03-30,13
"268","md","stem",1,NA,2015,0.314176245210728,31.4176245210728,0.6174,0.4698,2022-03-30,13
"269","pd","leaf",1,NA,2331,0.857225783655545,85.7225783655545,7.3587,3.9622,2022-03-30,13
