"","time","type","year","notes","tree","lfm_wet_per_dry_g","lfm_percent","lfm_wet_wt_g","lfm_dry_wt_g","date_lfm","week"
"24","pd","leaf",0,NA,2384,2.01297047448354,201.297047448354,6.3881,2.1202,2022-03-08,10
"25","pd","leaf",0,NA,2380,2.20418508694371,220.418508694371,5.4359,1.6965,2022-03-08,10
"26","pd","stem",0,NA,2380,3.86154334709432,386.154334709432,1.5309,0.3149,2022-03-08,10
"27","pd","stem",0,NA,2377,5.9281210592686,592.81210592686,0.5494,0.0793,2022-03-08,10
"28","pd","stem",1,NA,2381,0.879509478477957,87.9509478477957,6.851,3.6451,2022-03-08,10
"29","md","leaf",1,NA,2345,0.775506143361687,77.5506143361687,7.1386,4.0206,2022-03-08,10
"30","md","leaf",1,NA,2376,0.735319484487815,73.5319484487815,7.0421,4.0581,2022-03-08,10
"31","md","stem",1,NA,2352,0.507901266814679,50.7901266814679,1.1546,0.7657,2022-03-08,10
"32","md","leaf",0,NA,2377,1.89396001701404,189.396001701404,6.8037,2.351,2022-03-08,10
"33","md","leaf",1,NA,2377,0.879660650599805,87.9660650599805,3.4785,1.8506,2022-03-08,10
"34","pd","stem",0,NA,2366,2.08184143222506,208.184143222506,0.723,0.2346,2022-03-08,10
"35","md","leaf",0,NA,2331,0.58092485549133,58.092485549133,0.2735,0.173,2022-03-08,10
"36","md","leaf",0,NA,2381,1.8309866064858,183.09866064858,11.5408,4.0766,2022-03-08,10
"37","md","leaf",1,NA,2352,0.427924590433852,42.7924590433852,3.469,2.4294,2022-03-08,10
"38","pd","stem",1,NA,2366,0.771968486584761,77.1968486584761,6.4326,3.6302,2022-03-08,10
"39","pd","stem",1,NA,2382,0.513866231647634,51.3866231647634,0.0928,0.0613,2022-03-08,10
"40","pd","leaf",1,NA,2366,1.64427237531314,164.427237531314,3.4833,1.3173,2022-03-08,10
"41","md","leaf",1,NA,2331,0.801570091956792,80.1570091956792,8.9729,4.9806,2022-03-08,10
"42","md","leaf",0,NA,2007,1.46844162051224,146.844162051224,8.78,3.5569,2022-03-08,10
"43","pd","stem",1,NA,2384,0.723497337053005,72.3497337053006,5.4366,3.1544,2022-03-08,10
"44","pd","leaf",0,NA,2381,2.19454485374791,219.454485374791,7.474747368,2.339847368,2022-03-08,10
"45","md","stem",1,NA,2345,0.709347514829208,70.9347514829208,1.6714,0.9778,2022-03-08,10
"46","pd","stem",0,NA,2384,2.57366205652435,257.366205652435,0.5943,0.1663,2022-03-08,10
"47","md","leaf",1,NA,2331,0.796813372566206,79.6813372566206,11.4802,6.3892,2022-03-08,10
"48","md","stem",1,NA,2376,0.777463460631778,77.7463460631778,1.131,0.6363,2022-03-08,10
"49","pd","leaf",0,NA,2377,1.88069636456733,188.069636456733,1.1252,0.3906,2022-03-08,10
"50","pd","stem",1,NA,2345,1.00988673449798,100.988673449798,4.1878,2.0836,2022-03-08,10
"51","md","stem",0,NA,2381,2.98351486605829,298.351486605829,1.3532,0.3397,2022-03-08,10
"52","md","stem",1,NA,2301,1.40056068601583,140.056068601583,1.4557,0.6064,2022-03-08,10
"53","pd","stem",1,NA,2377,0.692608102385545,69.2608102385546,3.5973,2.1253,2022-03-08,10
"54","pd","leaf",1,NA,2382,2.03425757413553,203.425757413553,8.5029,2.8023,2022-03-08,10
"55","pd","stem",1,NA,2380,0.787518910741301,78.7518910741301,2.3631,1.322,2022-03-08,10
"56","pd","leaf",0,NA,2381,2.06577624009333,206.577624009333,7.6206,2.4857,2022-03-08,10
"57","md","stem",1,NA,2331,0.68920360849743,68.920360849743,1.7414,1.0309,2022-03-08,10
"58","pd","leaf",1,NA,2381,3.83793738489871,383.793738489871,0.5254,0.1086,2022-03-08,10
"59","pd","leaf",1,NA,2331,0.724837108649119,72.4837108649119,7.3328,4.2513,2022-03-08,10
"60","pd","leaf",1,NA,2301,0.796445903716824,79.6445903716824,12.4747,6.9441,2022-03-08,10
"61","pd","stem",1,NA,2301,1.2376211684569,123.76211684569,1.7082,0.7634,2022-03-08,10
"62","pd","leaf",1,NA,2377,0.808850289495451,80.8850289495451,6.5607,3.627,2022-03-08,10
"63","pd","stem",0,NA,2331,-0.697516930022573,-69.7516930022573,0.0536,0.1772,2022-03-08,10
"64","md","leaf",0,NA,2331,2.38593583520777,238.593583520777,2.8601,0.8447,2022-03-08,10
"65","pd","stem",1,NA,2383,1.65430809399478,165.430809399478,1.5249,0.5745,2022-03-08,10
"66","md","stem",1,NA,2093,3.28201603665521,328.201603665521,1.8691,0.4365,2022-03-08,10
"67","md","stem",1,NA,2007,1.11286061502695,111.286061502695,1.9994,0.9463,2022-03-08,10
"68","md","leaf",0,NA,2389,0.794472227183426,79.4472227183426,4.0189,2.2396,2022-03-08,10
"69","pd","stem",1,NA,2004,0.993330111164814,99.3330111164814,2.0621,1.0345,2022-03-08,10
"70","md","stem",1,NA,2027,1.08218472240113,108.218472240113,1.6164,0.7763,2022-03-08,10
"71","pd","stem",0,NA,2004,2.57301740812379,257.301740812379,0.7389,0.2068,2022-03-08,10
"72","pd","leaf",0,NA,2354,2.45909926470588,245.909926470588,1.5054,0.4352,2022-03-08,10
"73","md","stem",1,NA,2020,1.10688989053445,110.688989053445,1.636,0.7765,2022-03-08,10
"74","pd","leaf",0,NA,2004,2.29321081409478,229.321081409478,4.3365,1.3168,2022-03-08,10
"75","pd","leaf",0,NA,2383,1.7920462119529,179.20462119529,6.2835,2.2505,2022-03-08,10
"76","pd","stem",0,NA,2379,1.85638095238095,185.638095238095,0.7498,0.2625,2022-03-08,10
"77","md","leaf",0,NA,2004,1.69468146798111,169.468146798111,13.011,4.8284,2022-03-08,10
"78","md","stem",0,NA,2006,2.97420965058236,297.420965058236,1.4331,0.3606,2022-03-08,10
"79","md","leaf",0,NA,2025,1.23072844040301,123.072844040301,11.3582,5.0917,2022-03-08,10
"80","md","leaf",1,NA,2023,0.715462366421049,71.5462366421049,8.8933,5.1842,2022-03-08,10
"81","pd","stem",1,NA,2379,0.934877241859655,93.4877241859655,3.3336,1.7229,2022-03-08,10
"82","pd","stem",1,NA,2005,0.695169442373022,69.5169442373022,2.0459,1.2069,2022-03-08,10
"83","pd","stem",1,NA,2354,0.100723427935448,10.0723427935448,0.3956,0.3594,2022-03-08,10
"84","md","stem",3,NA,2027,0.17351598173516,17.351598173516,0.3341,0.2847,2022-03-08,10
"85","md","stem",0,NA,2093,0.0543898961091871,5.43898961091871,0.5176,0.4909,2022-03-08,10
"86","pd","leaf",0,NA,2331,0.468531468531468,46.8531468531468,0.357,0.2431,2022-03-08,10
"87","pd","leaf",1,NA,2331,0.606744757226525,60.6744757226525,5.1027,3.1758,2022-03-08,10
"88","md","leaf",0,NA,2024,1.71107445410574,171.107445410574,9.6967,3.5767,2022-03-08,10
"89","md","leaf",0,NA,2007,1.23799791070536,123.799791070536,9.8548,4.4034,2022-03-08,10
"90","pd","stem",0,NA,2007,3.61406377759607,361.406377759607,1.1286,0.2446,2022-03-08,10
"91","pd","stem",1,NA,2331,1.39086206896552,139.086206896552,1.3867,0.58,2022-03-08,10
"92","md","leaf",0,NA,2093,0.737353555535374,73.7353555535374,5.739,3.3033,2022-03-08,10
"93","pd","stem",0,NA,2005,2.43965811965812,243.965811965812,1.0061,0.2925,2022-03-08,10
"94","md","stem",1,NA,2006,0.89587786259542,89.587786259542,1.2418,0.655,2022-03-08,10
"95","pd","leaf",0,NA,2007,1.81348536615486,181.348536615486,6.8348,2.4293,2022-03-08,10
"96","pd","stem",0,NA,2006,2.00537313432836,200.537313432836,0.5034,0.1675,2022-03-08,10
"97","pd","leaf",0,NA,2005,2.16456239493544,216.456239493544,8.8478,2.7959,2022-03-08,10
"98","pd","stem",0,NA,2331,20.7447916666667,2074.47916666667,0.4175,0.0192,2022-03-08,10
"99","md","stem",1,NA,2004,1.42843385096906,142.843385096906,2.0173,0.8307,2022-03-08,10
"100","md","stem",1,"bottle weight is avg.",2023,1.30890732780166,130.890732780166,2.3096,1.0003,2022-03-08,10
"101","md","stem",0,NA,2023,1.58120684479135,158.120684479135,0.8598,0.3331,2022-03-08,10
"102","md","stem",1,NA,2024,0.350802893947415,35.0802893947415,0.7655,0.5667,2022-03-08,10
"103","md","stem",1,NA,2389,0.522349523963208,52.2349523963208,0.9434,0.6197,2022-03-08,10
"104","pd","leaf",0,NA,2379,1.31538021037403,131.538021037403,7.6822,3.3179,2022-03-08,10
"105","md","leaf",0,NA,2020,1.30653336595938,130.653336595938,13.1966,5.7214,2022-03-08,10
"106","md","stem",1,NA,2025,0.87603305785124,87.603305785124,0.9534,0.5082,2022-03-08,10
"107","pd","stem",0,NA,2383,0.0766773162939298,7.66773162939298,0.1685,0.1565,2022-03-08,10
"108","pd","stem",0,NA,2354,10.2854209445585,1028.54209445585,0.5496,0.0487,2022-03-08,10
"109","md","stem",0,NA,2089,0.653179190751445,65.3179190751445,0.6006,0.3633,2022-03-08,10
"110","md","stem",0,NA,2020,2.89714993804213,289.714993804213,1.258,0.3228,2022-03-08,10
"111","md","leaf",0,NA,2004,1.81342569684974,181.342569684974,8.5289,3.0315,2022-03-08,10
"112","md","leaf",0,NA,2023,1.12728042626769,112.728042626769,6.0285,2.8339,2022-03-08,10
"113","md","stem",1,"switcghed wet and dry",2021,0.795972284532177,79.5972284532177,3.6029,2.0061,2022-03-08,10
"114","md","leaf",0,NA,2006,1.60109994776784,160.109994776784,8.4658,3.2547,2022-03-08,10
"115","md","stem",0,NA,2021,2.85826210826211,285.826210826211,1.0834,0.2808,2022-03-08,10
"116","md","stem",0,NA,2025,1.83354166666667,183.354166666667,1.3601,0.48,2022-03-08,10
"117","md","leaf",1,NA,2389,0.910682001769435,91.0682001769435,4.9672,2.5997,2022-03-08,10
"118","md","stem",1,NA,2004,6.13956310679612,613.956310679612,0.5883,0.0824,2022-03-08,10
"119","md","stem",0,NA,2004,1.2426722497145,124.26722497145,1.1783,0.5254,2022-03-08,10
"120","md","leaf",0,NA,2021,1.22167042889391,122.167042889391,11.8104,5.316,2022-03-08,10
"121","md","stem",0,NA,2004,2.23499874466483,223.499874466483,1.2885,0.3983,2022-03-08,10
"122","pd","leaf",1,NA,2354,0.831733824837931,83.1733824837931,5.7641,3.1468,2022-03-08,10
"123","md","leaf",0,NA,2027,0.933569313263357,93.3569313263357,11.0343,5.7067,2022-03-08,10
"124","md","stem",0,NA,2007,1.92588303416329,192.588303416329,1.0106,0.3454,2022-03-08,10
"125","pd","stem",0,NA,2006,2.21846015757455,221.846015757455,6.4543,2.0054,2022-03-08,10
"126","md","stem",0,NA,2024,2.06332020997375,206.332020997375,0.9337,0.3048,2022-03-08,10
"127","md","leaf",1,NA,2093,0.591451341451342,59.1451341451342,6.4301,4.0404,2022-03-08,10
"128","pd","stem",1,NA,2384,0.988802985870435,98.8802985870435,0.746,0.3751,2022-03-15,11
"129","pd","stem",0,NA,2352,1.45849094166833,145.849094166833,1.2349,0.5023,2022-03-15,11
"130","pd","stem",1,NA,2092,0.775733111717915,77.5733111717915,1.4957,0.8423,2022-03-15,11
"131","pd","stem",0,NA,2023,3.25392552714222,325.392552714222,0.9482,0.2229,2022-03-15,11
"132","pd","stem",1,NA,2022,1.63507995916979,163.507995916979,1.5489,0.5878,2022-03-15,11
"133","pd","stem",0,NA,2024,1.55705102450783,155.705102450783,1.2729,0.4978,2022-03-15,11
"134","pd","stem",1,NA,2091,0.022048015678589,2.2048015678589,0.6258,0.6123,2022-03-15,11
"135","pd","stem",1,NA,2383,-0.0580592773041006,-5.80592773041006,0.464,0.4926,2022-03-15,11
"136","pd","stem",1,NA,2025,1.02790581786471,102.790581786471,1.6278,0.8027,2022-03-15,11
"137","pd","stem",1,NA,2020,1.82986847687739,182.986847687739,2.001,0.7071,2022-03-15,11
"138","pd","leaf",0,NA,2092,3.40203284333201,340.203284333201,13.2959,3.0204,2022-03-15,11
"139","pd","stem",0,NA,2382,1.41091658084449,141.091658084449,0.4682,0.1942,2022-03-15,11
"140","pd","stem",0,NA,2021,1.56533333333333,156.533333333333,0.481,0.1875,2022-03-15,11
"141","pd","leaf",0,NA,2021,1.5568946887208,155.68946887208,6.1524,2.4062,2022-03-15,11
"142","pd","stem",1,NA,2027,0.311013767209011,31.1013767209011,0.6285,0.4794,2022-03-15,11
"143","pd","stem",0,NA,2020,1.5,150,0.4125,0.165,2022-03-15,11
"144","pd","leaf",0,NA,2383,1.47976705348349,147.976705348349,5.791,2.3353,2022-03-15,11
"145","pd","stem",1,NA,2024,0.960392798690671,96.0392798690671,0.5989,0.3055,2022-03-15,11
"146","pd","stem",1,NA,2089,0.736120401337793,73.6120401337793,1.0382,0.598,2022-03-15,11
"147","pd","stem",0,NA,2384,1.63112504900039,163.112504900039,0.6712,0.2551,2022-03-15,11
"148","pd","leaf",1,NA,2022,0.824740332874484,82.4740332874484,5.8326,3.1964,2022-03-15,11
"149","pd","leaf",1,NA,2093,0.77816097915154,77.816097915154,6.8573,3.8564,2022-03-15,11
"150","pd","stem",0,NA,2092,-0.491504090623033,-49.1504090623033,0.1616,0.3178,2022-03-15,11
"151","pd","stem",0,NA,2091,0.615250544662309,61.5250544662309,0.7414,0.459,2022-03-15,11
"152","pd","leaf",0,NA,2023,1.26627658310562,126.627658310562,7.6301,3.3668,2022-03-15,11
"153","pd","stem",1,NA,2352,3.3850197109067,338.50197109067,1.0011,0.2283,2022-03-15,11
"154","pd","leaf",0,NA,2091,0.783033290692958,78.3033290692958,5.7148,3.2051,2022-03-15,11
"155","pd","stem",0,NA,2027,2.47787081339713,247.787081339713,0.5815,0.1672,2022-03-15,11
"156","pd","leaf",1,NA,2091,0.949092767697419,94.9092767697419,3.8134,1.9565,2022-03-15,11
"157","pd","leaf",0,NA,2352,1.55637871088526,155.637871088526,9.5583,3.739,2022-03-15,11
"158","pd","stem",0,NA,2383,4.16690856313498,416.690856313498,0.712,0.1378,2022-03-15,11
"159","pd","leaf",0,NA,2089,0.810668730319688,81.0668730319688,6.7853,3.7474,2022-03-15,11
"160","pd","leaf",0,NA,2025,1.40216154721274,140.216154721274,10.1352,4.2192,2022-03-15,11
"161","pd","leaf",0,NA,2384,1.69394912809755,169.394912809755,8.2187,3.0508,2022-03-15,11
"162","pd","leaf",0,NA,2020,1.37315906917437,137.315906917437,7.4446,3.137,2022-03-15,11
"163","pd","leaf",1,NA,2089,0.429031533218486,42.9031533218485,1.9079,1.3351,2022-03-15,11
"164","pd","leaf",0,NA,2382,1.50588283190164,150.588283190164,6.1552,2.4563,2022-03-15,11
"165","pd","leaf",0,NA,2024,1.49875930521092,149.875930521092,5.1357,2.0553,2022-03-15,11
"166","pd","stem",0,NA,2025,1.61301477522792,161.301477522792,0.8312,0.3181,2022-03-15,11
"167","pd","leaf",0,NA,2027,1.26032018465363,126.032018465363,7.6383,3.3793,2022-03-15,11
"168","pd","stem",1,NA,2382,0.543593363925168,54.3593363925168,0.8746,0.5666,2022-03-15,11
"169","pd","stem",1,NA,2093,0.695670508855777,69.5670508855777,1.2063,0.7114,2022-03-15,11
"170","NA","stem",0,NA,2089,0.720300178071738,72.0300178071737,1.3525,0.7862,2022-03-15,11
"171","pd","stem",1,NA,2021,1.53995188046093,153.995188046093,2.0058,0.7897,2022-03-15,11
"172","pd","leaf",0,NA,2093,0.474003466204506,47.4003466204506,0.1701,0.1154,2022-03-15,11
"173","pd","stem",0,NA,2093,-0.485232067510548,-48.5232067510549,0.0122,0.0237,2022-03-15,11
"174","pd","leaf",0,NA,2022,1.18865779853153,118.865779853153,7.1243,3.2551,2022-03-15,11
"175","pd","leaf",1,NA,2092,0.771509377791009,77.1509377791009,2.3802,1.3436,2022-03-15,11
"176","pd","stem",0,NA,2022,4.33161953727506,433.161953727506,1.037,0.1945,2022-03-15,11
"177","pd","stem",1,NA,2023,1.14668246445498,114.668246445498,0.9059,0.422,2022-03-15,11
"178","pd","leaf",1,NA,2023,0.784021610117464,78.4021610117464,4.3589,2.4433,2022-03-15,11
"179","pd","leaf",1,NA,2301,0.779575908869186,77.9575908869186,6.202,3.4851,2022-03-30,13
"180","pd","leaf",0,NA,2372,1.6729633617174,167.29633617174,8.1929,3.0651,2022-03-30,13
"181","pd","stem",0,NA,2370,0.131545221530575,13.1545221530575,1.2361,1.0924,2022-03-30,13
"182","pd","stem",0,NA,2382,0.56400310318076,56.400310318076,0.6048,0.3867,2022-03-30,13
"183","pd","stem",1,NA,2352,-0.358731099911058,-35.8731099911058,0.2163,0.3373,2022-03-30,13
"184","pd","stem",1,NA,2009,1.04900124843945,104.900124843945,0.6565,0.3204,2022-03-30,13
"185","pd","stem",0,NA,2009,4.18067978533095,418.067978533095,0.8688,0.1677,2022-03-30,13
"186","pd","stem",0,NA,2371,2.37314540059347,237.314540059347,0.4547,0.1348,2022-03-30,13
"187","pd","leaf",0,NA,2354,1.5498289892676,154.98289892676,2.162,0.8479,2022-03-30,13
"188","pd","stem",1,NA,2369,-0.664252021563342,-66.4252021563342,0.1993,0.5936,2022-03-30,13
"189","pd","stem",1,NA,2360,0.241924994580533,24.1924994580533,0.5729,0.4613,2022-03-30,13
"190","pd","stem",0,NA,2343,3.18059299191375,318.059299191375,1.2408,0.2968,2022-03-30,13
"191","pd","leaf",0,NA,2380,2.18259874069834,218.259874069834,0.556,0.1747,2022-03-30,13
"192","pd","leaf",0,NA,2009,1.52939657954179,152.939657954179,3.9193,1.5495,2022-03-30,13
"193","pd","leaf",1,NA,2352,0.66156966765486,66.156966765486,3.1947,1.9227,2022-03-30,13
"194","pd","stem",0,NA,2352,2.08838821490468,208.838821490468,0.5346,0.1731,2022-03-30,13
"195","pd","stem",1,NA,2367,0.341073332543537,34.1073332543537,1.132,0.8441,2022-03-30,13
"196","pd","stem",0,NA,2354,3.04838709677419,304.838709677419,0.1757,0.0434,2022-03-30,13
"197","pd","stem",1,NA,2377,-0.111231101511879,-11.1231101511879,0.4115,0.463,2022-03-30,13
"198","pd","stem",0,NA,2367,0.485036119711042,48.5036119711042,0.1439,0.0969,2022-03-30,13
"199","pd","stem",0,NA,2360,2.77869986168741,277.869986168741,1.0928,0.2892,2022-03-30,13
"200","pd","stem",0,NA,2379,1.39017735334243,139.017735334243,0.876,0.3665,2022-03-30,13
"201","pd","leaf",0,NA,2382,1.12510396451345,112.510396451345,9.1983,4.3284,2022-03-30,13
"202","pd","stem",1,NA,2380,0.824497448182481,82.4497448182481,1.7517,0.9601,2022-03-30,13
"203","pd","stem",1,NA,2301,0.670236838135466,67.0236838135466,3.3216,1.9887,2022-03-30,13
"204","pd","leaf",0,NA,2381,1.28730613544367,128.730613544367,5.0291,2.1987,2022-03-30,13
"205","pd","stem",1,NA,2331,0.780609149375076,78.0609149375076,1.4674,0.8241,2022-03-30,13
"206","pd","leaf",1,NA,2377,0.538614491370397,53.8614491370397,3.869,2.5146,2022-03-30,13
"207","pd","stem",1,NA,2347,0.780874688420576,78.0874688420576,0.7859,0.4413,2022-03-30,13
"208","pd","leaf",0,NA,2010,1.42831938289841,142.831938289841,5.9183,2.4372,2022-03-30,13
"209","pd","stem",0,NA,2383,1.59589743589744,159.589743589744,0.7593,0.2925,2022-03-30,13
"210","pd","stem",0,NA,2380,101.333333333333,10133.3333333333,0.4298,0.0042,2022-03-30,13
"211","pd","stem",1,NA,2384,0.230620902429618,23.0620902429618,0.6382,0.5186,2022-03-30,13
"212","pd","leaf",0,"switched wet and dry",2345,1.36129032258065,136.129032258065,0.0366,0.0155,2022-03-30,13
"213","pd","stem",0,NA,2369,1.77495769881557,177.495769881557,0.492,0.1773,2022-03-30,13
"214","pd","leaf",1,NA,2331,0.857225783655545,85.7225783655545,7.3587,3.9622,2022-03-30,13
"215","pd","stem",0,NA,2010,2.0628078817734,206.28078817734,0.7461,0.2436,2022-03-30,13
"216","pd","stem",1,NA,2383,1.71240234375,171.240234375,1.6665,0.6144,2022-03-30,13
"217","pd","leaf",0,NA,2360,1.1555137372977,115.55137372977,5.7272,2.657,2022-03-30,13
"218","pd","stem",1,"cont_wet entered wrong?",2376,1.52867550906034,152.867550906034,1.3536,0.5353,2022-03-30,13
"219","pd","stem",0,NA,2346,-6.08318890814558,-608.318890814558,-0.2933,0.0577,2022-03-30,13
"220","pd","leaf",1,NA,2346,1.01299283154122,101.299283154122,0.4493,0.2232,2022-03-30,13
"221","pd","stem",1,NA,2346,0.322333883305835,32.2333883305835,0.8816,0.6667,2022-03-30,13
"222","pd","stem",1,NA,2010,1.52360515021459,152.360515021459,0.4704,0.1864,2022-03-30,13
"223","pd","stem",0,NA,2384,0.431372549019608,43.1372549019608,0.1168,0.0816,2022-03-30,13
"224","pd","leaf",0,NA,2384,1.27939949958299,127.939949958299,3.5529,1.5587,2022-03-30,13
"225","pd","stem",0,NA,2347,2.18164362519201,218.164362519201,0.8285,0.2604,2022-03-30,13
"226","pd","stem",1,NA,2381,-1.4700693131695,-147.00693131695,-0.0746,0.1587,2022-03-30,13
"227","pd","stem",1,NA,2345,0.806948171162265,80.6948171162265,1.2795,0.7081,2022-03-30,13
"228","pd","stem",1,NA,2382,1.22141688099135,122.141688099135,0.9501,0.4277,2022-03-30,13
"229","pd","leaf",0,NA,2369,1.34294831685646,134.294831685646,7.489,3.1964,2022-03-30,13
"230","pd","leaf",1,NA,2354,0.219153560925713,21.9153560925713,0.9535,0.7821,2022-03-30,13
"231","pd","leaf",0,NA,2371,2.31286018788979,231.286018788979,4.1964,1.2667,2022-03-30,13
"232","pd","stem",0,NA,2375,0.93100486687661,93.100486687661,0.6745,0.3493,2022-03-30,13
"233","pd","stem",1,NA,2371,2.14584023864766,214.584023864766,0.9491,0.3017,2022-03-30,13
"234","pd","leaf",0,NA,2347,1.58682223747426,158.682223747426,7.538,2.914,2022-03-30,13
"235","pd","leaf",1,NA,2376,0.863164774119762,86.3164774119762,6.8421,3.6723,2022-03-30,13
"236","pd","leaf",0,NA,2383,1.12292647808741,112.292647808741,7.0772,3.3337,2022-03-30,13
"237","pd","leaf",0,NA,2346,2.08257853150896,208.257853150896,3.1991,1.0378,2022-03-30,13
"238","pd","leaf",0,NA,2331,0.986154378677743,98.6154378677743,0.5738,0.2889,2022-03-30,13
"239","pd","stem",0,NA,2381,1.1776664702416,117.76664702416,0.7391,0.3394,2022-03-30,13
"240","pd","leaf",0,NA,2343,1.57191985121241,157.191985121241,7.3292,2.8497,2022-03-30,13
"241","pd","leaf",0,NA,2375,1.65946712018141,165.946712018141,4.6913,1.764,2022-03-30,13
"242","pd","leaf",0,NA,2367,1.37388747001006,137.388747001006,3.0673,1.2921,2022-03-30,13
"243","pd","stem",1,NA,2354,0.884648006785411,88.4648006785411,0.2222,0.1179,2022-03-30,13
"244","pd","stem",0,NA,2331,0.651639344262295,65.1639344262295,0.1209,0.0732,2022-03-30,13
"245","pd","leaf",0,NA,2352,5.565625,556.5625,0.8404,0.128,2022-03-30,13
"246","pd","stem",1,NA,2379,-2.33960843373494,-233.960843373494,-0.3558,0.2656,2022-03-30,13
"247","pd","stem",0,NA,2365,4.37814397224631,437.814397224631,0.6201,0.1153,2022-03-30,13
"248","pd","stem",1,NA,2375,4.3957769355712,439.57769355712,0.9966,0.1847,2022-03-30,13
"249","pd","leaf",1,NA,2380,0.766017356952237,76.6017356952237,8.4043,4.7589,2022-03-30,13
"250","pd","leaf",0,NA,2370,1.33548073416798,133.548073416798,1.9214,0.8227,2022-03-30,13
"251","pd","stem",1,NA,2365,0.94190379403794,94.190379403794,1.1465,0.5904,2022-03-30,13
"252","pd","stem",1,NA,2370,1.63039188046236,163.039188046236,1.866,0.7094,2022-03-30,13
"253","pd","stem",0,NA,2372,3.54112939084037,354.112939084037,1.0213,0.2249,2022-03-30,13
"254","pd","leaf",1,NA,2345,0.786014813516238,78.6014813516238,8.1503,4.5634,2022-03-30,13
"255","pd","leaf",0,NA,2365,1.29786132256227,129.786132256227,4.4374,1.9311,2022-03-30,13
"256","pd","stem",1,NA,2372,1.16956412194507,116.956412194507,0.8611,0.3969,2022-03-30,13
"257","pd","leaf",0,NA,2379,1.2287054606789,122.87054606789,4.2283,1.8972,2022-03-30,13
"258","pd","stem",1,NA,2343,1.2543728135932,125.43728135932,0.4511,0.2001,2022-03-30,13
"259","pd","leaf",0,NA,2006,1.06285509774974,106.285509774974,9.2222,4.4706,2022-04-04,14
"260","pd","stem",0,NA,2022,4.42189781021898,442.189781021898,0.7428,0.137,2022-04-04,14
"261","pd","leaf",1,NA,2023,0.853983745425179,85.3983745425179,10.79,5.8199,2022-04-04,14
"262","pd","stem",0,NA,2025,1.48819527811124,148.819527811124,0.6218,0.2499,2022-04-04,14
"263","pd","leaf",1,NA,2030,1.15210020719533,115.210020719533,2.2851,1.0618,2022-04-04,14
"264","md","stem",1,NA,1478,1.91681574239714,191.681574239714,1.6305,0.559,2022-04-04,14
"265","pd","stem",1,NA,2086,2.54074702886248,254.074702886248,1.2513,0.3534,2022-04-04,14
"266","pd","leaf",0,NA,2026,1.17027321682249,117.027321682249,6.5692,3.0269,2022-04-04,14
"267","pd","leaf",0,NA,2024,1.35644021449625,135.644021449625,6.6355,2.8159,2022-04-04,14
"268","md","stem",0,NA,2015,1.49560485558811,149.560485558811,1.7886,0.7167,2022-04-04,14
"269","pd","leaf",0,"check",2012,1.85393258426966,185.393258426966,6.223,2.1805,2022-04-04,14
