"","week","tree","plot","site","species","time","date_wp","mpa_mean","lwc_mean","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc","branch","year","lwm_g","ldm_g","l_cm","d_cm","area_cm2","lma_g_cm2","alas_cm2_per_mm2","sla_cm_g","leaf_count","lwa_g_cm2"
"23",9,"2352","MiddleEarth","LL","live oak","md",2022-02-28,2.274,0.594613452368969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",9,"2352","MiddleEarth","LL","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",9,"2354","MiddleEarth","LL","live oak","md",2022-02-28,1.7684,0.666092448925548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",9,"2354","MiddleEarth","LL","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",9,"2371","Weathertop","LL","blue oak","pd",2022-02-28,1.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",9,"2371","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",9,"2372","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",9,"2372","Weathertop","LL","blue oak","pd",2022-02-28,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",9,"2373","Weathertop","LL","blue oak","pd",2022-02-28,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",9,"2373","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",9,"2376","MiddleEarth","LL","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",9,"2376","MiddleEarth","LL","live oak","md",2022-02-28,1.69166666666667,0.694415536938921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",9,"2377","MiddleEarth","LL","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",9,"2377","MiddleEarth","LL","live oak","md",2022-02-28,2.14,0.677196164961801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",9,"2380","MiddleEarth","LL","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",9,"2380","MiddleEarth","LL","live oak","md",2022-02-28,1.865,0.662534710901753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",9,"2381","Weathertop","LL","blue oak","md",2022-03-03,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",9,"2381","Weathertop","LL","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",9,"2382","Weathertop","LL","blue oak","md",2022-03-03,1.59285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",9,"2382","Weathertop","LL","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",9,"2384","Weathertop","LL","blue oak","md",2022-03-03,1.41666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",10,"2004","High","Cucu Mesa","blue oak","md",2022-03-08,1.65333333333333,1.78337099060783,NA,NA,NA,2,0,0.238,0.045,1.64,NA,NA,NA,NA,NA,9,NA
"45",10,"2004","High","Cucu Mesa","blue oak","md",2022-03-08,1.65333333333333,1.78337099060783,NA,NA,NA,4,0,0.349,0.112,2.78,NA,NA,NA,NA,NA,11,NA
"46",10,"2004","High","Cucu Mesa","blue oak","md",2022-03-08,1.65333333333333,1.78337099060783,NA,NA,NA,1,0,0.205,0.065,1.47,NA,NA,NA,NA,NA,9,NA
"47",10,"2004","High","Cucu Mesa","blue oak","md",2022-03-08,1.65333333333333,1.78337099060783,NA,NA,NA,3,0,0.274,0.083,2.21,NA,NA,NA,NA,NA,8,NA
"48",10,"2004","High","Cucu Mesa","blue oak","pd",2022-03-08,0.3335,2.02494061085973,NA,NA,NA,2,0,0.238,0.045,1.64,NA,NA,NA,NA,NA,9,NA
"49",10,"2004","High","Cucu Mesa","blue oak","pd",2022-03-08,0.3335,2.02494061085973,NA,NA,NA,4,0,0.349,0.112,2.78,NA,NA,NA,NA,NA,11,NA
"50",10,"2004","High","Cucu Mesa","blue oak","pd",2022-03-08,0.3335,2.02494061085973,NA,NA,NA,1,0,0.205,0.065,1.47,NA,NA,NA,NA,NA,9,NA
"51",10,"2004","High","Cucu Mesa","blue oak","pd",2022-03-08,0.3335,2.02494061085973,NA,NA,NA,3,0,0.274,0.083,2.21,NA,NA,NA,NA,NA,8,NA
"52",10,"2005","High","Cucu Mesa","blue oak","pd",2022-03-08,1.045,2.06130156027669,NA,NA,NA,4,0,0.828,0.251,2.26,NA,NA,NA,NA,NA,7,NA
"53",10,"2005","High","Cucu Mesa","blue oak","pd",2022-03-08,1.045,2.06130156027669,NA,NA,NA,3,0,2.067,0.689,3.47,NA,NA,NA,NA,NA,10,NA
"54",10,"2005","High","Cucu Mesa","blue oak","pd",2022-03-08,1.045,2.06130156027669,NA,NA,NA,1,0,0.69,0.21,2.51,NA,NA,NA,NA,NA,8,NA
"55",10,"2005","High","Cucu Mesa","blue oak","pd",2022-03-08,1.045,2.06130156027669,NA,NA,NA,2,0,1.385,0.435,2.85,NA,NA,NA,NA,NA,7,NA
"56",10,"2005","High","Cucu Mesa","blue oak","md",2022-03-08,1.46666666666667,1.62323826973427,NA,NA,NA,4,0,0.828,0.251,2.26,NA,NA,NA,NA,NA,7,NA
"57",10,"2005","High","Cucu Mesa","blue oak","md",2022-03-08,1.46666666666667,1.62323826973427,NA,NA,NA,3,0,2.067,0.689,3.47,NA,NA,NA,NA,NA,10,NA
"58",10,"2005","High","Cucu Mesa","blue oak","md",2022-03-08,1.46666666666667,1.62323826973427,NA,NA,NA,1,0,0.69,0.21,2.51,NA,NA,NA,NA,NA,8,NA
"59",10,"2005","High","Cucu Mesa","blue oak","md",2022-03-08,1.46666666666667,1.62323826973427,NA,NA,NA,2,0,1.385,0.435,2.85,NA,NA,NA,NA,NA,7,NA
"60",10,"2006","High","Cucu Mesa","blue oak","md",2022-03-08,1.40666666666667,1.68979659386345,NA,NA,NA,4,0,0.244,0.079,1.26,NA,NA,NA,NA,NA,7,NA
"61",10,"2006","High","Cucu Mesa","blue oak","md",2022-03-08,1.40666666666667,1.68979659386345,NA,NA,NA,3,0,0.55,0.169,1.1,NA,NA,NA,NA,NA,7,NA
"62",10,"2006","High","Cucu Mesa","blue oak","md",2022-03-08,1.40666666666667,1.68979659386345,NA,NA,NA,1,0,0.434,0.137,0.68,NA,NA,NA,NA,NA,8,NA
"63",10,"2006","High","Cucu Mesa","blue oak","md",2022-03-08,1.40666666666667,1.68979659386345,NA,NA,NA,2,0,0.26,0.08,0.63,NA,NA,NA,NA,NA,7,NA
"64",10,"2006","High","Cucu Mesa","blue oak","pd",2022-03-08,0.9475,2.05004467984377,NA,NA,NA,4,0,0.244,0.079,1.26,NA,NA,NA,NA,NA,7,NA
"65",10,"2006","High","Cucu Mesa","blue oak","pd",2022-03-08,0.9475,2.05004467984377,NA,NA,NA,3,0,0.55,0.169,1.1,NA,NA,NA,NA,NA,7,NA
"66",10,"2006","High","Cucu Mesa","blue oak","pd",2022-03-08,0.9475,2.05004467984377,NA,NA,NA,1,0,0.434,0.137,0.68,NA,NA,NA,NA,NA,8,NA
"67",10,"2006","High","Cucu Mesa","blue oak","pd",2022-03-08,0.9475,2.05004467984377,NA,NA,NA,2,0,0.26,0.08,0.63,NA,NA,NA,NA,NA,7,NA
"68",10,"2007","High","Cucu Mesa","blue oak","md",2022-03-08,1.77,1.38916526753778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",10,"2007","High","Cucu Mesa","blue oak","pd",2022-03-08,0.815,1.57849597787833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",10,"2020","Chamise","Chamise","blue oak","md",2022-03-08,2.17333333333333,1.12870514147688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",10,"2020","Chamise","Chamise","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",10,"2021","Chamise","Chamise","blue oak","md",2022-03-08,1.87333333333333,1.11980290467763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",10,"2021","Chamise","Chamise","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",10,"2022","Chamise","Chamise","live oak","md",2022-03-08,2.01,1.07230017290778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",10,"2022","Chamise","Chamise","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",10,"2023","Chamise","Chamise","live oak","md",2022-03-08,1.656,1.18892696817916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",10,"2023","Chamise","Chamise","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",10,"2024","Chamise","Chamise","blue oak","md",2022-03-08,1.685,1.61262400793651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",10,"2024","Chamise","Chamise","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",10,"2025","Chamise","Chamise","blue oak","md",2022-03-08,1.8025,1.11191550230729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",10,"2025","Chamise","Chamise","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",10,"2026","Shedd","Chamise","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",10,"2026","Shedd","Chamise","blue oak","md",2022-03-08,1.945,1.23375508114314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",10,"2089","Low","PineNeedle","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",10,"2089","Low","PineNeedle","live oak","md",2022-03-08,2.10166666666667,0.643462693115071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",10,"2091","Low","PineNeedle","live oak","md",2022-03-08,1.0525,0.68131627167849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",10,"2091","Low","PineNeedle","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",10,"2092","Low","PineNeedle","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",10,"2092","Low","PineNeedle","live oak","md",2022-03-08,1.77166666666667,0.613355634889354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",10,"2093","Low","PineNeedle","live oak","md",2022-03-08,2.064,0.587192947932268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",10,"2093","Low","PineNeedle","live oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",10,"2301","Hobbiton","LL","live oak","pd",2022-03-08,1.0105,0.726801256580669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",10,"2301","Hobbiton","LL","live oak","md",2022-03-08,2.293,0.737431716642295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",10,"2331","Ridge","LL","live oak","md",2022-03-08,2.22933333333333,0.69465014079764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",10,"2331","Ridge","LL","live oak","pd",2022-03-08,0.9335,0.672057759801404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",10,"2343","Hobbiton","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",10,"2343","Hobbiton","LL","blue oak","pd",2022-03-08,1.23933333333333,2.07234042553192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",10,"2345","Hobbiton","LL","live oak","md",2022-03-08,1.35233333333333,0.739601927474687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",10,"2345","Hobbiton","LL","live oak","pd",2022-03-08,0.301666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",10,"2346","Hobbiton","LL","blue oak","pd",2022-03-08,1.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",10,"2346","Hobbiton","LL","blue oak","md",2022-03-08,2.29966666666667,0.834008187663251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",10,"2347","Hobbiton","LL","blue oak","pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",10,"2347","Hobbiton","LL","blue oak","md",2022-03-08,2.25675,0.872480392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",10,"2348","Hobbiton","LL","blue oak","pd",2022-03-08,2.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",10,"2348","Hobbiton","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",10,"2349","Hobbiton","LL","blue oak","pd",2022-03-08,2.43333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",10,"2349","Hobbiton","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",10,"2352","MiddleEarth","LL","live oak","md",2022-03-08,2.44166666666667,0.617558321601063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",10,"2352","MiddleEarth","LL","live oak","pd",2022-03-08,1.40666666666667,0.830483334469996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",10,"2354","MiddleEarth","LL","live oak","pd",2022-03-08,2.47975,0.674120622085719,NA,NA,NA,1,0,0.299,0.086,2.31,0.04575,NA,NA,NA,NA,8,NA
"111",10,"2354","MiddleEarth","LL","live oak","pd",2022-03-08,2.47975,0.674120622085719,NA,NA,NA,2,0,0.402,0.111,1.64,0.067,NA,NA,NA,NA,5,NA
"112",10,"2354","MiddleEarth","LL","live oak","md",2022-03-08,1.985,0.667618629186895,NA,NA,NA,1,0,0.299,0.086,2.31,0.04575,NA,NA,NA,NA,8,NA
"113",10,"2354","MiddleEarth","LL","live oak","md",2022-03-08,1.985,0.667618629186895,NA,NA,NA,2,0,0.402,0.111,1.64,0.067,NA,NA,NA,NA,5,NA
"114",10,"2365","MiddleEarth","LL","blue oak","md",2022-03-08,2.1,1.43477285354981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",10,"2365","MiddleEarth","LL","blue oak","pd",2022-03-08,1.65633333333333,1.79320388349515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",10,"2366","MiddleEarth","LL","blue oak","md",2022-03-08,2.28666666666667,0.93009669869426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",10,"2366","MiddleEarth","LL","blue oak","pd",2022-03-08,1.508,1.80352422907489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",10,"2367","MiddleEarth","LL","blue oak","pd",2022-03-08,1.4865,1.97326732673267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",10,"2367","MiddleEarth","LL","blue oak","md",2022-03-08,2.248,1.15922746781116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",10,"2369","MiddleEarth","LL","blue oak","md",2022-03-08,2.2265,0.86697073675518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",10,"2369","MiddleEarth","LL","blue oak","pd",2022-03-08,1.451,1.22338709677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",10,"2370","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",10,"2370","Weathertop","LL","blue oak","pd",2022-03-08,1.45033333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",10,"2371","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",10,"2371","Weathertop","LL","blue oak","pd",2022-03-08,1.2455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",10,"2372","Weathertop","LL","blue oak","pd",2022-03-08,1.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",10,"2372","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",10,"2373","Weathertop","LL","blue oak","pd",2022-03-08,1.43,1.93650793650794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",10,"2373","Weathertop","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",10,"2374","Ridge","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",10,"2374","Ridge","LL","blue oak","pd",2022-03-08,1.1375,1.37008547008547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",10,"2376","MiddleEarth","LL","live oak","md",2022-03-08,2.683,0.672467668538756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",10,"2376","MiddleEarth","LL","live oak","pd",2022-03-08,0.820666666666667,0.69395982568142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",10,"2377","MiddleEarth","LL","live oak","md",2022-03-08,2.21666666666667,1.2779567436198,NA,NA,NA,1,0,0.528,0.147,2.47,0.08575,NA,NA,NA,NA,6,NA
"135",10,"2377","MiddleEarth","LL","live oak","md",2022-03-08,2.21666666666667,1.2779567436198,NA,NA,NA,4,0,0.232,0.065,2.22,0.0655,NA,NA,NA,NA,6,NA
"136",10,"2377","MiddleEarth","LL","live oak","md",2022-03-08,2.21666666666667,1.2779567436198,NA,NA,NA,4,0,1.419,0.385,2.91,0.10375,NA,NA,NA,NA,6,NA
"137",10,"2377","MiddleEarth","LL","live oak","md",2022-03-08,2.21666666666667,1.2779567436198,NA,NA,NA,4,0,1.419,0.385,2.91,0.10375,NA,NA,NA,NA,5,NA
"138",10,"2377","MiddleEarth","LL","live oak","md",2022-03-08,2.21666666666667,1.2779567436198,NA,NA,NA,4,0,0.232,0.065,2.22,0.0655,NA,NA,NA,NA,5,NA
"139",10,"2377","MiddleEarth","LL","live oak","pd",2022-03-08,0.3665,NA,NA,NA,NA,1,0,0.528,0.147,2.47,0.08575,NA,NA,NA,NA,6,NA
"140",10,"2377","MiddleEarth","LL","live oak","pd",2022-03-08,0.3665,NA,NA,NA,NA,4,0,0.232,0.065,2.22,0.0655,NA,NA,NA,NA,6,NA
"141",10,"2377","MiddleEarth","LL","live oak","pd",2022-03-08,0.3665,NA,NA,NA,NA,4,0,1.419,0.385,2.91,0.10375,NA,NA,NA,NA,6,NA
"142",10,"2377","MiddleEarth","LL","live oak","pd",2022-03-08,0.3665,NA,NA,NA,NA,4,0,1.419,0.385,2.91,0.10375,NA,NA,NA,NA,5,NA
"143",10,"2377","MiddleEarth","LL","live oak","pd",2022-03-08,0.3665,NA,NA,NA,NA,4,0,0.232,0.065,2.22,0.0655,NA,NA,NA,NA,5,NA
"144",10,"2378","MiddleEarth","LL","blue oak","md",2022-03-08,1.7875,1.39488995469623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",10,"2378","MiddleEarth","LL","blue oak","pd",2022-03-08,1.02433333333333,1.35982805577392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",10,"2379","MiddleEarth","LL","blue oak","pd",2022-03-08,1.23875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",10,"2379","MiddleEarth","LL","blue oak","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",10,"2380","MiddleEarth","LL","live oak","md",2022-03-08,2.82975,0.620805528431384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",10,"2380","MiddleEarth","LL","live oak","pd",2022-03-08,0.7378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",10,"2381","Weathertop","LL","blue oak","pd",2022-03-08,1.325,1.91173708920188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",10,"2381","Weathertop","LL","blue oak","md",2022-03-08,1.83433333333333,1.79684959227568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",10,"2382","Weathertop","LL","blue oak","md",2022-03-08,2.07475,1.49851692314513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",10,"2382","Weathertop","LL","blue oak","pd",2022-03-08,0.803333333333333,2.0256880733945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",10,"2383","Weathertop","LL","blue oak","pd",2022-03-08,0.96,1.35391424177475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",10,"2383","Weathertop","LL","blue oak","md",2022-03-08,2.36033333333333,1.30570855478943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
