"","plot_number","species","tag","date","week","tree","pd","pd_bulk_wet","pd_bulk_dry","pd_avg","mpa_pd","dw_g_pd","ww_g_pd","md","md_bulk_wet","md_bulk_dry","mpa_md","dw_g_md","ww_g_md","lwc_md_bulk","lwc_pd_bulk","lwc_md_leaf","lwc_pd_leaf"
"34","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd1",0.1071,0.044,"1.311666667",1.514,0.016,0.0398,"md2",0.2188,0.088,3.31,0.087,0.1908,1.48636363636364,1.43409090909091,1.19310344827586,1.4875
"35","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd1",0.1071,0.044,"1.311666667",1.514,0.016,0.0398,"md3",0.2188,0.088,2.75,0.027,0.0625,1.48636363636364,1.43409090909091,1.31481481481481,1.4875
"36","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd1",0.1071,0.044,"1.311666667",1.514,0.016,0.0398,"md4",0.2188,0.088,2.03,0.04,0.0972,1.48636363636364,1.43409090909091,1.43,1.4875
"37","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd1",0.1071,0.044,"1.311666667",1.514,0.016,0.0398,"md1",0.2188,0.088,2.41,0.038,0.0653,1.48636363636364,1.43409090909091,0.718421052631579,1.4875
"38","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd1",0.1071,0.044,"1.311666667",1.514,0.016,0.0398,"md5",0.2188,0.088,1.76,0.044,0.1054,1.48636363636364,1.43409090909091,1.39545454545455,1.4875
"39","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd2",0.1071,0.044,"1.311666667",0.891,0.009,0.0202,"md2",0.2188,0.088,3.31,0.087,0.1908,1.48636363636364,1.43409090909091,1.19310344827586,1.24444444444444
"40","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd2",0.1071,0.044,"1.311666667",0.891,0.009,0.0202,"md3",0.2188,0.088,2.75,0.027,0.0625,1.48636363636364,1.43409090909091,1.31481481481481,1.24444444444444
"41","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd2",0.1071,0.044,"1.311666667",0.891,0.009,0.0202,"md4",0.2188,0.088,2.03,0.04,0.0972,1.48636363636364,1.43409090909091,1.43,1.24444444444444
"42","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd2",0.1071,0.044,"1.311666667",0.891,0.009,0.0202,"md1",0.2188,0.088,2.41,0.038,0.0653,1.48636363636364,1.43409090909091,0.718421052631579,1.24444444444444
"43","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd2",0.1071,0.044,"1.311666667",0.891,0.009,0.0202,"md5",0.2188,0.088,1.76,0.044,0.1054,1.48636363636364,1.43409090909091,1.39545454545455,1.24444444444444
"44","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd3",0.1071,0.044,"1.311666667",1.53,0.011,0.0246,"md2",0.2188,0.088,3.31,0.087,0.1908,1.48636363636364,1.43409090909091,1.19310344827586,1.23636363636364
"45","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd3",0.1071,0.044,"1.311666667",1.53,0.011,0.0246,"md3",0.2188,0.088,2.75,0.027,0.0625,1.48636363636364,1.43409090909091,1.31481481481481,1.23636363636364
"46","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd3",0.1071,0.044,"1.311666667",1.53,0.011,0.0246,"md4",0.2188,0.088,2.03,0.04,0.0972,1.48636363636364,1.43409090909091,1.43,1.23636363636364
"47","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd3",0.1071,0.044,"1.311666667",1.53,0.011,0.0246,"md1",0.2188,0.088,2.41,0.038,0.0653,1.48636363636364,1.43409090909091,0.718421052631579,1.23636363636364
"48","AT001","blue oak","2369.0",2022-03-15,11,2369,"pd3",0.1071,0.044,"1.311666667",1.53,0.011,0.0246,"md5",0.2188,0.088,1.76,0.044,0.1054,1.48636363636364,1.43409090909091,1.39545454545455,1.23636363636364
"49","AT001","blue oak","2369.0",2022-04-11,15,2369,"pd1",0.8359,0.447,NA,1.6,0.058,0.1047,NA,NA,NA,NA,NA,NA,NA,0.870022371364653,NA,0.805172413793103
"50","AT001","blue oak","2369.0",2022-04-11,15,2369,"pd2",0.8359,0.447,NA,1.3,0.087,0.1605,NA,NA,NA,NA,NA,NA,NA,0.870022371364653,NA,0.844827586206897
"51","AT001","blue oak","2369.0",2022-04-11,15,2369,"pd3",0.8359,0.447,NA,1.5,0.055,0.1007,NA,NA,NA,NA,NA,NA,NA,0.870022371364653,NA,0.830909090909091
"52","AT001","live oak","2352.0",2022-02-28,9,2352,NA,NA,NA,NA,NA,NA,NA,"md5",NA,NA,2.4,0.072,0.114,NA,NA,0.583333333333333,NA
"53","AT001","live oak","2352.0",2022-02-28,9,2352,NA,NA,NA,NA,NA,NA,NA,"md1",NA,NA,2.47,0.089,0.134,NA,NA,0.50561797752809,NA
"54","AT001","live oak","2352.0",2022-02-28,9,2352,NA,NA,NA,NA,NA,NA,NA,"md2",NA,NA,2.5,0.072,0.118,NA,NA,0.638888888888889,NA
"55","AT001","live oak","2352.0",2022-02-28,9,2352,NA,NA,NA,NA,NA,NA,NA,"md3",NA,NA,1.96,0.065,0.106,NA,NA,0.630769230769231,NA
"56","AT001","live oak","2352.0",2022-02-28,9,2352,NA,NA,NA,NA,NA,NA,NA,"md4",NA,NA,2.04,0.083,0.134,NA,NA,0.614457831325301,NA
"57","AT001","live oak","2352.0",2022-04-11,15,2352,"pd1",0.2469,0.157,NA,1.412,0.109,0.1674,NA,NA,NA,NA,NA,NA,NA,0.572611464968153,NA,0.535779816513761
"58","AT001","live oak","2352.0",2022-04-11,15,2352,"pd2",0.2469,0.157,NA,1.621,0.161,0.2465,NA,NA,NA,NA,NA,NA,NA,0.572611464968153,NA,0.531055900621118
"59","AT001","live oak","2352.0",2022-04-11,15,2352,"pd3",0.2469,0.157,NA,2.033,0.085,0.1288,NA,NA,NA,NA,NA,NA,NA,0.572611464968153,NA,0.515294117647059
"60","AT001","live oak","2352.0",2022-04-11,15,2352,"pd4",0.2469,0.157,NA,0.841,0.078,0.1198,NA,NA,NA,NA,NA,NA,NA,0.572611464968153,NA,0.535897435897436
"61","AT001","live oak","2352.0",2022-04-11,15,2352,"pd5",0.2469,0.157,NA,1.235,0.115,0.173,NA,NA,NA,NA,NA,NA,NA,0.572611464968153,NA,0.504347826086956
"62","AT001","live oak","2354.0",2022-02-28,9,2354,NA,NA,NA,NA,NA,NA,NA,"md1",NA,NA,1.78,0.155,0.263,NA,NA,0.696774193548387,NA
"63","AT001","live oak","2354.0",2022-02-28,9,2354,NA,NA,NA,NA,NA,NA,NA,"md2",NA,NA,0.962,0.14,0.238,NA,NA,0.7,NA
"64","AT001","live oak","2354.0",2022-02-28,9,2354,NA,NA,NA,NA,NA,NA,NA,"md3",NA,NA,2.64,0.156,0.258,NA,NA,0.653846153846154,NA
"65","AT001","live oak","2354.0",2022-02-28,9,2354,NA,NA,NA,NA,NA,NA,NA,"md4",NA,NA,1.92,0.115,0.189,NA,NA,0.643478260869565,NA
"66","AT001","live oak","2354.0",2022-02-28,9,2354,NA,NA,NA,NA,NA,NA,NA,"md5",NA,NA,1.54,0.165,0.27,NA,NA,0.636363636363636,NA
"67","AT001","live oak","2354.0",2022-04-11,15,2354,"pd1",0.8855,0.545,NA,1.231,0.272,0.431,NA,NA,NA,NA,NA,NA,NA,0.624770642201835,NA,0.584558823529412
"68","AT001","live oak","2354.0",2022-04-11,15,2354,"pd2",0.8855,0.545,NA,1.071,0.243,0.3974,NA,NA,NA,NA,NA,NA,NA,0.624770642201835,NA,0.635390946502058
"69","AT001","live oak","2354.0",2022-04-11,15,2354,"pd3",0.8855,0.545,NA,2.213,0.324,0.5254,NA,NA,NA,NA,NA,NA,NA,0.624770642201835,NA,0.621604938271605
"70","AT001","live oak","2354.0",2022-04-11,15,2354,"pd4",0.8855,0.545,NA,1.251,0.204,0.3335,NA,NA,NA,NA,NA,NA,NA,0.624770642201835,NA,0.634803921568628
"71","AT001","live oak","2354.0",2022-04-11,15,2354,"pd5",0.8855,0.545,NA,2.185,0.243,0.3775,NA,NA,NA,NA,NA,NA,NA,0.624770642201835,NA,0.553497942386831
"72","AT002","blue oak","2343.0",2022-02-28,9,2343,"pd1",NA,NA,"1.133333333",1.2,0.078,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871794871794872
"73","AT002","blue oak","2343.0",2022-02-28,9,2343,"pd2",NA,NA,"1.133333333",1.1,0.043,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767441860465116
"74","AT002","blue oak","2343.0",2022-02-28,9,2343,"pd3",NA,NA,"1.133333333",1.1,0.047,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829787234042553
"75","AT002","blue oak","2343.0",2022-04-11,15,2343,"pd1",1.3455,0.712,NA,1.3,0.17,0.317,NA,NA,NA,NA,NA,NA,NA,0.889747191011236,NA,0.864705882352941
"76","AT002","blue oak","2343.0",2022-04-11,15,2343,"pd2",1.3455,0.712,NA,1.6,0.119,0.2196,NA,NA,NA,NA,NA,NA,NA,0.889747191011236,NA,0.845378151260504
"77","AT002","blue oak","2343.0",2022-04-11,15,2343,"pd3",1.3455,0.712,NA,1.6,0.155,0.2838,NA,NA,NA,NA,NA,NA,NA,0.889747191011236,NA,0.830967741935484
"78","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd2",0.2731,0.156,"1.73375",0.925,0.069,0.1156,"md1",0.1539,0.091,1.819,0.049,0.0828,0.691208791208791,0.750641025641026,0.689795918367347,0.67536231884058
"79","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd2",0.2731,0.156,"1.73375",0.925,0.069,0.1156,"md4",0.1539,0.091,3.603,0.053,0.1185,0.691208791208791,0.750641025641026,1.23584905660377,0.67536231884058
"80","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd2",0.2731,0.156,"1.73375",0.925,0.069,0.1156,"md2",0.1539,0.091,3.09,0.044,0.0744,0.691208791208791,0.750641025641026,0.690909090909091,0.67536231884058
"81","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd2",0.2731,0.156,"1.73375",0.925,0.069,0.1156,"md3",0.1539,0.091,2.305,0.045,0.0783,0.691208791208791,0.750641025641026,0.74,0.67536231884058
"82","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd1",0.2731,0.156,"1.73375",0.89,0.065,0.1108,"md1",0.1539,0.091,1.819,0.049,0.0828,0.691208791208791,0.750641025641026,0.689795918367347,0.704615384615385
"83","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd1",0.2731,0.156,"1.73375",0.89,0.065,0.1108,"md4",0.1539,0.091,3.603,0.053,0.1185,0.691208791208791,0.750641025641026,1.23584905660377,0.704615384615385
"84","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd1",0.2731,0.156,"1.73375",0.89,0.065,0.1108,"md2",0.1539,0.091,3.09,0.044,0.0744,0.691208791208791,0.750641025641026,0.690909090909091,0.704615384615385
"85","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd1",0.2731,0.156,"1.73375",0.89,0.065,0.1108,"md3",0.1539,0.091,2.305,0.045,0.0783,0.691208791208791,0.750641025641026,0.74,0.704615384615385
"86","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd3",0.2731,0.156,"1.73375",1.22,0.016,0.0367,"md1",0.1539,0.091,1.819,0.049,0.0828,0.691208791208791,0.750641025641026,0.689795918367347,1.29375
"87","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd3",0.2731,0.156,"1.73375",1.22,0.016,0.0367,"md4",0.1539,0.091,3.603,0.053,0.1185,0.691208791208791,0.750641025641026,1.23584905660377,1.29375
"88","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd3",0.2731,0.156,"1.73375",1.22,0.016,0.0367,"md2",0.1539,0.091,3.09,0.044,0.0744,0.691208791208791,0.750641025641026,0.690909090909091,1.29375
"89","AT002","blue oak","2346.0",2022-03-15,11,2346,"pd3",0.2731,0.156,"1.73375",1.22,0.016,0.0367,"md3",0.1539,0.091,2.305,0.045,0.0783,0.691208791208791,0.750641025641026,0.74,1.29375
"90","AT002","blue oak","2346.0",2022-04-11,15,2346,"pd1",0.5043,0.239,NA,1.89,0.236,0.4189,NA,NA,NA,NA,NA,NA,NA,1.11004184100418,NA,0.775
"91","AT002","blue oak","2346.0",2022-04-11,15,2346,"pd2",0.5043,0.239,NA,1.9,0.13,0.2232,NA,NA,NA,NA,NA,NA,NA,1.11004184100418,NA,0.716923076923077
"92","AT002","blue oak","2346.0",2022-04-11,15,2346,"pd3",0.5043,0.239,NA,1.593,0.057,0.1053,NA,NA,NA,NA,NA,NA,NA,1.11004184100418,NA,0.847368421052632
"93","AT002","blue oak","2346.0",2022-04-11,15,2346,"pd4",0.5043,0.239,NA,1.72,0.047,0.0799,NA,NA,NA,NA,NA,NA,NA,1.11004184100418,NA,0.7
"94","AT002","blue oak","2347.0",2022-03-15,11,2347,NA,NA,NA,NA,NA,NA,NA,"md1",0.4809,0.176,1.24,0.009,0.0219,1.73238636363636,NA,1.43333333333333,NA
"95","AT002","blue oak","2347.0",2022-03-15,11,2347,NA,NA,NA,NA,NA,NA,NA,"md2",0.4809,0.176,3.31,0.01,0.1466,1.73238636363636,NA,13.66,NA
"96","AT002","blue oak","2347.0",2022-03-15,11,2347,NA,NA,NA,NA,NA,NA,NA,"md3",0.4809,0.176,1.68,0.006,0.0149,1.73238636363636,NA,1.48333333333333,NA
"97","AT002","blue oak","2347.0",2022-03-15,11,2347,NA,NA,NA,NA,NA,NA,NA,"md4",0.4809,0.176,1.66,0.007,0.0175,1.73238636363636,NA,1.5,NA
"98","AT002","blue oak","2347.0",2022-04-11,15,2347,"pd1",0.9979,0.497,NA,1.5,0.08,0.1583,NA,NA,NA,NA,NA,NA,NA,1.00784708249497,NA,0.97875
"99","AT002","blue oak","2347.0",2022-04-11,15,2347,"pd2",0.9979,0.497,NA,1.8,0.109,0.2138,NA,NA,NA,NA,NA,NA,NA,1.00784708249497,NA,0.961467889908257
"100","AT002","blue oak","2347.0",2022-04-11,15,2347,"pd3",0.9979,0.497,NA,1.5,0.059,0.1166,NA,NA,NA,NA,NA,NA,NA,1.00784708249497,NA,0.976271186440678
"101","AT002","blue oak","2349.0",2022-03-15,11,2349,"pd2",NA,NA,"1.543333333",1.91,0.033,0.051,"md1",0.3058,0.186,3.29,0.052,0.0856,0.644086021505376,NA,0.646153846153846,0.545454545454545
"102","AT002","blue oak","2349.0",2022-03-15,11,2349,"pd2",NA,NA,"1.543333333",1.91,0.033,0.051,"md2",0.3058,0.186,3.42,0.07,0.1156,0.644086021505376,NA,0.651428571428571,0.545454545454545
"103","AT002","blue oak","2349.0",2022-03-15,11,2349,"pd1",NA,NA,"1.543333333",1.29,0.033,0.0542,"md1",0.3058,0.186,3.29,0.052,0.0856,0.644086021505376,NA,0.646153846153846,0.642424242424242
"104","AT002","blue oak","2349.0",2022-03-15,11,2349,"pd1",NA,NA,"1.543333333",1.29,0.033,0.0542,"md2",0.3058,0.186,3.42,0.07,0.1156,0.644086021505376,NA,0.651428571428571,0.642424242424242
"105","AT002","live oak","2345.0",2022-02-28,9,2345,NA,NA,NA,NA,NA,NA,NA,"md4",NA,NA,1.77,0.118,0.201,NA,NA,0.703389830508475,NA
"106","AT002","live oak","2345.0",2022-02-28,9,2345,NA,NA,NA,NA,NA,NA,NA,"md1",NA,NA,1.88,0.106,0.185,NA,NA,0.745283018867925,NA
"107","AT002","live oak","2345.0",2022-02-28,9,2345,NA,NA,NA,NA,NA,NA,NA,"md2",NA,NA,1.83,0.122,0.211,NA,NA,0.729508196721312,NA
"108","AT002","live oak","2345.0",2022-02-28,9,2345,NA,NA,NA,NA,NA,NA,NA,"md3",NA,NA,1.04,0.117,0.206,NA,NA,0.760683760683761,NA
"109","AT002","live oak","2345.0",2022-04-11,15,2345,"pd1",1.3766,0.844,NA,0.6,0.15,0.2446,NA,NA,NA,NA,NA,NA,NA,0.631042654028436,NA,0.630666666666667
"110","AT002","live oak","2345.0",2022-04-11,15,2345,"pd2",1.3766,0.844,NA,0.5,0.104,0.1695,NA,NA,NA,NA,NA,NA,NA,0.631042654028436,NA,0.629807692307693
"111","AT002","live oak","2345.0",2022-04-11,15,2345,"pd3",1.3766,0.844,NA,0.5,0.146,0.2333,NA,NA,NA,NA,NA,NA,NA,0.631042654028436,NA,0.597945205479452
"112","AT003","blue oak","2313.0",2022-02-28,9,2313,"pd1",NA,NA,"1.2625",1.14,0.075,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866666666666667
"113","AT003","blue oak","2313.0",2022-02-28,9,2313,"pd2",NA,NA,"1.2625",1.285,0.083,0.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734939759036144
"114","AT003","blue oak","2313.0",2022-02-28,9,2313,"pd3",NA,NA,"1.2625",1.505,0.059,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627118644067797
"115","AT003","blue oak","2313.0",2022-02-28,9,2313,"pd4",NA,NA,"1.2625",1.12,0.07,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814285714285714
"116","AT003","live oak","2331.0",2022-02-28,9,2331,NA,NA,NA,NA,NA,NA,NA,"md4",NA,NA,2.83,0.096,0.166,NA,NA,0.729166666666667,NA
"117","AT003","live oak","2331.0",2022-02-28,9,2331,NA,NA,NA,NA,NA,NA,NA,"md5",NA,NA,2.72,0.064,0.113,NA,NA,0.765625,NA
"118","AT003","live oak","2331.0",2022-02-28,9,2331,NA,NA,NA,NA,NA,NA,NA,"md1",NA,NA,2.51,0.082,0.14,NA,NA,0.707317073170732,NA
"119","AT003","live oak","2331.0",2022-02-28,9,2331,NA,NA,NA,NA,NA,NA,NA,"md2",NA,NA,2.3,0.076,0.127,NA,NA,0.671052631578947,NA
"120","AT003","live oak","2331.0",2022-02-28,9,2331,NA,NA,NA,NA,NA,NA,NA,"md3",NA,NA,2.7,0.1,0.168,NA,NA,0.68,NA
"121","AT003","live oak","2331.0",2022-04-11,15,2331,"pd1",1.7243,0.703,NA,1.471,0.14,0.219,NA,NA,NA,NA,NA,NA,NA,1.45277382645804,NA,0.564285714285714
"122","AT003","live oak","2331.0",2022-04-11,15,2331,"pd2",1.7243,0.703,NA,1.15,0.144,0.2296,NA,NA,NA,NA,NA,NA,NA,1.45277382645804,NA,0.594444444444445
"123","AT003","live oak","2331.0",2022-04-11,15,2331,"pd3",1.7243,0.703,NA,1.289,0.123,0.191,NA,NA,NA,NA,NA,NA,NA,1.45277382645804,NA,0.552845528455285
"124","AT004","live oak","2301.0",2022-02-28,9,2301,NA,NA,NA,NA,NA,NA,NA,"md1",NA,NA,1.7,0.173,0.292,NA,NA,0.687861271676301,NA
"125","AT004","live oak","2301.0",2022-02-28,9,2301,NA,NA,NA,NA,NA,NA,NA,"md2",NA,NA,1.42,0.185,0.327,NA,NA,0.767567567567568,NA
"126","AT004","live oak","2301.0",2022-02-28,9,2301,NA,NA,NA,NA,NA,NA,NA,"md3",NA,NA,1.7,0.227,0.38,NA,NA,0.674008810572687,NA
"127","AT004","live oak","2301.0",2022-02-28,9,2301,NA,NA,NA,NA,NA,NA,NA,"md4",NA,NA,2.25,0.164,0.289,NA,NA,0.762195121951219,NA
"128","AT004","live oak","2301.0",2022-02-28,9,2301,NA,NA,NA,NA,NA,NA,NA,"md5",NA,NA,1.96,0.168,0.294,NA,NA,0.75,NA
"129","AT004","live oak","2301.0",2022-04-11,15,2301,"pd1",1.1619,0.728,NA,1.36,0.166,0.2629,NA,NA,NA,NA,NA,NA,NA,0.596016483516484,NA,0.583734939759036
"130","AT004","live oak","2301.0",2022-04-11,15,2301,"pd2",1.1619,0.728,NA,1.38,0.199,0.3142,NA,NA,NA,NA,NA,NA,NA,0.596016483516484,NA,0.578894472361809
"131","AT004","live oak","2301.0",2022-04-11,15,2301,"pd3",1.1619,0.728,NA,1.384,0.228,0.3714,NA,NA,NA,NA,NA,NA,NA,0.596016483516484,NA,0.628947368421053
"132","B1","blue oak","2370.0",2022-04-11,15,2370,"pd1",0.3267,0.149,NA,1.45,0.039,0.0766,NA,NA,NA,NA,NA,NA,NA,1.19261744966443,NA,0.964102564102564
"133","B1","blue oak","2370.0",2022-04-11,15,2370,"pd2",0.3267,0.149,NA,1.416,0.033,0.0646,NA,NA,NA,NA,NA,NA,NA,1.19261744966443,NA,0.957575757575758
