"","tree","plot","site","species","date","time","week","lwc_bulk","rep","lwc_leaf"
"30",2011,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.552907186710004,NA,NA
"31",2011,"Weathertop","LL","blue oak",2022-08-18,"MD",33,0.545520231213873,NA,NA
"32",2011,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.637793340705246,NA,NA
"33",2012,"Low","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.722444622364558,NA,NA
"34",2012,"Low","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.656576480042861,NA,NA
"35",2013,"Low","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.718999704054454,NA,NA
"36",2014,"Low","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.61648946092147,NA,NA
"37",2015,"Low","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.728144697177309,NA,NA
"38",2015,"Low","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.702747989276139,NA,NA
"39",2020,"Chamise","Chamise","blue oak",2022-09-16,"MD",38,0.654434250764526,NA,NA
"40",2020,"Chamise","Chamise","blue oak",2022-09-12,"PD",37,0.689802517611734,NA,NA
"41",2021,"Chamise","Chamise","blue oak",2022-09-12,"PD",37,0.694620755315773,NA,NA
"42",2021,"Chamise","Chamise","blue oak",2022-09-16,"MD",38,0.575757575757576,NA,NA
"43",2022,"Chamise","Chamise","live oak",2022-09-16,"MD",38,0.576576576576577,NA,NA
"44",2022,"Chamise","Chamise","live oak",2022-09-12,"PD",37,0.679897855721206,NA,NA
"45",2023,"Chamise","Chamise","live oak",2022-09-16,"MD",38,0.635241686664381,NA,NA
"46",2023,"Chamise","Chamise","live oak",2022-09-12,"PD",37,0.62287793047696,NA,NA
"47",2024,"Chamise","Chamise","blue oak",2022-09-16,"MD",38,0.60480093676815,NA,NA
"48",2024,"Chamise","Chamise","blue oak",2022-09-12,"PD",37,0.696020654431161,NA,NA
"49",2025,"Chamise","Chamise","blue oak",2022-09-16,"MD",38,0.651715039577836,NA,NA
"50",2026,"Shedd","Chamise","blue oak",2022-09-16,"MD",38,0.641708101784148,NA,NA
"51",2026,"Shedd","Chamise","blue oak",2022-09-12,"PD",37,0.5091566680062,NA,NA
"52",2026,"Shedd","Chamise","blue oak",2022-09-12,"PD",37,0.752694191742477,NA,NA
"53",2027,"Shedd","Chamise","blue oak",2022-09-12,"PD",37,0.557437955119631,NA,NA
"54",2027,"Shedd","Chamise","blue oak",2022-09-15,"MD",37,0.621411276374957,NA,NA
"55",2028,"Shedd","Chamise","blue oak",2022-09-12,"PD",37,0.534153120525562,NA,NA
"56",2028,"Shedd","Chamise","blue oak",2022-09-16,"MD",38,0.558911004346831,NA,NA
"57",2029,"Shedd","Chamise","live oak",2022-09-12,"PD",37,0.642248429026427,NA,NA
"58",2029,"Shedd","Chamise","live oak",2022-09-16,"MD",38,0.596239289114567,NA,NA
"59",2030,"Shedd","Chamise","live oak",2022-09-16,"MD",38,0.573248975227232,NA,NA
"60",2030,"Shedd","Chamise","live oak",2022-09-12,"PD",37,0.540224109341239,NA,NA
"61",2031,"Shedd","Chamise","blue oak",2022-09-16,"MD",38,0.59749243406831,NA,NA
"62",2031,"Shedd","Chamise","blue oak",2022-09-12,"PD",37,0.504201680672269,NA,NA
"63",2031,"Shedd","Chamise","blue oak",2022-09-12,"PD",37,0.549131973706388,NA,NA
"64",2040,NA,NA,NA,2022-10-05,"MD",40,0.713609796827164,NA,NA
"65",2041,NA,NA,NA,2022-10-05,"MD",40,0.733750236877014,NA,NA
"66",2042,NA,NA,NA,2022-10-05,"MD",40,0.644937725994375,NA,NA
"67",2043,NA,NA,NA,2022-10-05,"MD",40,0.585100446428572,NA,NA
"68",2044,NA,NA,NA,2022-10-05,"MD",40,-0.88457166477214,NA,NA
"69",2045,NA,NA,NA,2022-10-05,"MD",40,0.748266897746967,NA,NA
"70",2046,NA,NA,NA,2022-10-05,"MD",40,0.697028624766646,NA,NA
"71",2047,NA,NA,NA,2022-10-05,"MD",40,0.770265324794145,NA,NA
"72",2048,NA,NA,NA,2022-10-05,"MD",40,0.771028508109197,NA,NA
"73",2049,NA,NA,NA,2022-10-05,"MD",40,0.588858321870702,NA,NA
"74",2050,NA,NA,NA,2022-10-05,"MD",40,0.725076556651922,NA,NA
"75",2051,NA,NA,NA,2022-10-05,"MD",40,0.713879159369527,NA,NA
"76",2052,NA,NA,NA,2022-10-05,"MD",40,0.699022247413915,NA,NA
"77",2082,NA,NA,NA,2022-08-18,"PD",33,0.588065447545717,NA,NA
"78",2085,"Low","PineNeedle","blue oak",2022-09-12,"PD",37,0.883578431372549,NA,NA
"79",2085,"Low","PineNeedle","blue oak",2022-09-16,"PD",38,0.589256995818591,NA,NA
"80",2085,"Low","PineNeedle","blue oak",2022-09-15,"MD",37,0.635114503816794,NA,NA
"81",2086,"Low","PineNeedle","blue oak",2022-09-12,"PD",37,NA,NA,NA
"82",2086,"Low","PineNeedle","blue oak",2022-09-16,"PD",38,0.705693176879617,NA,NA
"83",2086,"Low","PineNeedle","blue oak",2022-09-15,"MD",37,0.655257039524671,NA,NA
"84",2087,"Low","PineNeedle","blue oak",2022-09-15,"MD",37,0.613561050216671,NA,NA
"85",2087,"Low","PineNeedle","blue oak",2022-09-12,"PD",37,0.846673213847287,NA,NA
"86",2087,"Low","PineNeedle","blue oak",2022-09-16,"PD",38,0.684131120559594,NA,NA
"87",2088,"Low","PineNeedle","blue oak",2022-09-12,"PD",37,0.830658292626192,NA,NA
"88",2088,"Low","PineNeedle","blue oak",2022-09-16,"PD",38,0.66150289017341,NA,NA
"89",2089,"Low","PineNeedle","live oak",2022-09-12,"PD",37,0.666666666666667,NA,NA
"90",2089,"Low","PineNeedle","live oak",2022-09-16,"PD",38,0.573605706874189,NA,NA
"91",2089,"Low","PineNeedle","live oak",2022-09-15,"MD",37,0.483984719365266,NA,NA
"92",2090,"Low","PineNeedle","blue oak",2022-09-16,"PD",38,0.722641812630564,NA,NA
"93",2090,"Low","PineNeedle","blue oak",2022-09-15,"MD",37,0.673127422783544,NA,NA
"94",2091,"Low","PineNeedle","live oak",2022-09-15,"MD",37,0.560431905259491,NA,NA
"95",2091,"Low","PineNeedle","live oak",2022-09-12,"PD",37,0.725155682407888,NA,NA
"96",2091,"Low","PineNeedle","live oak",2022-09-16,"PD",38,0.655806420882157,NA,NA
"97",2092,"Low","PineNeedle","live oak",2022-09-15,"MD",37,0.566088443684339,NA,NA
"98",2092,"Low","PineNeedle","live oak",2022-09-12,"PD",37,0.668518518518519,NA,NA
"99",2092,"Low","PineNeedle","live oak",2022-09-16,"PD",38,0.57626188734455,NA,NA
"100",2093,"Low","PineNeedle","live oak",2022-09-15,"MD",37,0.584232453797671,NA,NA
"101",2301,"Hobbiton","LL","live oak",2022-08-18,"PD",33,0.585357065648195,NA,NA
"102",2301,"Hobbiton","LL","live oak",2022-09-16,"MD",38,0.548910675381263,NA,NA
"103",2301,"Hobbiton","LL","live oak",2022-09-12,"PD",37,0.680027564028942,NA,NA
"104",2301,"Hobbiton","LL","live oak",2022-08-18,"MD",33,0.567843788948899,NA,NA
"105",2330,"Ridge","LL","blue oak",2022-08-18,"PD",33,0.465376879609233,NA,NA
"106",2331,"Ridge","LL","live oak",2022-09-12,"PD",37,0.57259842519685,NA,NA
"107",2331,"Ridge","LL","live oak",2022-08-18,"MD",33,0.539203406813627,NA,NA
"108",2331,"Ridge","LL","live oak",2022-09-16,"MD",38,0.540139460039335,NA,NA
"109",2342,NA,NA,NA,2022-08-18,"PD",33,0.642710472279261,NA,NA
"110",2343,"Hobbiton","LL","blue oak",2022-08-18,"MD",33,0.671194153337011,NA,NA
"111",2343,"Hobbiton","LL","blue oak",2022-09-16,"MD",38,0.625556104794859,NA,NA
"112",2343,"Hobbiton","LL","blue oak",2022-09-12,"PD",37,0.744446170576355,NA,NA
"113",2345,"Hobbiton","LL","live oak",2022-08-18,"MD",33,0.578065395095368,NA,NA
"114",2345,"Hobbiton","LL","live oak",2022-09-16,"MD",38,0.542327735958309,NA,NA
"115",2345,"Hobbiton","LL","live oak",2022-09-12,"PD",37,0.708213699753897,NA,NA
"116",2345,"Hobbiton","LL","live oak",2022-08-18,"PD",33,0.591737545565006,NA,NA
"117",2346,"Hobbiton","LL","blue oak",2022-09-16,"MD",38,0.535292574127526,NA,NA
"118",2346,"Hobbiton","LL","blue oak",2022-09-12,"PD",37,0.929184023523646,NA,NA
"119",2346,"Hobbiton","LL","blue oak",2022-08-18,"MD",33,0.552876712328767,NA,NA
"120",2347,"Hobbiton","LL","blue oak",2022-09-12,"PD",37,0.739592143595527,NA,NA
"121",2347,"Hobbiton","LL","blue oak",2022-08-18,"PD",33,0.588323674608285,NA,NA
"122",2347,"Hobbiton","LL","blue oak",2022-08-18,"MD",33,0.666062801932367,NA,NA
"123",2347,"Hobbiton","LL","blue oak",2022-09-16,"MD",38,0.622602168473728,NA,NA
"124",2352,"MiddleEarth","LL","live oak",2022-08-18,"PD",33,0.504237288135593,NA,NA
"125",2352,"MiddleEarth","LL","live oak",2022-09-12,"PD",37,0.657544956997655,NA,NA
"126",2352,"MiddleEarth","LL","live oak",2022-09-16,"MD",38,0.547684865238424,NA,NA
"127",2352,"MiddleEarth","LL","live oak",2022-08-18,"MD",33,0.531367200818275,NA,NA
"128",2354,"MiddleEarth","LL","live oak",2022-08-18,"PD",33,0.627728839525086,NA,NA
"129",2354,"MiddleEarth","LL","live oak",2022-08-18,"MD",33,0.625531503672207,NA,NA
"130",2354,"MiddleEarth","LL","live oak",2022-09-16,"MD",38,0.477956787810666,NA,NA
"131",2354,"MiddleEarth","LL","live oak",2022-09-12,"PD",37,0.643332783005889,NA,NA
"132",2360,"MiddleEarth","LL","blue oak",2022-09-12,"PD",37,0.78865564984368,NA,NA
"133",2360,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.693851944792974,NA,NA
"134",2360,"MiddleEarth","LL","blue oak",2022-09-12,"PD",37,0.749162802679031,NA,NA
"135",2360,"MiddleEarth","LL","blue oak",2022-08-18,"MD",33,0.592247572432305,NA,NA
"136",2365,"MiddleEarth","LL","blue oak",2022-09-16,"MD",38,0.535108250438853,NA,NA
"137",2365,"MiddleEarth","LL","blue oak",2022-08-18,"MD",33,0.53375,NA,NA
"138",2365,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.586782267299198,NA,NA
"139",2365,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.586782267299198,NA,NA
"140",2367,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.596755797744266,NA,NA
"141",2367,"MiddleEarth","LL","blue oak",2022-08-18,"MD",33,0.622279792746114,NA,NA
"142",2367,"MiddleEarth","LL","blue oak",2022-09-16,"MD",38,0.636964845109641,NA,NA
"143",2369,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.512151215121512,NA,NA
"144",2369,"MiddleEarth","LL","blue oak",2022-09-12,"PD",37,0.725609139621879,NA,NA
"145",2369,"MiddleEarth","LL","blue oak",2022-08-18,"MD",33,0.560145492335672,NA,NA
"146",2370,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.607212857702862,NA,NA
"147",2370,"Weathertop","LL","blue oak",2022-08-18,"MD",33,0.561261558784676,NA,NA
"148",2370,"Weathertop","LL","blue oak",2022-09-16,"MD",38,0.62901023890785,NA,NA
"149",2370,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.718773829495196,NA,NA
"150",2371,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.858463619963921,NA,NA
"151",2371,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.701129197829594,NA,NA
"152",2371,"Weathertop","LL","blue oak",2022-09-16,"MD",38,0.630022183879714,NA,NA
"153",2372,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.789003212440058,NA,NA
"154",2372,"Weathertop","LL","blue oak",2022-09-16,"MD",38,0.62704343764596,NA,NA
"155",2372,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.733102253032929,NA,NA
"156",2375,"Hobbiton","LL","blue oak",2022-08-18,"MD",33,0.602439489231942,NA,NA
"157",2375,"Hobbiton","LL","blue oak",2022-09-16,"MD",38,0.668363351605325,NA,NA
"158",2375,"Hobbiton","LL","blue oak",2022-08-18,"PD",33,0.676780581283935,NA,NA
"159",2375,"Hobbiton","LL","blue oak",2022-09-12,"PD",37,1.00362478031634,NA,NA
"160",2376,"MiddleEarth","LL","live oak",2022-09-12,"PD",37,0.567171417793824,NA,NA
"161",2376,"MiddleEarth","LL","live oak",2022-08-18,"PD",33,0.554793948006353,NA,NA
"162",2376,"MiddleEarth","LL","live oak",2022-08-18,"MD",33,0.548951211571555,NA,NA
"163",2376,"MiddleEarth","LL","live oak",2022-09-16,"MD",38,0.532171712255427,NA,NA
"164",2377,"MiddleEarth","LL","live oak",2022-09-12,"PD",37,0.604042573967386,NA,NA
"165",2377,"MiddleEarth","LL","live oak",2022-08-18,"MD",33,0.423654462628649,NA,NA
"166",2377,"MiddleEarth","LL","live oak",2022-09-15,"MD",37,0.541074737492279,NA,NA
"167",2378,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.635625596943649,NA,NA
"168",2378,"MiddleEarth","LL","blue oak",2022-08-18,"MD",33,0.643972517176764,NA,NA
"169",2378,"MiddleEarth","LL","blue oak",2022-09-12,"PD",37,0.824079723408582,NA,NA
"170",2378,"MiddleEarth","LL","blue oak",2022-09-15,"MD",37,0.633228320344885,NA,NA
"171",2379,"MiddleEarth","LL","blue oak",2022-09-12,"PD",37,0.711864406779661,NA,NA
"172",2379,"MiddleEarth","LL","blue oak",2022-08-18,"PD",33,0.657824933687003,NA,NA
"173",2379,"MiddleEarth","LL","blue oak",2022-08-18,"MD",33,0.663801694070753,NA,NA
"174",2379,"MiddleEarth","LL","blue oak",2022-09-15,"MD",37,0.624784853700516,NA,NA
"175",2380,"MiddleEarth","LL","live oak",2022-09-12,"PD",37,NA,NA,NA
"176",2380,"MiddleEarth","LL","live oak",2022-09-15,"MD",37,0.474568362109193,NA,NA
"177",2380,"MiddleEarth","LL","live oak",2022-08-18,"MD",33,0.486189138576779,NA,NA
"178",2381,"Weathertop","LL","blue oak",2022-09-15,"MD",37,0.582907820478366,NA,NA
"179",2381,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.649250912753368,NA,NA
"180",2381,"Weathertop","LL","blue oak",2022-08-18,"MD",33,0.633887414443358,NA,NA
"181",2381,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.725470117296593,NA,NA
"182",2382,"Weathertop","LL","blue oak",2022-09-15,"MD",37,0.612541993281075,NA,NA
"183",2382,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.687525363201039,NA,NA
"184",2382,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.661975248726037,NA,NA
"185",2383,"Weathertop","LL","blue oak",2022-09-12,"PD",37,1.49343629343629,NA,NA
"186",2383,"Weathertop","LL","blue oak",2022-08-18,"MD",33,0.562345983242977,NA,NA
"187",2383,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.663716814159292,NA,NA
"188",2383,"Weathertop","LL","blue oak",2022-09-15,"MD",37,0.57862218103182,NA,NA
"189",2383,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.640724051019629,NA,NA
"190",2384,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.803394907638542,NA,NA
"191",2384,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.604611310172924,NA,NA
"192",2384,"Weathertop","LL","blue oak",2022-09-12,"PD",37,1.0416970403849,NA,NA
"193",2384,"Weathertop","LL","blue oak",2022-09-15,"MD",37,0.596059113300493,NA,NA
"194",2802,NA,NA,NA,2022-09-16,"PD",38,0.695652173913043,NA,NA
"195",NA,"Chamise","Chamise","LEU",2022-09-15,"MD",37,0.620262954369683,NA,NA
"196",NA,"Chamise","Chamise","LEU",2022-09-15,"MD",37,0.629213483146067,NA,NA
"197",NA,"Chamise","Chamise","LEU",2022-09-12,"PD",37,0.878939592908733,NA,NA
"198",10,"Chamise","Chamise","ARCA",2022-03-08,"MD",10,NA,"1",1.52119205298013
"199",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"1",2.24931972789116
"200",10,"Chamise","Chamise","ARCA",2022-03-08,"MD",10,NA,"2",1.6377358490566
"201",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"2",2.13488372093023
"202",10,"Chamise","Chamise","ARCA",2022-03-08,"MD",10,NA,"3",1.90472440944882
"203",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"3",1.87263843648208
"204",10,"Chamise","Chamise","ARCA",2022-03-08,"MD",10,NA,"4",1.37906976744186
"205",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"4",1.79343629343629
"206",10,"Chamise","Chamise","ARCA",2022-03-08,"MD",10,NA,"5",1.55042016806723
"207",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"5",2.08993288590604
"208",10,"Chamise","Chamise","ARCA",NA,"MD",10,NA,"6",NA
"209",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"6",2.11432038834951
"210",10,"Chamise","Chamise","ARCA",NA,"MD",10,NA,"7",NA
"211",10,"Chamise","Chamise","ARCA",2022-03-08,"PD",10,NA,"7",1.8316
"212",10,"Chamise","Chamise","ARCA",NA,"MD",11,NA,"1",NA
"213",10,"Chamise","Chamise","ARCA",2022-03-15,"PD",11,1.43159379407616,"1",1.51929824561404
"214",10,"Chamise","Chamise","ARCA",NA,"MD",11,NA,"2",NA
"215",10,"Chamise","Chamise","ARCA",2022-03-15,"PD",11,1.43159379407616,"2",2.05137614678899
"216",10,"Chamise","Chamise","ARCA",NA,"MD",11,NA,"3",NA
"217",10,"Chamise","Chamise","ARCA",2022-03-15,"PD",11,1.43159379407616,"3",1.16531531531532
"218",10,"Chamise","Chamise","ARCA",NA,"MD",11,NA,"4",NA
"219",10,"Chamise","Chamise","ARCA",2022-03-15,"PD",11,1.43159379407616,"4",1.52297297297297
"220",10,"Chamise","Chamise","ARCA",NA,"MD",11,NA,"5",NA
"221",10,"Chamise","Chamise","ARCA",2022-03-15,"PD",11,1.43159379407616,"5",1.79495798319328
"222",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"1",NA
"223",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"1",NA
"224",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"2",NA
"225",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"2",NA
"226",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"3",NA
"227",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"3",NA
"228",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"4",NA
"229",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"4",NA
"230",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"5",NA
"231",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"5",NA
"232",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"6",NA
"233",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"6",NA
"234",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"7",NA
"235",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"7",NA
"236",10,"Chamise","Chamise","ARCA",NA,"MD",14,NA,"8",NA
"237",10,"Chamise","Chamise","ARCA",2022-04-04,"PD",14,NA,"8",NA
"238",10,"Chamise","Chamise","ARCA",NA,"MD",19,NA,"1",NA
"239",10,"Chamise","Chamise","ARCA",2022-05-09,"PD",19,0.890971039182283,"1",NA
"240",10,"Chamise","Chamise","ARCA",NA,"MD",19,NA,"2",NA
"241",10,"Chamise","Chamise","ARCA",2022-05-09,"PD",19,0.890971039182283,"2",NA
"242",10,"Chamise","Chamise","ARCA",NA,"MD",19,NA,"3",NA
"243",10,"Chamise","Chamise","ARCA",2022-05-09,"PD",19,0.890971039182283,"3",NA
"244",10,"Chamise","Chamise","ARCA",NA,"MD",19,NA,"4",NA
"245",10,"Chamise","Chamise","ARCA",2022-05-09,"PD",19,0.890971039182283,"4",NA
"246",10,"Chamise","Chamise","ARCA",NA,"MD",19,NA,"5",NA
"247",10,"Chamise","Chamise","ARCA",2022-05-09,"PD",19,0.890971039182283,"5",NA
"248",10,"Chamise","Chamise","ARCA",NA,"MD",19,NA,"6",NA
"249",10,"Chamise","Chamise","ARCA",2022-05-09,"PD",19,0.890971039182283,"6",NA
"250",10,"Chamise","Chamise","ARCA",2022-05-23,"MD",21,NA,"1",NA
"251",10,"Chamise","Chamise","ARCA",2022-05-23,"PD",21,NA,"1",NA
"252",10,"Chamise","Chamise","ARCA",2022-05-23,"MD",21,NA,"2",NA
"253",10,"Chamise","Chamise","ARCA",2022-05-23,"PD",21,NA,"2",NA
"254",10,"Chamise","Chamise","ARCA",2022-05-23,"MD",21,NA,"3",NA
"255",10,"Chamise","Chamise","ARCA",2022-05-23,"PD",21,NA,"3",NA
"256",10,"Chamise","Chamise","ARCA",2022-05-23,"MD",21,NA,"4",NA
"257",10,"Chamise","Chamise","ARCA",2022-05-23,"PD",21,NA,"4",NA
"258",10,"Chamise","Chamise","ARCA",2022-05-23,"MD",21,NA,"5",NA
"259",10,"Chamise","Chamise","ARCA",2022-05-23,"PD",21,NA,"5",NA
"260",10,"Chamise","Chamise","ARCA",2022-05-23,"MD",21,NA,"6",NA
"261",10,"Chamise","Chamise","ARCA",2022-05-23,"PD",21,NA,"6",NA
"262",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"1",1.30820512820513
"263",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"1",NA
"264",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"2",1.59153846153846
"265",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"2",NA
"266",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"3",1.42319587628866
"267",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"3",NA
"268",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"4",1.45294117647059
"269",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"4",NA
"270",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"5",1.27130434782609
"271",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"5",NA
"272",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"6",1.7203302373581
"273",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"6",NA
"274",10,"Chamise","Chamise","ARCA",NA,"MD",NA,NA,"7",1.45295055821372
"275",10,"Chamise","Chamise","ARCA",NA,"PD",NA,NA,"7",NA
"276",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"1",NA
"277",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"1",NA
"278",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"2",NA
"279",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"2",NA
"280",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"3",NA
"281",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"3",NA
"282",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"4",NA
"283",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"4",NA
"284",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"5",NA
"285",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"5",NA
"286",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"6",NA
"287",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"6",NA
"288",11,"Rohan","LL","ARCA",2022-03-08,"MD",10,NA,"7",NA
"289",11,"Rohan","LL","ARCA",NA,"PD",10,NA,"7",NA
"290",11,"Rohan","LL","ARCA",2022-04-06,"MD",14,NA,"1",1.57481296758105
"291",11,"Rohan","LL","ARCA",2022-04-04,"PD",14,NA,"1",NA
"292",11,"Rohan","LL","ARCA",2022-04-06,"MD",14,NA,"2",1.53609467455621
"293",11,"Rohan","LL","ARCA",2022-04-04,"PD",14,NA,"2",NA
"294",11,"Rohan","LL","ARCA",2022-04-06,"MD",14,NA,"3",1.52889539136796
"295",11,"Rohan","LL","ARCA",2022-04-04,"PD",14,NA,"3",NA
"296",11,"Rohan","LL","ARCA",2022-04-06,"MD",14,NA,"4",1.93853427895981
"297",11,"Rohan","LL","ARCA",2022-04-04,"PD",14,NA,"4",NA
"298",11,"Rohan","LL","ARCA",2022-04-06,"MD",14,NA,"5",1.60038240917782
"299",11,"Rohan","LL","ARCA",2022-04-04,"PD",14,NA,"5",NA
"300",11,"Rohan","LL","ARCA",2022-04-06,"MD",14,NA,"6",1.86948176583493
