site,plot,species,mpa,week,tree,time,date_wp
LL,Hobbiton,live oak,3.844,33,2301,md,2022-08-18
LL,Weathertop,blue oak,4.729,33,2370,md,2022-08-18
LL,Weathertop,blue oak,5.09,33,2370,md,2022-08-18
LL,Weathertop,blue oak,4.432,33,2370,md,2022-08-18
LL,Weathertop,blue oak,4.946,33,2370,md,2022-08-18
LL,Weathertop,blue oak,4.765,33,2371,md,2022-08-18
LL,Weathertop,blue oak,4.675,33,2371,md,2022-08-18
LL,Weathertop,blue oak,4.743,33,2372,md,2022-08-18
LL,Weathertop,blue oak,5.184,33,2372,md,2022-08-18
LL,Weathertop,blue oak,5,33,2372,md,2022-08-18
LL,Weathertop,blue oak,4.443,33,2381,md,2022-08-18
LL,Weathertop,blue oak,4.871,33,2381,md,2022-08-18
LL,Weathertop,blue oak,4.339,33,2382,md,2022-08-18
LL,Weathertop,blue oak,4.501,33,2382,md,2022-08-18
LL,Weathertop,blue oak,4.5,33,2382,md,2022-08-18
LL,Weathertop,blue oak,4.646,33,2383,md,2022-08-18
LL,Weathertop,blue oak,4.621,33,2383,md,2022-08-18
LL,Weathertop,blue oak,5.177,33,2384,md,2022-08-18
LL,Weathertop,blue oak,4.916,33,2384,md,2022-08-18
LL,Weathertop,blue oak,5.189,33,2384,md,2022-08-18
LL,Weathertop,blue oak,4.293,33,2011,md,2022-08-18
LL,Weathertop,blue oak,4.264,33,2011,md,2022-08-18
LL,Weathertop,blue oak,4.375,33,2010,md,2022-08-18
LL,Weathertop,blue oak,4.156,33,2010,md,2022-08-18
LL,Hobbiton,blue oak,4.001,33,2009,md,2022-08-18
LL,Hobbiton,blue oak,4.126,33,2009,md,2022-08-18
LL,MiddleEarth,live oak,5.6,29,2352,md,2022-07-19
LL,MiddleEarth,live oak,5.7,29,2352,md,2022-07-19
LL,MiddleEarth,live oak,5.5,29,2352,md,2022-07-19
LL,MiddleEarth,live oak,4.7,29,2354,md,2022-07-19
LL,MiddleEarth,live oak,4.2,29,2354,md,2022-07-19
LL,MiddleEarth,live oak,3.2,29,2354,md,2022-07-19
LL,MiddleEarth,live oak,4.3,29,2354,md,2022-07-19
LL,MiddleEarth,blue oak,4.5,29,2360,md,2022-07-19
LL,MiddleEarth,blue oak,4.6,29,2360,md,2022-07-19
LL,MiddleEarth,blue oak,4.1,29,2365,md,2022-07-19
LL,MiddleEarth,blue oak,3.6,29,2365,md,2022-07-19
LL,MiddleEarth,blue oak,3.8,29,2367,md,2022-07-19
LL,MiddleEarth,blue oak,3.85,29,2367,md,2022-07-19
LL,MiddleEarth,blue oak,4,29,2367,md,2022-07-19
LL,MiddleEarth,live oak,5.1,29,2376,md,2022-07-19
LL,MiddleEarth,live oak,4.8,29,2376,md,2022-07-19
LL,MiddleEarth,blue oak,3.7,29,2378,md,2022-07-19
LL,MiddleEarth,blue oak,3.75,29,2378,md,2022-07-19
LL,MiddleEarth,blue oak,3.8,29,2378,md,2022-07-19
LL,MiddleEarth,blue oak,4.6,29,2379,md,2022-07-19
LL,MiddleEarth,blue oak,4.7,29,2379,md,2022-07-19
LL,MiddleEarth,live oak,4.2,29,2380,md,2022-07-19
LL,MiddleEarth,live oak,3.8,29,2380,md,2022-07-19
LL,MiddleEarth,live oak,4.3,29,2380,md,2022-07-19
LL,Hobbiton,blue oak,3.1,29,2343,md,2022-07-19
LL,Hobbiton,blue oak,3.2,29,2343,md,2022-07-19
LL,Hobbiton,blue oak,3.3,29,2343,md,2022-07-19
LL,Hobbiton,live oak,3.4,29,2345,md,2022-07-19
LL,Hobbiton,live oak,3.1,29,2345,md,2022-07-19
LL,Hobbiton,live oak,3.7,29,2345,md,2022-07-19
LL,Hobbiton,live oak,3.6,29,2345,md,2022-07-19
LL,Hobbiton,blue oak,4.8,29,2346,md,2022-07-19
LL,Hobbiton,blue oak,4.6,29,2346,md,2022-07-19
LL,Hobbiton,blue oak,4.5,29,2347,md,2022-07-19
LL,Hobbiton,blue oak,4.3,29,2347,md,2022-07-19
LL,Hobbiton,blue oak,3.8,29,2347,md,2022-07-19
LL,Hobbiton,blue oak,4.2,29,2347,md,2022-07-19
LL,Hobbiton,blue oak,4.6,29,2375,md,2022-07-19
LL,Hobbiton,blue oak,4.5,29,2375,md,2022-07-19
LL,Hobbiton,blue oak,4.4,29,2375,md,2022-07-19
LL,Ridge,live oak,3.5,29,2331,md,2022-07-19
LL,Ridge,live oak,3.6,29,2331,md,2022-07-19
LL,Ridge,live oak,3.8,29,2331,md,2022-07-19
LL,Hobbiton,live oak,4.25,29,2301,md,2022-07-19
LL,Hobbiton,live oak,4.4,29,2301,md,2022-07-19
LL,Hobbiton,live oak,4.5,29,2301,md,2022-07-19
LL,Weathertop,blue oak,4.5,29,2370,md,2022-07-19
LL,Weathertop,blue oak,4.7,29,2370,md,2022-07-19
LL,Weathertop,blue oak,4.1,29,2370,md,2022-07-19
LL,Weathertop,blue oak,3.55,29,2371,md,2022-07-19
LL,Weathertop,blue oak,3.4,29,2371,md,2022-07-19
LL,Weathertop,blue oak,3.7,29,2372,md,2022-07-19
LL,Weathertop,blue oak,4.1,29,2372,md,2022-07-19
LL,Weathertop,blue oak,4,29,2372,md,2022-07-19
LL,Weathertop,blue oak,3.6,29,2372,md,2022-07-19
LL,Weathertop,blue oak,4.2,29,2372,md,2022-07-19
LL,Weathertop,blue oak,4.8,29,2381,md,2022-07-19
LL,Weathertop,blue oak,4.6,29,2381,md,2022-07-19
LL,Weathertop,blue oak,4.5,29,2381,md,2022-07-19
LL,Weathertop,blue oak,3.8,29,2382,md,2022-07-19
LL,Weathertop,blue oak,3.9,29,2382,md,2022-07-19
LL,Weathertop,blue oak,4.3,29,2382,md,2022-07-19
LL,Weathertop,blue oak,4,29,2383,md,2022-07-19
LL,Weathertop,blue oak,4.5,29,2383,md,2022-07-19
LL,Weathertop,blue oak,4.2,29,2383,md,2022-07-19
LL,Weathertop,blue oak,4.1,29,2383,md,2022-07-19
LL,Weathertop,blue oak,5.3,29,2384,md,2022-07-19
LL,Weathertop,blue oak,5,29,2384,md,2022-07-19
LL,Weathertop,blue oak,4.3,29,2384,md,2022-07-19
LL,Weathertop,blue oak,4.8,29,2384,md,2022-07-19
Cucu Mesa,High,blue oak,4.4,29,2005,md,2022-07-19
Cucu Mesa,High,blue oak,4.2,29,2005,md,2022-07-19
Cucu Mesa,High,blue oak,4.3,29,2006,md,2022-07-19
Cucu Mesa,High,blue oak,4.7,29,2006,md,2022-07-19
Cucu Mesa,High,blue oak,4.4,29,2006,md,2022-07-19
Cucu Mesa,High,blue oak,4,29,2007,md,2022-07-19
Cucu Mesa,High,blue oak,4.5,29,2007,md,2022-07-19
Cucu Mesa,High,blue oak,4.2,29,2007,md,2022-07-19
PineNeedle,Low,live oak,2.8,29,2092,md,2022-07-19
PineNeedle,Low,live oak,2.9,29,2092,md,2022-07-19
PineNeedle,Low,live oak,3.6,29,2092,md,2022-07-19
PineNeedle,Low,live oak,3.5,29,2092,md,2022-07-19
PineNeedle,Low,live oak,2.95,29,2091,md,2022-07-19
PineNeedle,Low,live oak,2.99,29,2091,md,2022-07-19
PineNeedle,Low,live oak,2.5,29,2091,md,2022-07-19
PineNeedle,Low,live oak,2.85,29,2091,md,2022-07-19
PineNeedle,Low,blue oak,3.5,29,2090,md,2022-07-19
PineNeedle,Low,blue oak,4.7,29,2090,md,2022-07-19
PineNeedle,Low,blue oak,4,29,2090,md,2022-07-19
PineNeedle,Low,blue oak,3.8,29,2090,md,2022-07-19
PineNeedle,Low,live oak,2.5,29,2089,md,2022-07-19
PineNeedle,Low,live oak,2.4,29,2089,md,2022-07-19
PineNeedle,Low,blue oak,4,29,2088,md,2022-07-19
PineNeedle,Low,blue oak,3.4,29,2088,md,2022-07-19
PineNeedle,Low,blue oak,3.2,29,2088,md,2022-07-19
PineNeedle,Low,blue oak,3.5,29,2087,md,2022-07-19
PineNeedle,Low,blue oak,3.8,29,2087,md,2022-07-19
PineNeedle,Low,blue oak,3.6,29,2087,md,2022-07-19
PineNeedle,Low,blue oak,4.2,29,2086,md,2022-07-19
PineNeedle,Low,blue oak,4,29,2086,md,2022-07-19
PineNeedle,Low,blue oak,4.1,29,2085,md,2022-07-19
PineNeedle,Low,blue oak,3.9,29,2085,md,2022-07-19
PineNeedle,Low,blue oak,4.3,29,2085,md,2022-07-19
Chamise,Chamise,blue oak,3.85,29,2020,md,2022-07-19
Chamise,Chamise,blue oak,4,29,2020,md,2022-07-19
Chamise,Chamise,blue oak,3.75,29,2020,md,2022-07-19
Chamise,Chamise,blue oak,3.7,29,2021,md,2022-07-19
Chamise,Chamise,blue oak,4.3,29,2021,md,2022-07-19
Chamise,Chamise,blue oak,4.6,29,2021,md,2022-07-19
Chamise,Chamise,blue oak,4.1,29,2021,md,2022-07-19
Chamise,Chamise,live oak,3.7,29,2022,md,2022-07-19
Chamise,Chamise,live oak,3.76,29,2022,md,2022-07-19
Chamise,Chamise,live oak,3.5,29,2023,md,2022-07-19
Chamise,Chamise,live oak,3.6,29,2023,md,2022-07-19
Chamise,Chamise,live oak,3.3,29,2023,md,2022-07-19
Chamise,Chamise,blue oak,4.3,29,2024,md,2022-07-19
Chamise,Chamise,blue oak,3.9,29,2024,md,2022-07-19
Chamise,Chamise,blue oak,4.1,29,2024,md,2022-07-19
Chamise,Chamise,blue oak,4.2,29,2025,md,2022-07-19
Chamise,Chamise,blue oak,4,29,2025,md,2022-07-19
Chamise,Shedd,blue oak,4.9,29,2026,md,2022-07-19
Chamise,Shedd,blue oak,4.4,29,2026,md,2022-07-19
Chamise,Shedd,blue oak,4.3,29,2026,md,2022-07-19
Chamise,Shedd,blue oak,5.5,29,2028,md,2022-07-19
Chamise,Shedd,blue oak,4.5,29,2028,md,2022-07-19
Chamise,Shedd,live oak,3.7,29,2029,md,2022-07-19
Chamise,Shedd,live oak,3.3,29,2029,md,2022-07-19
Chamise,Shedd,live oak,3.2,29,2029,md,2022-07-19
Chamise,Shedd,live oak,3,29,2029,md,2022-07-19
Chamise,Shedd,live oak,3.1,29,2030,md,2022-07-19
Chamise,Shedd,live oak,3.6,29,2030,md,2022-07-19
Chamise,Shedd,live oak,3.65,29,2030,md,2022-07-19
Chamise,Shedd,live oak,3.5,29,2030,md,2022-07-19
Chamise,Shedd,blue oak,3.9,29,2031,md,2022-07-19
Chamise,Shedd,blue oak,4.2,29,2031,md,2022-07-19
Chamise,Shedd,blue oak,4,29,2031,md,2022-07-19
Cucu Mesa,Low,blue oak,3.8,29,2012,md,2022-07-19
Cucu Mesa,Low,blue oak,3.6,29,2012,md,2022-07-19
Cucu Mesa,Low,blue oak,3.65,29,2012,md,2022-07-19
Cucu Mesa,Low,blue oak,3.7,29,2013,md,2022-07-19
Cucu Mesa,Low,blue oak,4,29,2013,md,2022-07-19
Cucu Mesa,Low,blue oak,4.2,29,2013,md,2022-07-19
Cucu Mesa,Low,blue oak,4.6,29,2015,md,2022-07-19
Cucu Mesa,Low,blue oak,4.9,29,2015,md,2022-07-19
Cucu Mesa,Low,blue oak,4.3,29,1478,md,2022-07-19
Cucu Mesa,Low,blue oak,4.1,29,1478,md,2022-07-19
Cucu Mesa,Low,blue oak,4,29,1478,md,2022-07-19
LL,Weathertop,blue oak,5.2,29,2011,md,2022-07-19
LL,Weathertop,blue oak,4.5,29,2011,md,2022-07-19
LL,Weathertop,blue oak,4.8,29,2011,md,2022-07-19
LL,Weathertop,blue oak,5,29,2011,md,2022-07-19
LL,Weathertop,blue oak,4,29,2010,md,2022-07-19
LL,Weathertop,blue oak,3,29,2010,md,2022-07-19
LL,Weathertop,blue oak,4.2,29,2010,md,2022-07-19
LL,Hobbiton,blue oak,3.9,29,2009,md,2022-07-19
LL,Hobbiton,blue oak,4,29,2009,md,2022-07-19
LL,MiddleEarth,live oak,3.65,21,2380,md,2022-05-23
LL,MiddleEarth,live oak,3.83,21,2380,md,2022-05-23
LL,MiddleEarth,live oak,3.86,21,2380,md,2022-05-23
LL,Hobbiton,blue oak,3.13,21,2347,md,2022-05-23
LL,Hobbiton,blue oak,2.7,21,2347,md,2022-05-23
LL,Hobbiton,blue oak,2.75,21,2347,md,2022-05-23
LL,Ridge,live oak,2.52,21,2331,md,2022-05-23
LL,Ridge,live oak,2.68,21,2331,md,2022-05-23
LL,Ridge,live oak,2.72,21,2331,md,2022-05-23
LL,Hobbiton,live oak,3.07,21,2301,md,2022-05-23
LL,Hobbiton,live oak,2.65,21,2301,md,2022-05-23
LL,Hobbiton,live oak,2.91,21,2301,md,2022-05-23
LL,Weathertop,blue oak,2.92,21,2370,md,2022-05-23
LL,Weathertop,blue oak,3.5,21,2370,md,2022-05-23
LL,Weathertop,blue oak,3.18,21,2370,md,2022-05-23
LL,Weathertop,blue oak,2.7,21,2371,md,2022-05-23
LL,Weathertop,blue oak,2.61,21,2371,md,2022-05-23
LL,Weathertop,blue oak,2.36,21,2371,md,2022-05-23
LL,Weathertop,blue oak,2.37,21,2372,md,2022-05-23
LL,Weathertop,blue oak,2.21,21,2372,md,2022-05-23
LL,Weathertop,blue oak,1.96,21,2372,md,2022-05-23
LL,Weathertop,blue oak,3.47,21,2383,md,2022-05-23
LL,Weathertop,blue oak,3.27,21,2383,md,2022-05-23
LL,Weathertop,blue oak,3.29,21,2383,md,2022-05-23
LL,Weathertop,blue oak,3.3,21,2384,md,2022-05-23
LL,Weathertop,blue oak,2.92,21,2384,md,2022-05-23
LL,Weathertop,blue oak,2.83,21,2384,md,2022-05-23
Cucu Mesa,High,blue oak,3.658,21,2004,md,2022-05-23
Cucu Mesa,High,blue oak,2.448,21,2004,md,2022-05-23
Cucu Mesa,High,blue oak,2.179,21,2004,md,2022-05-23
Cucu Mesa,High,blue oak,2.498,21,2004,md,2022-05-23
Cucu Mesa,High,blue oak,2.646,21,2004,md,2022-05-23
Cucu Mesa,High,blue oak,3.05,21,2005,md,2022-05-23
Cucu Mesa,High,blue oak,3,21,2005,md,2022-05-23
Cucu Mesa,High,blue oak,2.95,21,2005,md,2022-05-23
Cucu Mesa,High,blue oak,3.374,21,2006,md,2022-05-23
Cucu Mesa,High,blue oak,3.134,21,2006,md,2022-05-23
Cucu Mesa,High,blue oak,3.09,21,2006,md,2022-05-23
Cucu Mesa,High,blue oak,3.35,21,2007,md,2022-05-23
Cucu Mesa,High,blue oak,3.25,21,2007,md,2022-05-23
Cucu Mesa,High,blue oak,3.6,21,2007,md,2022-05-23
Chamise,Chamise,LEU,3.438,21,NA,md,2022-05-23
Chamise,Chamise,LEU,2.459,21,NA,md,2022-05-23
Chamise,Chamise,LEU,3.234,21,NA,md,2022-05-23
Chamise,Chamise,LEU,3.412,21,NA,md,2022-05-23
Chamise,Chamise,LEU,3.578,21,NA,md,2022-05-23
Cucu Mesa,High,LEU,4.372,21,20,md,2022-05-23
Cucu Mesa,High,LEU,3.972,21,20,md,2022-05-23
Cucu Mesa,High,LEU,3.789,21,20,md,2022-05-23
LL,Rohan,ARCA,4.8,21,11,md,2022-05-23
LL,Rohan,ARCA,3.4,21,11,md,2022-05-23
LL,Rohan,ARCA,4.35,21,11,md,2022-05-23
LL,Rohan,ARCA,4.5,21,11,md,2022-05-23
LL,Rohan,ARCA,4.65,21,11,md,2022-05-23
Chamise,Chamise,ARCA,4.89,21,10,md,2022-05-23
Chamise,Chamise,ARCA,4.93,21,10,md,2022-05-23
Chamise,Chamise,ARCA,4.9,21,10,md,2022-05-23
Chamise,Chamise,ARCA,4.82,21,10,md,2022-05-23
Cucu Mesa,High,ARCA,4.458,21,12,md,2022-05-23
Cucu Mesa,High,ARCA,4.648,21,12,md,2022-05-23
Cucu Mesa,High,ARCA,4.554,21,12,md,2022-05-23
Cucu Mesa,High,ARCA,4.188,21,12,md,2022-05-23
Cucu Mesa,High,ARCA,4.388,21,12,md,2022-05-23
Cucu Mesa,High,ARCA,4.129,21,12,md,2022-05-23
PineNeedle,Low,live oak,3.408,21,2093,md,2022-05-23
PineNeedle,Low,live oak,2.301,21,2093,md,2022-05-23
PineNeedle,Low,live oak,2.3,21,2093,md,2022-05-23
PineNeedle,Low,live oak,2.928,21,2093,md,2022-05-23
PineNeedle,Low,live oak,1.876,21,2093,md,2022-05-23
PineNeedle,Low,live oak,3.516,21,2093,md,2022-05-23
PineNeedle,Low,live oak,2.854,21,2092,md,2022-05-23
PineNeedle,Low,live oak,2.681,21,2092,md,2022-05-23
PineNeedle,Low,live oak,1.878,21,2091,md,2022-05-23
PineNeedle,Low,live oak,2.143,21,2091,md,2022-05-23
PineNeedle,Low,live oak,1.918,21,2091,md,2022-05-23
PineNeedle,Low,live oak,2.463,21,2091,md,2022-05-23
PineNeedle,Low,live oak,2.208,21,2091,md,2022-05-23
PineNeedle,Low,blue oak,2.641,21,2090,md,2022-05-23
PineNeedle,Low,blue oak,2.689,21,2090,md,2022-05-23
PineNeedle,Low,live oak,2.243,21,2089,md,2022-05-23
PineNeedle,Low,live oak,2.19,21,2089,md,2022-05-23
PineNeedle,Low,live oak,1.58,21,2089,md,2022-05-23
PineNeedle,Low,live oak,1.845,21,2089,md,2022-05-23
PineNeedle,Low,live oak,1.998,21,2089,md,2022-05-23
PineNeedle,Low,blue oak,2.855,21,2088,md,2022-05-23
PineNeedle,Low,blue oak,2.932,21,2088,md,2022-05-23
PineNeedle,Low,blue oak,3.29,21,2086,md,2022-05-23
PineNeedle,Low,blue oak,3.328,21,2086,md,2022-05-23
PineNeedle,Low,blue oak,3.138,21,2086,md,2022-05-23
PineNeedle,Low,blue oak,2.95,21,2085,md,2022-05-23
PineNeedle,Low,blue oak,3.3,21,2085,md,2022-05-23
PineNeedle,Low,blue oak,3.4,21,2085,md,2022-05-23
Cucu Mesa,Low,blue oak,3.15,21,2012,md,2022-05-23
Cucu Mesa,Low,blue oak,3.2,21,2012,md,2022-05-23
Cucu Mesa,Low,blue oak,3.334,21,2012,md,2022-05-23
Cucu Mesa,Low,blue oak,2.753,21,2012,md,2022-05-23
Cucu Mesa,Low,blue oak,2.883,21,2012,md,2022-05-23
Cucu Mesa,Low,blue oak,3.189,21,2015,md,2022-05-23
Cucu Mesa,Low,blue oak,3.148,21,2015,md,2022-05-23
Cucu Mesa,Low,blue oak,4.5,21,1478,md,2022-05-23
Cucu Mesa,Low,blue oak,3.6,21,1478,md,2022-05-23
Cucu Mesa,Low,blue oak,3.85,21,1478,md,2022-05-23
Cucu Mesa,Low,blue oak,4,21,1478,md,2022-05-23
LL,Weathertop,blue oak,2.09,21,2011,md,2022-05-23
LL,Weathertop,blue oak,2.14,21,2011,md,2022-05-23
LL,Weathertop,blue oak,2.43,21,2011,md,2022-05-23
Cucu Mesa,High,blue oak,3.45,21,2008,md,2022-05-23
Cucu Mesa,High,blue oak,3.05,21,2008,md,2022-05-23
Cucu Mesa,High,blue oak,3.4,21,2008,md,2022-05-23
LL,MiddleEarth,live oak,3.501,21,2352,md,2022-05-23
LL,MiddleEarth,live oak,3.7,21,2352,md,2022-05-23
LL,MiddleEarth,live oak,4.517,21,2352,md,2022-05-23
LL,MiddleEarth,live oak,4.323,21,2352,md,2022-05-23
LL,MiddleEarth,live oak,4.776,21,2352,md,2022-05-23
LL,MiddleEarth,live oak,4.031,21,2354,md,2022-05-23
LL,MiddleEarth,live oak,3.467,21,2354,md,2022-05-23
LL,MiddleEarth,live oak,3.531,21,2354,md,2022-05-23
LL,MiddleEarth,blue oak,3.234,21,2360,md,2022-05-23
LL,MiddleEarth,blue oak,3.189,21,2360,md,2022-05-23
LL,MiddleEarth,blue oak,3.4,21,2360,md,2022-05-23
LL,MiddleEarth,blue oak,3.286,21,2360,md,2022-05-23
LL,MiddleEarth,blue oak,3.043,21,2365,md,2022-05-23
LL,MiddleEarth,blue oak,2.912,21,2365,md,2022-05-23
LL,MiddleEarth,blue oak,2.963,21,2365,md,2022-05-23
LL,MiddleEarth,blue oak,3.01,21,2367,md,2022-05-23
LL,MiddleEarth,blue oak,2.99,21,2367,md,2022-05-23
LL,MiddleEarth,blue oak,2.881,21,2367,md,2022-05-23
LL,MiddleEarth,blue oak,3.67,21,2369,md,2022-05-23
LL,MiddleEarth,blue oak,3.79,21,2369,md,2022-05-23
LL,MiddleEarth,blue oak,3.7,21,2369,md,2022-05-23
LL,MiddleEarth,live oak,2.615,21,2376,md,2022-05-23
LL,MiddleEarth,live oak,2.386,21,2376,md,2022-05-23
LL,MiddleEarth,live oak,2.056,21,2376,md,2022-05-23
LL,MiddleEarth,live oak,2.343,21,2376,md,2022-05-23
LL,MiddleEarth,live oak,1.464,21,2377,md,2022-05-23
LL,MiddleEarth,live oak,1.728,21,2377,md,2022-05-23
LL,MiddleEarth,live oak,1.531,21,2377,md,2022-05-23
LL,MiddleEarth,live oak,1.74,21,2377,md,2022-05-23
LL,MiddleEarth,blue oak,3.361,21,2378,md,2022-05-23
LL,MiddleEarth,blue oak,3.187,21,2378,md,2022-05-23
LL,MiddleEarth,blue oak,2.778,21,2378,md,2022-05-23
LL,MiddleEarth,blue oak,3.373,21,2378,md,2022-05-23
LL,MiddleEarth,blue oak,3.261,21,2378,md,2022-05-23
LL,MiddleEarth,blue oak,3.341,21,2379,md,2022-05-23
LL,MiddleEarth,blue oak,3.31,21,2379,md,2022-05-23
LL,Hobbiton,blue oak,3.778,21,2343,md,2022-05-23
LL,Hobbiton,blue oak,3.692,21,2343,md,2022-05-23
LL,Hobbiton,blue oak,3.938,21,2343,md,2022-05-23
LL,Hobbiton,blue oak,3.662,21,2343,md,2022-05-23
LL,Hobbiton,blue oak,3.535,21,2343,md,2022-05-23
LL,Hobbiton,live oak,2.471,21,2345,md,2022-05-23
LL,Hobbiton,live oak,2.077,21,2345,md,2022-05-23
LL,Hobbiton,live oak,2.088,21,2345,md,2022-05-23
LL,Hobbiton,live oak,2.043,21,2345,md,2022-05-23
LL,Hobbiton,blue oak,3.268,21,2346,md,2022-05-23
LL,Hobbiton,blue oak,3.365,21,2346,md,2022-05-23
LL,Hobbiton,blue oak,3.406,21,2375,md,2022-05-23
LL,Hobbiton,blue oak,3.478,21,2375,md,2022-05-23
LL,Weathertop,blue oak,2.824,21,2381,md,2022-05-23
LL,Weathertop,blue oak,2.469,21,2381,md,2022-05-23
LL,Weathertop,blue oak,2.774,21,2381,md,2022-05-23
LL,Weathertop,blue oak,2.479,21,2381,md,2022-05-23
LL,Weathertop,blue oak,3.949,21,2382,md,2022-05-23
LL,Weathertop,blue oak,3.938,21,2382,md,2022-05-23
LL,Weathertop,blue oak,3.778,21,2382,md,2022-05-23
Chamise,Chamise,blue oak,2.931,21,2020,md,2022-05-23
Chamise,Chamise,blue oak,3.03,21,2020,md,2022-05-23
Chamise,Chamise,blue oak,3.701,21,2021,md,2022-05-23
Chamise,Chamise,blue oak,4.02,21,2021,md,2022-05-23
Chamise,Chamise,blue oak,3.462,21,2021,md,2022-05-23
Chamise,Chamise,blue oak,3.406,21,2021,md,2022-05-23
Chamise,Chamise,blue oak,4.112,21,2021,md,2022-05-23
Chamise,Chamise,live oak,2.709,21,2022,md,2022-05-23
Chamise,Chamise,live oak,2.92,21,2022,md,2022-05-23
Chamise,Chamise,live oak,2.313,21,2022,md,2022-05-23
Chamise,Chamise,live oak,2.2,21,2022,md,2022-05-23
Chamise,Chamise,live oak,2.962,21,2022,md,2022-05-23
Chamise,Chamise,live oak,2.801,21,2022,md,2022-05-23
Chamise,Chamise,live oak,2.02,21,2023,md,2022-05-23
Chamise,Chamise,live oak,2.305,21,2023,md,2022-05-23
Chamise,Chamise,live oak,1.933,21,2023,md,2022-05-23
Chamise,Chamise,live oak,2.298,21,2023,md,2022-05-23
Chamise,Chamise,live oak,2.189,21,2023,md,2022-05-23
Chamise,Chamise,blue oak,2.716,21,2024,md,2022-05-23
Chamise,Chamise,blue oak,2.668,21,2024,md,2022-05-23
Chamise,Chamise,blue oak,3.069,21,2025,md,2022-05-23
Chamise,Chamise,blue oak,3.048,21,2025,md,2022-05-23
Chamise,Shedd,blue oak,3.334,21,2026,md,2022-05-23
Chamise,Shedd,blue oak,3.4,21,2026,md,2022-05-23
Chamise,Shedd,blue oak,3.61,21,2027,md,2022-05-23
Chamise,Shedd,blue oak,3.14,21,2027,md,2022-05-23
Chamise,Shedd,blue oak,3.339,21,2027,md,2022-05-23
Chamise,Shedd,blue oak,3.288,21,2027,md,2022-05-23
Chamise,Shedd,blue oak,3.201,21,2028,md,2022-05-23
