"","tree_id","branch","species","year","week","...6","file","day","notes_leaf_area","more_notes_leaf_area","area_cm2","date_leaf_area","year_leaf_area","sub_branch","lwm_g","ldm_g","swm_g","sdm_g","l_cm","d_mm","length_new_cm","notes","date_alas","area_mm2","lma_g_cm2","d_cm","r_mm","r_cm","area_stem_mm2","alas_cm2_per_mm2","sla_cm_g"
"20","2004","2","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238,0.045,0.074,0.013,1.64,NA,1.64,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"21","2004","2","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512,0.189,0.09,0.032,2.2,1.18,2.2,"Need to find areas!",2022-03-15,NA,NA,0.118,1.18,0.059,4.37435361085843,NA,NA
"22","2004","2","B",0,14,14,"txt",4,NA,NA,31.795,2022-04-04,0,NA,0.958,0.502,0.184,0.082,3.34,1.2175,3.34,NA,2022-04-04,317.95,0.0157886460135241,0.12175,1.2175,0.060875,4.65680242537024,6.82764633233761,63.3366533864542
"23","2004","2","B",0,17,11,"txt",27,NA,NA,13.381,2022-04-27,0,NA,0.3466,0.1856,0.0519,0.0265,1.699,1.07,1.699,NA,2022-04-27,133.81,0.0138704132725506,0.107,1.07,0.0535,3.59680942909495,3.72024158181964,72.0959051724138
"24","2004","2","B",0,29,17,"txt",19,NA,NA,11.508,2022-07-19,0,NA,0.326,0.198,0.105,0.062,1.85,1.22,1.85,NA,2022-07-19,115.08,0.0172054223149114,0.122,1.22,0.061,4.67594650560305,2.46110599986769,58.1212121212121
"25","2004","2","B",0,37,741,"csv",12,NA,NA,23.251,2022-09-12,0,NA,0.6183,0.4173,0.28,0.1652,34.52,1.4975,NA,NA,2022-09-12,232.51,0.0179476151563374,0.14975,1.4975,0.074875,7.0450411606292,3.30033557929184,55.7177090821951
"26","2004","3","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274,0.083,0.056,0.016,2.21,NA,2.21,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"27","2004","3","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507,0.193,0.059,0.022,1.67,1.05,1.67,"Need to find areas!",2022-03-15,NA,NA,0.105,1.05,0.0525,3.46360590058275,NA,NA
"28","2004","3","B",0,14,15,"txt",4,NA,NA,19.457,2022-04-04,0,NA,0.583,0.305,0.075,0.034,1.93,0.9925,1.93,NA,2022-04-04,194.57,0.0156755923318086,0.09925,0.9925,0.049625,3.09464547837271,6.28731146620106,63.7934426229508
"29","2004","3","B",0,17,12,"txt",27,NA,NA,14.838,2022-04-27,0,NA,0.3888,0.2117,0.0588,0.031,1.778,0.9775,1.778,NA,2022-04-27,148.38,0.0142674214853754,0.09775,0.9775,0.048875,3.00181141545913,4.94301538184087,70.0897496457251
"30","2004","3","B",0,29,18,"txt",19,NA,NA,19.433,2022-07-19,0,NA,0.495,0.324,0.118,0.078,1.84,1.2375,1.84,NA,2022-07-19,194.33,0.016672670200175,0.12375,1.2375,0.061875,4.81105462466149,4.03923910994199,59.9783950617284
"31","2004","3","B",0,37,742,"csv",12,NA,NA,23.236,2022-09-12,0,NA,0.6527,0.3996,0.2387,0.1393,32.69,1.4675,NA,NA,2022-09-12,232.36,0.0171974522292994,0.14675,1.4675,0.073375,6.76559649409239,3.43443479378194,58.1481481481481
"32","2004","4","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,0.112,0.094,0.023,2.78,NA,2.78,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"33","2005","1","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.21,0.081,0.024,2.51,NA,2.51,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"34","2005","1","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,0.819,0.194,0.074,2.93,1.495,2.93,"Need to find areas!",2022-03-15,NA,NA,0.1495,1.495,0.07475,7.02153812058953,NA,NA
"35","2005","1","B",0,14,22,"txt",4,NA,NA,32.996,2022-04-04,0,NA,0.971,0.463,0.109,0.048,2.29,1.0275,2.29,NA,2022-04-04,329.96,0.0140320038792581,0.10275,1.0275,0.051375,3.31675607898151,9.94827452313956,71.2656587473002
"36","2005","1","B",0,17,19,"txt",27,NA,NA,39.518,2022-04-27,0,NA,1.224,0.5742,0.1462,0.0706,2.47,1.4575,2.47,NA,2022-04-27,395.18,0.0145300875550382,0.14575,1.4575,0.072875,6.67370490897488,5.92144851158398,68.8227098571926
"37","2005","1","B",0,29,25,"txt",19,NA,NA,62.886,2022-07-19,0,NA,1.853,1.06,0.361,0.219,4.02,1.6625,4.02,NA,2022-07-19,628.86,0.0168558979741119,0.16625,1.6625,0.083125,8.68306757021091,7.24237137296312,59.3264150943396
"38","2005","1","B",0,37,743,"csv",12,NA,NA,25.994,2022-09-12,0,NA,0.6499,0.3974,0.1138,0.0667,19.41,0.9875,NA,NA,2022-09-12,259.94,0.0152881434177118,0.09875,0.9875,0.049375,3.06354371110217,8.48494503466645,65.4101660795169
"39","2005","2","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.385,0.435,0.144,0.042,2.85,NA,2.85,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"40","2005","2","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.143,0.893,0.275,0.104,4.21,1.6825,4.21,"Need to find areas!",2022-03-15,NA,NA,0.16825,1.6825,0.084125,8.89324011873607,NA,NA
"41","2005","2","B",0,14,23,"txt",4,NA,NA,41.111,2022-04-04,0,NA,1.284,0.617,0.108,0.049,1.72,1.3325,1.72,NA,2022-04-04,411.11,0.0150081486706721,0.13325,1.3325,0.066625,5.57807447103544,7.37010597715607,66.6304700162075
"42","2005","2","B",0,17,20,"txt",27,NA,NA,36.447,2022-04-27,0,NA,1.1186,0.519,0.1401,0.0646,1.716,1.27,1.716,NA,2022-04-27,364.47,0.0142398551321096,0.127,1.27,0.0635,5.06707479097498,7.19290744729408,70.2254335260116
"43","2005","2","B",0,29,26,"txt",19,NA,NA,59.853,2022-07-19,0,NA,1.653,0.95,0.181,0.113,2.45,1.4,2.45,NA,2022-07-19,598.53,0.0158722202730022,0.14,1.4,0.07,6.15752160103599,9.72030694783593,63.0031578947368
"44","2005","2","B",0,37,744,"csv",12,NA,NA,34.285,2022-09-12,0,NA,0.9814,0.6031,0.2743,0.1668,40.04,1.4775,NA,NA,2022-09-12,342.85,0.0175907831413154,0.14775,1.4775,0.073875,6.8581163977406,4.99918607553747,56.8479522467252
"45","2005","3","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.067,0.689,0.214,0.066,3.47,NA,3.47,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"46","2005","3","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.485,0.624,0.184,0.072,3.75,1.37,3.75,"Need to find areas!",2022-03-15,NA,NA,0.137,1.37,0.0685,5.89645525152268,NA,NA
"47","2005","3","B",0,14,24,"txt",4,NA,NA,35.35,2022-04-04,0,NA,1.046,0.515,0.108,0.05,2.44,0.9325,2.44,NA,2022-04-04,353.5,0.0145685997171146,0.09325,0.9325,0.046625,2.73179152688309,12.9402260941681,68.6407766990291
"48","2005","3","B",0,17,21,"txt",27,NA,NA,55.495,2022-04-27,0,NA,1.8027,0.8732,0.3377,0.1634,4.754,1.7625,4.754,NA,2022-04-27,554.95,0.0157347508784575,0.17625,1.7625,0.088125,9.75906305406542,5.6865090114242,63.5535959688502
"49","2005","3","B",0,29,27,"txt",19,NA,NA,37.19,2022-07-19,0,NA,1.079,0.631,0.19,0.12,2.5,1.525,2.5,NA,2022-07-19,371.9,0.0169669265931702,0.1525,1.525,0.07625,7.30616641500476,5.09022076524598,58.9381933438986
"50","2005","3","B",0,37,745,"csv",12,NA,NA,52.334,2022-09-12,0,NA,1.558,0.9256,0.4919,0.3057,66.81,1.4925,NA,NA,2022-09-12,523.34,0.0176863988993771,0.14925,1.4925,0.074625,6.99807435045803,7.47834295252589,56.5406222990493
"51","2005","4","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828,0.251,0.103,0.029,2.26,NA,2.26,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"52","2006","1","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434,0.137,0.025,0.007,0.68,NA,0.68,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"53","2006","1","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459,0.165,0.042,0.015,1.3,0.84,1.3,"Need to find areas!",2022-03-15,NA,NA,0.084,0.84,0.042,2.21670777637296,NA,NA
"54","2006","1","B",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737,0.362,0.03,0.013,0.81,1.0925,0.81,NA,2022-04-04,NA,NA,0.10925,1.0925,0.054625,3.74966754664618,NA,NA
"55","2006","1","B",0,17,28,"txt",27,NA,NA,50.411,2022-04-27,0,NA,1.4527,0.7419,0.1881,0.0962,2.87,1.9225,2.87,NA,2022-04-27,504.11,0.0147170260459027,0.19225,1.9225,0.096125,11.611346082622,4.34152936630209,67.9485105809408
"56","2006","1","B",0,29,31,"txt",19,NA,NA,17.479,2022-07-19,0,NA,0.459,0.267,0.059,0.038,1.12,1.155,1.12,NA,2022-07-19,174.79,0.0152754734252532,0.1155,1.155,0.05775,4.19096313970512,4.1706403557703,65.4644194756554
"57","2006","1","B",0,37,746,"csv",12,NA,NA,13.628,2022-09-12,0,NA,0.35,0.2065,0.0997,0.0596,20.85,1.1675,NA,NA,2022-09-12,136.28,0.015152626944526,0.11675,1.1675,0.058375,4.28216750142965,3.18250044993572,65.9951573849879
"58","2006","2","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.08,0.021,0.006,0.63,NA,0.63,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"59","2006","2","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916,0.326,0.053,0.02,1.38,1.6475,1.38,"Need to find areas!",2022-03-15,NA,NA,0.16475,1.6475,0.082375,8.52708749496018,NA,NA
"60","2006","2","B",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553,0.274,0.032,0.013,0.84,NA,0.84,NA,2022-04-04,NA,NA,NA,NA,NA,NA,NA,NA
"61","2006","2","B",0,17,29,"txt",27,NA,NA,41.002,2022-04-27,0,NA,1.1535,0.5933,0.1,0.0529,1.636,1.485,1.636,NA,2022-04-27,410.02,0.0144700258523974,0.1485,1.485,0.07425,6.92791865951255,5.91837202703025,69.1083768751053
"62","2006","2","B",0,29,32,"txt",19,NA,NA,20.755,2022-07-19,0,NA,0.56,0.353,0.078,0.053,1.56,1.265,1.56,NA,2022-07-19,207.55,0.0170079498915924,0.1265,1.265,0.06325,5.02725510409073,4.12849548516276,58.7960339943343
"63","2006","2","B",0,37,747,"csv",12,NA,NA,5.978,2022-09-12,0,NA,0.1554,0.0869,0.1109,0.061,16.64,1.195,NA,NA,2022-09-12,59.78,0.0145366343258615,0.1195,1.195,0.05975,4.48627284914256,1.33250923450689,68.7917146144994
"64","2006","3","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.169,0.042,0.012,1.1,NA,1.1,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"65","2006","3","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,0.081,0.026,0.01,0.78,NA,0.78,"Need to find areas!",2022-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"66","2006","3","B",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443,0.216,0.026,0.009,0.66,NA,0.66,NA,2022-04-04,NA,NA,NA,NA,NA,NA,NA,NA
"67","2006","3","B",0,17,30,"txt",27,NA,NA,15.059,2022-04-27,0,NA,0.4397,0.2291,0.0448,0.0249,0.881,1.0575,0.881,NA,2022-04-27,150.59,0.015213493591872,0.10575,1.0575,0.052875,3.51326269946355,4.28632905882597,65.7311217808817
"68","2006","3","B",0,29,33,"txt",19,NA,NA,21.595,2022-07-19,0,NA,0.506,0.326,0.076,0.052,1.42,1.3525,1.42,NA,2022-07-19,215.95,0.0150960870571892,0.13525,1.3525,0.067625,5.74677799653321,3.75775782760833,66.2423312883435
"69","2006","3","B",0,37,748,"csv",12,NA,NA,5.568,2022-09-12,0,NA,0.1652,0.0928,0.1444,0.0809,20.74,1.425,NA,NA,2022-09-12,55.68,0.0166666666666667,0.1425,1.425,0.07125,6.37939658219577,0.872809822725194,60
"70","2006","4","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244,0.079,0.043,0.012,1.26,NA,1.26,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"71","2007","1","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,0.235,0.044,0.017,1.98,0.7075,1.98,"Need to find areas!",2022-03-15,NA,NA,0.07075,0.7075,0.035375,1.57254383770846,NA,NA
"72","2007","1","B",0,14,37,"txt",4,NA,NA,21.548,2022-04-04,0,NA,0.619,0.327,0.064,0.028,1.9,0.895,1.9,NA,2022-04-04,215.48,0.0151754223129757,0.0895,0.895,0.04475,2.51649425534176,8.56270581753169,65.8960244648318
"73","2007","1","B",0,17,34,"txt",27,NA,NA,29.795,2022-04-27,0,NA,0.8188,0.4215,0.1101,0.0572,2.485,1.1275,2.485,NA,2022-04-27,297.95,0.0141466689041786,0.11275,1.1275,0.056375,3.99376929583011,7.46037084092687,70.6880189798339
"74","2007","1","B",0,29,40,"txt",19,NA,NA,32.303,2022-07-19,0,NA,0.866,0.512,0.117,0.071,2.44,1.1475,2.44,NA,2022-07-19,323.03,0.0158499210599635,0.11475,1.1475,0.057375,4.13671176156844,7.80885927322919,63.091796875
"75","2007","1","B",0,37,749,"csv",12,NA,NA,6.725,2022-09-12,0,NA,0.1678,0.0989,0.0929,0.0507,21.06,0.98,NA,NA,2022-09-12,67.25,0.0147063197026022,0.098,0.98,0.049,3.01718558450764,2.22889835962723,67.9979777553084
"76","2007","2","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529,0.245,0.027,0.011,0.99,0.605,0.99,"Need to find areas!",2022-03-15,NA,NA,0.0605,0.605,0.03025,1.1499014510302,NA,NA
"77","2007","2","B",0,14,38,"txt",4,NA,NA,13.072,2022-04-04,0,NA,0.37,0.194,0.051,0.022,1.27,0.6,1.27,NA,2022-04-04,130.72,0.0148408812729498,0.06,0.6,0.03,1.13097335529233,11.5581856449848,67.3814432989691
"78","2007","2","B",0,17,35,"txt",27,NA,NA,29.003,2022-04-27,0,NA,0.7689,0.3954,0.0567,0.0297,1.683,1.08,1.683,NA,2022-04-27,290.03,0.013633072440782,0.108,1.08,0.054,3.66435367114713,7.91490194529191,73.3510369246333
"79","2007","2","B",0,29,41,"txt",19,NA,NA,19.703,2022-07-19,0,NA,0.507,0.297,0.045,0.027,1.14,1.0475,1.14,NA,2022-07-19,197.03,0.0150738466223418,0.10475,1.0475,0.052375,3.44713217410549,5.71576574522061,66.3400673400673
"80","2007","2","B",0,37,750,"csv",12,NA,NA,15.278,2022-09-12,0,NA,0.3904,0.2251,0.0675,0.038,21.85,0.7775,NA,NA,2022-09-12,152.78,0.0147336038748527,0.07775,0.7775,0.038875,1.89911239404911,8.04481085367762,67.8720568636162
"81","2007","3","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.133,NA,0.009,1.09,NA,1.09,"Need to find areas!",2022-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"82","2007","3","B",0,14,39,"txt",4,NA,NA,36.239,2022-04-04,0,NA,1.023,0.54,0.199,0.091,5.73,1.3425,5.73,NA,2022-04-04,362.39,0.0149010734291785,0.13425,1.3425,0.067125,5.66211207451897,6.40026186749027,67.1092592592592
"83","2007","3","B",0,17,36,"txt",27,NA,NA,16.573,2022-04-27,0,NA,0.4045,0.21,0.0513,0.0266,1.367,0.88,1.367,NA,2022-04-27,165.73,0.012671212212635,0.088,0.88,0.044,2.43284935093994,6.81217683848652,78.9190476190476
"84","2007","3","B",0,29,42,"txt",19,NA,NA,17.857,2022-07-19,0,NA,0.472,0.275,0.064,0.039,1.32,1.1425,1.32,NA,2022-07-19,178.57,0.0154001232009856,0.11425,1.1425,0.057125,4.10074052568484,4.35457934686511,64.9345454545454
"85","2007","3","B",0,37,751,"csv",12,NA,NA,9.234,2022-09-12,0,NA,0.2632,2.3273,0.127,0.0685,29.84,1.095,NA,NA,2022-09-12,92.34,0.252035954082738,0.1095,1.095,0.05475,3.7668481314705,2.4513863255738,3.96768787865767
"86","2008","1","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.173,0.03,0.011,0.9,NA,0.9,"Need to find areas!",2022-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"87","2008","1","B",0,14,43,"txt",4,NA,NA,26.426,2022-04-04,0,NA,0.737,0.384,0.05,0.022,1.76,0.8325,1.76,NA,2022-04-04,264.26,0.0145311435707258,0.08325,0.8325,0.041625,2.17730042352449,12.1370481144826,68.8177083333333
"88","2008","2","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802,0.291,0.033,0.012,1.16,NA,1.16,"Need to find areas!",2022-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"89","2008","2","B",0,14,44,"txt",4,NA,NA,30.991,2022-04-04,0,NA,0.942,0.48,0.053,0.023,1.43,0.9725,1.43,NA,2022-04-04,309.91,0.0154883675905908,0.09725,0.9725,0.048625,2.97118088708663,10.4305329018147,64.5645833333333
"90","2008","3","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913,0.317,0.06,0.021,1.5,NA,1.5,"Need to find areas!",2022-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"91","2008","3","B",0,14,45,"txt",4,NA,NA,24.088,2022-04-04,0,NA,0.678,0.357,0.055,0.024,1.55,0.8,1.55,NA,2022-04-04,240.88,0.0148206575888409,0.08,0.8,0.04,2.01061929829747,11.9803883412424,67.4733893557423
"92","2009","1","B",0,13,46,"txt",30,NA,NA,20.239,2022-03-30,0,NA,0.502,0.195,0.049,0.019,1.28,0.865,1.28,NA,2022-03-30,202.39,0.00963486338257819,0.0865,0.865,0.04325,2.35061816323222,8.61007556079219,103.789743589744
"93","2009","1","B",0,17,52,"txt",25,NA,NA,35.268,2022-04-25,0,NA,0.974,0.547,0.118,0.064,2.05,1.335,2.05,NA,2022-04-25,352.68,0.0155098105931723,0.1335,1.335,0.06675,5.59902496704407,6.29895387278819,64.4753199268739
"94","2009","1","B",0,21,55,"txt",23,NA,NA,26.321,2022-05-23,0,NA,0.798,0.363,0.062,0.027,1.01,1.14,1.01,NA,2022-05-23,263.21,0.0137912693286729,0.114,1.14,0.057,4.0828138126053,6.44677940461954,72.5096418732782
"95","2009","1","B",0,29,58,"txt",19,NA,NA,15.585,2022-07-19,0,NA,0.398,0.257,0.06,0.041,1.13,1.1,1.13,NA,2022-07-19,155.85,0.0164902149502727,0.11,1.1,0.055,3.80132711084365,4.09988394725155,60.6420233463035
"96","2009","1","L",0,37,883,"csv",12,NA,NA,25.006,2022-09-12,0,NA,0.7625,0.3298,0.2435,0.0413,18.87,1.3,NA,NA,2022-09-12,250.06,0.0131888346796769,0.13,1.3,0.065,5.30929158456675,4.70985622124963,75.8217101273499
"97","2009","1","L",1,37,884,"csv",12,"1",NA,7.641,2022-09-12,1,NA,1.6347,0.976,0.3654,0.2256,62.69,20.312,NA,"no year 0 growth, length in mm",2022-09-12,76.41,0.12773197225494,2.0312,20.312,1.0156,1296.14995294799,0.00589515123818904,7.82889344262295
"98","2009","2","B",0,13,47,"txt",30,NA,NA,26.665,2022-03-30,0,NA,0.674,0.271,0.08,0.032,1.33,0.8225,1.33,NA,2022-03-30,266.65,0.0101631351959497,0.08225,0.8225,0.041125,2.12530706510758,12.5464223206966,98.3948339483395
"99","2009","2","B",0,17,53,"txt",25,NA,NA,32.056,2022-04-25,0,NA,0.829,0.47,0.104,0.056,1.79,1.1175,1.79,NA,2022-04-25,320.56,0.0146618417768904,0.11175,1.1175,0.055875,3.92324054075702,8.17079647984433,68.2042553191489
"100","2009","2","B",0,21,56,"txt",23,NA,NA,21.758,2022-05-23,0,NA,0.648,0.297,0.054,0.024,0.95,1.1025,0.95,NA,2022-05-23,217.58,0.0136501516683519,0.11025,1.1025,0.055125,3.81862550539248,5.69786169638117,73.2592592592593
"101","2009","2","B",0,29,59,"txt",19,NA,NA,25.335,2022-07-19,0,NA,0.639,0.415,0.079,0.054,1.19,1.245,1.19,NA,2022-07-19,253.35,0.0163805012828103,0.1245,1.245,0.06225,4.86954715288052,5.20274251477643,61.0481927710843
"102","2009","3","B",0,13,48,"txt",30,NA,NA,23.959,2022-03-30,0,NA,0.617,0.249,0.059,0.024,1.41,1.06,1.41,NA,2022-03-30,239.59,0.0103927542885763,0.106,1.06,0.053,3.52989350557349,6.78745689131136,96.2208835341365
"103","2009","3","B",0,17,54,"txt",25,NA,NA,24.25,2022-04-25,0,NA,0.661,0.378,0.093,0.051,1.86,1.2575,1.86,NA,2022-04-25,242.5,0.0155876288659794,0.12575,1.2575,0.062875,4.96782009807563,4.88141670214541,64.1534391534392
"104","2009","3","B",0,21,57,"txt",23,NA,NA,13.715,2022-05-23,0,NA,0.426,0.195,0.06,0.025,1.15,1.2725,1.15,NA,2022-05-23,137.15,0.014218009478673,0.12725,1.2725,0.063625,5.08704353927936,2.69606499219051,70.3333333333333
"105","2009","3","B",0,29,60,"txt",19,NA,NA,23.4,2022-07-19,0,NA,0.595,0.388,0.088,0.062,1.45,1.3725,1.45,NA,2022-07-19,234,0.0165811965811966,0.13725,1.3725,0.068625,5.91799479615386,3.95404200341775,60.3092783505155
"106","2009","4","B",0,13,49,"txt",30,NA,NA,33.638,2022-03-30,0,NA,0.892,0.334,0.066,0.023,1.25,1.26,1.25,NA,2022-03-30,336.38,0.00992924668529639,0.126,1.26,0.063,4.98759249683916,6.74433607423176,100.712574850299
