"","week","tree","time","plot","site","species","mpa_mean","lwc_mean","type","mean_swc_per_dry_g","mean_swc_g","lfm_y0_percent","lfm_y1_percent","lfm_both_percent","rwc_percent","lwm_g","ldm_g","area_cm2","lma_g_cm2","alas_cm2_per_mm2","leaf_count","sla_cm_g","lwa_g_cm2","date_wp"
"13",9,2331,"pd","Ridge","LL","live oak",0.496666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"14",9,2331,"md","Ridge","LL","live oak",2.612,0.710632274283269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"15",9,2331,"pd","Ridge","LL","live oak",0.496666666666667,NA,"stem",NA,NA,NA,85.5542276665671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"16",9,2343,"pd","Hobbiton","LL","blue oak",1.13333333333333,0.823007988767514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"17",9,2343,"md","Hobbiton","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",9,2344,"md","Hobbiton","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",9,2344,"pd","Hobbiton","LL","blue oak",1.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"20",9,2345,"md","Hobbiton","LL","live oak",1.63,0.734716201695368,"both",NA,NA,NA,NA,74.1575373849294,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"21",9,2345,"pd","Hobbiton","LL","live oak",0.5335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"22",9,2345,"md","Hobbiton","LL","live oak",1.63,0.734716201695368,"both",NA,NA,NA,NA,84.9480374473933,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"23",9,2345,"md","Hobbiton","LL","live oak",1.63,0.734716201695368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"24",9,2346,"md","Hobbiton","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",9,2346,"pd","Hobbiton","LL","blue oak",1.00875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"26",9,2347,"md","Hobbiton","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",9,2347,"pd","Hobbiton","LL","blue oak",1.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"28",9,2349,"md","Hobbiton","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",9,2349,"pd","Hobbiton","LL","blue oak",1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"30",9,2352,"md","MiddleEarth","LL","live oak",2.274,0.594613452368969,"both",NA,NA,NA,NA,71.4182335701277,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"31",9,2352,"pd","MiddleEarth","LL","live oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",9,2352,"md","MiddleEarth","LL","live oak",2.274,0.594613452368969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"33",9,2354,"md","MiddleEarth","LL","live oak",1.7684,0.666092448925548,"both",NA,NA,NA,NA,72.0925732079555,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"34",9,2354,"md","MiddleEarth","LL","live oak",1.7684,0.666092448925548,"both",NA,NA,NA,NA,70.7811446755812,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"35",9,2354,"pd","MiddleEarth","LL","live oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",9,2354,"md","MiddleEarth","LL","live oak",1.7684,0.666092448925548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"37",9,2366,"md",NA,NA,NA,NA,NA,"both",NA,NA,NA,NA,73.5115694600919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",9,2371,"pd","Weathertop","LL","blue oak",1.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"39",9,2371,"md","Weathertop","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",9,2372,"md","Weathertop","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",9,2372,"pd","Weathertop","LL","blue oak",1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"42",9,2373,"pd","Weathertop","LL","blue oak",1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"43",9,2373,"md","Weathertop","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",9,2376,"pd","MiddleEarth","LL","live oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",9,2376,"md","MiddleEarth","LL","live oak",1.69166666666667,0.694415536938921,"both",NA,NA,NA,NA,77.4578854153796,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"46",9,2376,"md","MiddleEarth","LL","live oak",1.69166666666667,0.694415536938921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"47",9,2377,"md","MiddleEarth","LL","live oak",2.14,0.677196164961801,"both",NA,NA,NA,NA,71.7295122505447,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"48",9,2377,"pd","MiddleEarth","LL","live oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",9,2377,"md","MiddleEarth","LL","live oak",2.14,0.677196164961801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"50",9,2380,"md","MiddleEarth","LL","live oak",1.865,0.662534710901753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"51",9,2380,"pd","MiddleEarth","LL","live oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",9,2381,"md","Weathertop","LL","blue oak",1.41,NA,"both",NA,NA,NA,NA,72.2135007849294,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-03
"53",9,2381,"md","Weathertop","LL","blue oak",1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-03
"54",9,2381,"pd","Weathertop","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",9,2382,"md","Weathertop","LL","blue oak",1.59285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-03
"56",9,2382,"pd","Weathertop","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",9,2384,"md","Weathertop","LL","blue oak",1.41666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-03
"58",9,3477,"md",NA,NA,NA,NA,NA,"both",NA,NA,NA,NA,86.777320684688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",9,3480,"md",NA,NA,NA,NA,NA,"both",NA,NA,NA,NA,58.2992915359264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,142.843385096906,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0276195173670501,2022-03-08
"61",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,142.843385096906,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0164248249237316,2022-03-08
"62",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,142.843385096906,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0297316985632743,2022-03-08
"63",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,142.843385096906,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0291434912818371,2022-03-08
"64",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,142.843385096906,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0276195173670501,2022-03-08
"65",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,142.843385096906,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0164248249237316,2022-03-08
"66",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,142.843385096906,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0297316985632743,2022-03-08
"67",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,142.843385096906,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0291434912818371,2022-03-08
"68",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,613.956310679612,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0276195173670501,2022-03-08
"69",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,613.956310679612,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0164248249237316,2022-03-08
"70",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,613.956310679612,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0297316985632743,2022-03-08
"71",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,223.499874466483,613.956310679612,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0291434912818371,2022-03-08
"72",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,613.956310679612,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0276195173670501,2022-03-08
"73",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,613.956310679612,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0164248249237316,2022-03-08
"74",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,613.956310679612,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0297316985632743,2022-03-08
"75",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"stem",NA,NA,124.26722497145,613.956310679612,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0291434912818371,2022-03-08
"76",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"leaf",NA,NA,229.321081409478,NA,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0313607671445991,2022-03-08
"77",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"leaf",NA,NA,229.321081409478,NA,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0186496781597806,2022-03-08
"78",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"leaf",NA,NA,229.321081409478,NA,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0337590575195429,2022-03-08
"79",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"leaf",NA,NA,229.321081409478,NA,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0330911735974321,2022-03-08
"80",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"stem",NA,NA,257.301740812379,99.3330111164814,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0313607671445991,2022-03-08
"81",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"stem",NA,NA,257.301740812379,99.3330111164814,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0186496781597806,2022-03-08
"82",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"stem",NA,NA,257.301740812379,99.3330111164814,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0337590575195429,2022-03-08
"83",10,2004,"pd","High","Cucu Mesa","blue oak",0.3335,2.02494061085973,"stem",NA,NA,257.301740812379,99.3330111164814,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0330911735974321,2022-03-08
"84",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,169.468146798111,NA,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0276195173670501,2022-03-08
"85",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,169.468146798111,NA,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0164248249237316,2022-03-08
"86",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,169.468146798111,NA,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0297316985632743,2022-03-08
"87",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,169.468146798111,NA,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0291434912818371,2022-03-08
"88",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,181.342569684974,NA,NA,NA,0.205,0.065,4.197,0.0154872527996188,NA,9,64.5692307692308,0.0276195173670501,2022-03-08
"89",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,181.342569684974,NA,NA,NA,0.238,0.045,4.886,0.00920998772001637,NA,9,108.577777777778,0.0164248249237316,2022-03-08
"90",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,181.342569684974,NA,NA,NA,0.349,0.112,6.718,0.0166716284608514,NA,11,59.9821428571429,0.0297316985632743,2022-03-08
"91",10,2004,"md","High","Cucu Mesa","blue oak",1.65333333333333,1.78337099060783,"leaf",NA,NA,181.342569684974,NA,NA,NA,0.274,0.083,5.079,0.0163417995668439,NA,8,61.1927710843373,0.0291434912818371,2022-03-08
"92",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"stem",NA,NA,243.965811965812,69.5169442373022,NA,NA,0.69,0.21,12.12,0.0173267326732673,NA,8,57.7142857142857,0.035715621093903,2022-03-08
"93",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"stem",NA,NA,243.965811965812,69.5169442373022,NA,NA,1.385,0.435,32.131,0.0135383274719119,NA,7,73.864367816092,0.0279065755413887,2022-03-08
"94",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"stem",NA,NA,243.965811965812,69.5169442373022,NA,NA,2.067,0.689,53.212,0.0129482071713147,NA,10,77.2307692307692,0.0266901596450168,2022-03-08
"95",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"stem",NA,NA,243.965811965812,69.5169442373022,NA,NA,0.828,0.251,17.816,0.0140884598114055,NA,7,70.9800796812749,0.0290405641911456,2022-03-08
"96",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"leaf",NA,NA,216.456239493544,NA,NA,NA,0.69,0.21,12.12,0.0173267326732673,NA,8,57.7142857142857,0.035715621093903,2022-03-08
"97",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"leaf",NA,NA,216.456239493544,NA,NA,NA,1.385,0.435,32.131,0.0135383274719119,NA,7,73.864367816092,0.0279065755413887,2022-03-08
"98",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"leaf",NA,NA,216.456239493544,NA,NA,NA,2.067,0.689,53.212,0.0129482071713147,NA,10,77.2307692307692,0.0266901596450168,2022-03-08
"99",10,2005,"pd","High","Cucu Mesa","blue oak",1.045,2.06130156027669,"leaf",NA,NA,216.456239493544,NA,NA,NA,0.828,0.251,17.816,0.0140884598114055,NA,7,70.9800796812749,0.0290405641911456,2022-03-08
"100",10,2005,"md","High","Cucu Mesa","blue oak",1.46666666666667,1.62323826973427,NA,NA,NA,NA,NA,NA,NA,0.69,0.21,12.12,0.0173267326732673,NA,8,57.7142857142857,0.0281254155647026,2022-03-08
"101",10,2005,"md","High","Cucu Mesa","blue oak",1.46666666666667,1.62323826973427,NA,NA,NA,NA,NA,NA,NA,1.385,0.435,32.131,0.0135383274719119,NA,7,73.864367816092,0.0219759312606022,2022-03-08
"102",10,2005,"md","High","Cucu Mesa","blue oak",1.46666666666667,1.62323826973427,NA,NA,NA,NA,NA,NA,NA,2.067,0.689,53.212,0.0129482071713147,NA,10,77.2307692307692,0.0210180254049257,2022-03-08
"103",10,2005,"md","High","Cucu Mesa","blue oak",1.46666666666667,1.62323826973427,NA,NA,NA,NA,NA,NA,NA,0.828,0.251,17.816,0.0140884598114055,NA,7,70.9800796812749,0.0228689271274866,2022-03-08
"104",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"leaf",NA,NA,160.109994776784,NA,NA,NA,0.244,0.079,4.761,0.0165931526990128,NA,7,60.2658227848101,0.0280390529122479,2022-03-08
"105",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"leaf",NA,NA,160.109994776784,NA,NA,NA,0.434,0.137,8.572,0.0159822678488101,NA,8,62.5693430656934,0.0270067817731326,2022-03-08
"106",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"leaf",NA,NA,160.109994776784,NA,NA,NA,0.26,0.08,4.986,0.0160449257922182,NA,7,62.325,0.0271126609524821,2022-03-08
"107",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"leaf",NA,NA,160.109994776784,NA,NA,NA,0.55,0.169,10.356,0.0163190421011974,NA,7,61.2781065088757,0.0275758617577176,2022-03-08
"108",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"stem",NA,NA,297.420965058236,89.587786259542,NA,NA,0.244,0.079,4.761,0.0165931526990128,NA,7,60.2658227848101,0.0280390529122479,2022-03-08
"109",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"stem",NA,NA,297.420965058236,89.587786259542,NA,NA,0.434,0.137,8.572,0.0159822678488101,NA,8,62.5693430656934,0.0270067817731326,2022-03-08
"110",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"stem",NA,NA,297.420965058236,89.587786259542,NA,NA,0.26,0.08,4.986,0.0160449257922182,NA,7,62.325,0.0271126609524821,2022-03-08
"111",10,2006,"md","High","Cucu Mesa","blue oak",1.40666666666667,1.68979659386345,"stem",NA,NA,297.420965058236,89.587786259542,NA,NA,0.55,0.169,10.356,0.0163190421011974,NA,7,61.2781065088757,0.0275758617577176,2022-03-08
"112",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,200.537313432836,NA,NA,NA,0.244,0.079,4.761,0.0165931526990128,NA,7,60.2658227848101,0.0340167044124465,2022-03-08
"113",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,200.537313432836,NA,NA,NA,0.434,0.137,8.572,0.0159822678488101,NA,8,62.5693430656934,0.0327643631752913,2022-03-08
"114",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,200.537313432836,NA,NA,NA,0.26,0.08,4.986,0.0160449257922182,NA,7,62.325,0.032892814758825,2022-03-08
"115",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,200.537313432836,NA,NA,NA,0.55,0.169,10.356,0.0163190421011974,NA,7,61.2781065088757,0.0334547654397062,2022-03-08
"116",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,221.846015757455,NA,NA,NA,0.244,0.079,4.761,0.0165931526990128,NA,7,60.2658227848101,0.0340167044124465,2022-03-08
"117",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,221.846015757455,NA,NA,NA,0.434,0.137,8.572,0.0159822678488101,NA,8,62.5693430656934,0.0327643631752913,2022-03-08
"118",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,221.846015757455,NA,NA,NA,0.26,0.08,4.986,0.0160449257922182,NA,7,62.325,0.032892814758825,2022-03-08
"119",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,"stem",NA,NA,221.846015757455,NA,NA,NA,0.55,0.169,10.356,0.0163190421011974,NA,7,61.2781065088757,0.0334547654397062,2022-03-08
"120",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,NA,NA,NA,NA,NA,NA,NA,0.244,0.079,4.761,0.0165931526990128,NA,7,60.2658227848101,0.0340167044124465,2022-03-08
"121",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,NA,NA,NA,NA,NA,NA,NA,0.434,0.137,8.572,0.0159822678488101,NA,8,62.5693430656934,0.0327643631752913,2022-03-08
"122",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,NA,NA,NA,NA,NA,NA,NA,0.26,0.08,4.986,0.0160449257922182,NA,7,62.325,0.032892814758825,2022-03-08
"123",10,2006,"pd","High","Cucu Mesa","blue oak",0.9475,2.05004467984377,NA,NA,NA,NA,NA,NA,NA,0.55,0.169,10.356,0.0163190421011974,NA,7,61.2781065088757,0.0334547654397062,2022-03-08
"124",10,2007,"md","High","Cucu Mesa","blue oak",1.77,1.38916526753778,"leaf",NA,NA,146.844162051224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"125",10,2007,"md","High","Cucu Mesa","blue oak",1.77,1.38916526753778,"leaf",NA,NA,123.799791070536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"126",10,2007,"pd","High","Cucu Mesa","blue oak",0.815,1.57849597787833,"leaf",NA,NA,181.348536615486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"127",10,2007,"md","High","Cucu Mesa","blue oak",1.77,1.38916526753778,"stem",NA,NA,169.370303187354,111.286061502695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"128",10,2007,"md","High","Cucu Mesa","blue oak",1.77,1.38916526753778,"stem",NA,NA,192.588303416329,111.286061502695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"129",10,2007,"pd","High","Cucu Mesa","blue oak",0.815,1.57849597787833,"stem",NA,NA,361.406377759607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"130",10,2020,"md","Chamise","Chamise","blue oak",2.17333333333333,1.12870514147688,"leaf",NA,NA,130.653336595938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"131",10,2020,"pd","Chamise","Chamise","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",10,2020,"md","Chamise","Chamise","blue oak",2.17333333333333,1.12870514147688,"stem",NA,NA,289.714993804213,110.688989053445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
"133",10,2021,"md","Chamise","Chamise","blue oak",1.87333333333333,1.11980290467763,"leaf",NA,NA,122.167042889391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-08
