"","site","plot","plot_number","species","tag","mpa","date","week","tree","time","rep"
"34","LL","Hobbiton","AT002","live oak","2345.0",3.4,2022-08-18,33,2345,"md",1
"35","LL","Hobbiton","AT002","live oak","2345.0",3.1,2022-08-18,33,2345,"md",2
"36","LL","Hobbiton","AT002","live oak","2345.0",3.7,2022-08-18,33,2345,"md",3
"37","LL","Hobbiton","AT002","live oak","2345.0",3.6,2022-08-18,33,2345,"md",4
"38","LL","Hobbiton","AT002","blue oak","2346.0",4.8,2022-08-18,33,2346,"md",1
"39","LL","Hobbiton","AT002","blue oak","2346.0",4.6,2022-08-18,33,2346,"md",2
"40","LL","Hobbiton","AT002","blue oak","2347.0",4.5,2022-08-18,33,2347,"md",1
"41","LL","Hobbiton","AT002","blue oak","2347.0",4.3,2022-08-18,33,2347,"md",2
"42","LL","Hobbiton","AT002","blue oak","2347.0",3.8,2022-08-18,33,2347,"md",3
"43","LL","Hobbiton","AT002","blue oak","2347.0",4.2,2022-08-18,33,2347,"md",4
"44","LL","Hobbiton","near AT002","blue oak","2375.0",4.6,2022-08-18,33,2375,"md",1
"45","LL","Hobbiton","near AT002","blue oak","2375.0",4.5,2022-08-18,33,2375,"md",2
"46","LL","Hobbiton","near AT002","blue oak","2375.0",4.4,2022-08-18,33,2375,"md",3
"47","LL","Ridge","AT003","live oak","2331.0",3.5,2022-08-18,33,2331,"md",1
"48","LL","Ridge","AT003","live oak","2331.0",3.6,2022-08-18,33,2331,"md",2
"49","LL","Ridge","AT003","live oak","2331.0",3.8,2022-08-18,33,2331,"md",3
"50","LL","Hobbiton","AT004","live oak","2301.0",4.25,2022-08-18,33,2301,"md",1
"51","LL","Hobbiton","AT004","live oak","2301.0",4.4,2022-08-18,33,2301,"md",2
"52","LL","Hobbiton","AT004","live oak","2301.0",4.5,2022-08-18,33,2301,"md",3
"53","LL","Weathertop","B1","blue oak","2370.0",4.5,2022-08-18,33,2370,"md",1
"54","LL","Weathertop","B1","blue oak","2370.0",4.7,2022-08-18,33,2370,"md",2
"55","LL","Weathertop","B1","blue oak","2370.0",4.1,2022-08-18,33,2370,"md",3
"56","LL","Weathertop","B2","blue oak","2371.0",3.55,2022-08-18,33,2371,"md",1
"57","LL","Weathertop","B2","blue oak","2371.0",3.4,2022-08-18,33,2371,"md",2
"58","LL","Weathertop","B2","blue oak","2371.0",3.4,2022-08-18,33,2371,"md",3
"59","LL","Weathertop","B3","blue oak","2372.0",3.7,2022-08-18,33,2372,"md",1
"60","LL","Weathertop","B3","blue oak","2372.0",4.1,2022-08-18,33,2372,"md",2
"61","LL","Weathertop","B3","blue oak","2372.0",4,2022-08-18,33,2372,"md",3
"62","LL","Weathertop","B3","blue oak","2372.0",3.6,2022-08-18,33,2372,"md",4
"63","LL","Weathertop","B3","blue oak","2372.0",4.2,2022-08-18,33,2372,"md",5
"64","LL","Weathertop","ExtraBlueHilltop","blue oak","2381.0",4.8,2022-08-18,33,2381,"md",1
"65","LL","Weathertop","ExtraBlueHilltop","blue oak","2381.0",4.6,2022-08-18,33,2381,"md",2
"66","LL","Weathertop","ExtraBlueHilltop","blue oak","2381.0",4.5,2022-08-18,33,2381,"md",3
"67","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",3.8,2022-08-18,33,2382,"md",1
"68","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",3.9,2022-08-18,33,2382,"md",2
"69","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",4.3,2022-08-18,33,2382,"md",3
"70","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",3.9,2022-08-18,33,2382,"md",4
"71","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4,2022-08-18,33,2383,"md",1
"72","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4.5,2022-08-18,33,2383,"md",2
"73","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4.2,2022-08-18,33,2383,"md",3
"74","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4.1,2022-08-18,33,2383,"md",4
"75","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",5.3,2022-08-18,33,2384,"md",1
"76","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",5,2022-08-18,33,2384,"md",2
"77","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",4.3,2022-08-18,33,2384,"md",3
"78","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",4.8,2022-08-18,33,2384,"md",4
"79","Cucu Mesa","High","Cucu Mesa","blue oak","2005.0",4.4,2022-08-18,33,2005,"md",1
"80","Cucu Mesa","High","Cucu Mesa","blue oak","2005.0",4.4,2022-08-18,33,2005,"md",2
"81","Cucu Mesa","High","Cucu Mesa","blue oak","2005.0",4.2,2022-08-18,33,2005,"md",3
"82","Cucu Mesa","High","Cucu Mesa","blue oak","2006.0",4.3,2022-08-18,33,2006,"md",1
"83","Cucu Mesa","High","Cucu Mesa","blue oak","2006.0",4.7,2022-08-18,33,2006,"md",2
"84","Cucu Mesa","High","Cucu Mesa","blue oak","2006.0",4.4,2022-08-18,33,2006,"md",3
"85","Cucu Mesa","High","Cucu Mesa","blue oak","2007.0",4,2022-08-18,33,2007,"md",1
"86","Cucu Mesa","High","Cucu Mesa","blue oak","2007.0",4.5,2022-08-18,33,2007,"md",2
"87","Cucu Mesa","High","Cucu Mesa","blue oak","2007.0",4.2,2022-08-18,33,2007,"md",3
"88","PineNeedle","Low","low Pine Needle","live oak","2092.0",2.8,2022-08-18,33,2092,"md",1
"89","PineNeedle","Low","low Pine Needle","live oak","2092.0",2.9,2022-08-18,33,2092,"md",2
"90","PineNeedle","Low","low Pine Needle","live oak","2092.0",3.6,2022-08-18,33,2092,"md",3
"91","PineNeedle","Low","low Pine Needle","live oak","2092.0",3.5,2022-08-18,33,2092,"md",4
"92","PineNeedle","Low","low Pine Needle","live oak","2092.0",3.5,2022-08-18,33,2092,"md",5
"93","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.95,2022-08-18,33,2091,"md",1
"94","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.99,2022-08-18,33,2091,"md",2
"95","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.5,2022-08-18,33,2091,"md",3
"96","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.85,2022-08-18,33,2091,"md",4
"97","PineNeedle","Low","low Pine Needle","blue oak","2090.0",3.5,2022-08-18,33,2090,"md",1
"98","PineNeedle","Low","low Pine Needle","blue oak","2090.0",4.7,2022-08-18,33,2090,"md",2
"99","PineNeedle","Low","low Pine Needle","blue oak","2090.0",4,2022-08-18,33,2090,"md",3
"100","PineNeedle","Low","low Pine Needle","blue oak","2090.0",3.8,2022-08-18,33,2090,"md",4
"101","PineNeedle","Low","low Pine Needle","live oak","2089.0",2.5,2022-08-18,33,2089,"md",1
"102","PineNeedle","Low","low Pine Needle","live oak","2089.0",2.4,2022-08-18,33,2089,"md",2
"103","PineNeedle","Low","low Pine Needle","live oak","2089.0",2.4,2022-08-18,33,2089,"md",3
"104","PineNeedle","Low","low Pine Needle","blue oak","2088.0",4,2022-08-18,33,2088,"md",1
"105","PineNeedle","Low","low Pine Needle","blue oak","2088.0",3.4,2022-08-18,33,2088,"md",2
"106","PineNeedle","Low","low Pine Needle","blue oak","2088.0",3.2,2022-08-18,33,2088,"md",3
"107","PineNeedle","Low","low Pine Needle","blue oak","2087.0",3.5,2022-08-18,33,2087,"md",1
"108","PineNeedle","Low","low Pine Needle","blue oak","2087.0",3.8,2022-08-18,33,2087,"md",2
"109","PineNeedle","Low","low Pine Needle","blue oak","2087.0",3.6,2022-08-18,33,2087,"md",3
"110","PineNeedle","Low","low Pine Needle","blue oak","2086.0",4.2,2022-08-18,33,2086,"md",1
"111","PineNeedle","Low","low Pine Needle","blue oak","2086.0",4.2,2022-08-18,33,2086,"md",2
"112","PineNeedle","Low","low Pine Needle","blue oak","2086.0",4,2022-08-18,33,2086,"md",3
"113","PineNeedle","Low","low Pine Needle","blue oak","2085.0",4.1,2022-08-18,33,2085,"md",1
"114","PineNeedle","Low","low Pine Needle","blue oak","2085.0",3.9,2022-08-18,33,2085,"md",2
"115","PineNeedle","Low","low Pine Needle","blue oak","2085.0",4.3,2022-08-18,33,2085,"md",3
"116","Chamise","Chamise","Chamise","blue oak","2020.0",3.85,2022-08-18,33,2020,"md",1
"117","Chamise","Chamise","Chamise","blue oak","2020.0",4,2022-08-18,33,2020,"md",2
"118","Chamise","Chamise","Chamise","blue oak","2020.0",3.75,2022-08-18,33,2020,"md",3
"119","Chamise","Chamise","Chamise","blue oak","2021.0",3.7,2022-08-18,33,2021,"md",1
"120","Chamise","Chamise","Chamise","blue oak","2021.0",4.3,2022-08-18,33,2021,"md",2
"121","Chamise","Chamise","Chamise","blue oak","2021.0",4.6,2022-08-18,33,2021,"md",3
"122","Chamise","Chamise","Chamise","blue oak","2021.0",4.1,2022-08-18,33,2021,"md",4
"123","Chamise","Chamise","Chamise","live oak","2022.0",3.7,2022-08-18,33,2022,"md",1
"124","Chamise","Chamise","Chamise","live oak","2022.0",3.76,2022-08-18,33,2022,"md",2
"125","Chamise","Chamise","Chamise","live oak","2022.0",3.7,2022-08-18,33,2022,"md",3
"126","Chamise","Chamise","Chamise","live oak","2023.0",3.5,2022-08-18,33,2023,"md",1
"127","Chamise","Chamise","Chamise","live oak","2023.0",3.6,2022-08-18,33,2023,"md",2
"128","Chamise","Chamise","Chamise","live oak","2023.0",3.3,2022-08-18,33,2023,"md",3
"129","Chamise","Chamise","Chamise","blue oak","2024.0",4.3,2022-08-18,33,2024,"md",1
"130","Chamise","Chamise","Chamise","blue oak","2024.0",3.9,2022-08-18,33,2024,"md",2
"131","Chamise","Chamise","Chamise","blue oak","2024.0",4.1,2022-08-18,33,2024,"md",3
"132","Chamise","Chamise","Chamise","blue oak","2025.0",4.2,2022-08-18,33,2025,"md",1
"133","Chamise","Chamise","Chamise","blue oak","2025.0",4,2022-08-18,33,2025,"md",2
"134","Chamise","Chamise","Chamise","blue oak","2025.0",4,2022-08-18,33,2025,"md",3
"135","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2026.0",4.9,2022-08-18,33,2026,"md",1
"136","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2026.0",4.4,2022-08-18,33,2026,"md",2
"137","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2026.0",4.3,2022-08-18,33,2026,"md",3
"138","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2028.0",5.5,2022-08-18,33,2028,"md",1
"139","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2028.0",4.5,2022-08-18,33,2028,"md",2
"140","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2028.0",4.5,2022-08-18,33,2028,"md",3
"141","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2028.0",4.5,2022-08-18,33,2028,"md",4
"142","Chamise","Shedd","Chamise (Shedd soil)","live oak","2029.0",3.7,2022-08-18,33,2029,"md",1
"143","Chamise","Shedd","Chamise (Shedd soil)","live oak","2029.0",3.3,2022-08-18,33,2029,"md",2
"144","Chamise","Shedd","Chamise (Shedd soil)","live oak","2029.0",3.2,2022-08-18,33,2029,"md",3
"145","Chamise","Shedd","Chamise (Shedd soil)","live oak","2029.0",3,2022-08-18,33,2029,"md",4
"146","Chamise","Shedd","Chamise (Shedd soil)","live oak","2030.0",3.1,2022-08-18,33,2030,"md",1
"147","Chamise","Shedd","Chamise (Shedd soil)","live oak","2030.0",3.6,2022-08-18,33,2030,"md",2
"148","Chamise","Shedd","Chamise (Shedd soil)","live oak","2030.0",3.1,2022-08-18,33,2030,"md",3
"149","Chamise","Shedd","Chamise (Shedd soil)","live oak","2030.0",3.65,2022-08-18,33,2030,"md",4
"150","Chamise","Shedd","Chamise (Shedd soil)","live oak","2030.0",3.5,2022-08-18,33,2030,"md",5
"151","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2031.0",3.9,2022-08-18,33,2031,"md",1
"152","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2031.0",4.2,2022-08-18,33,2031,"md",2
"153","Chamise","Shedd","Chamise (Shedd soil)","blue oak","2031.0",4,2022-08-18,33,2031,"md",3
"154","Cucu Mesa","Low","Lower Cucu","blue oak","2012.0",3.8,2022-08-18,33,2012,"md",1
"155","Cucu Mesa","Low","Lower Cucu","blue oak","2012.0",3.6,2022-08-18,33,2012,"md",2
"156","Cucu Mesa","Low","Lower Cucu","blue oak","2012.0",3.65,2022-08-18,33,2012,"md",3
"157","Cucu Mesa","Low","Lower Cucu","blue oak","2013.0",3.7,2022-08-18,33,2013,"md",1
"158","Cucu Mesa","Low","Lower Cucu","blue oak","2013.0",4,2022-08-18,33,2013,"md",2
"159","Cucu Mesa","Low","Lower Cucu","blue oak","2013.0",4.2,2022-08-18,33,2013,"md",3
"160","Cucu Mesa","Low","Lower Cucu","blue oak","2015.0",4.6,2022-08-18,33,2015,"md",1
"161","Cucu Mesa","Low","Lower Cucu","blue oak","2015.0",4.9,2022-08-18,33,2015,"md",2
"162","Cucu Mesa","Low","Lower Cucu","blue oak","2015.0",4.6,2022-08-18,33,2015,"md",3
"163","Cucu Mesa","Low","Lower Cucu","blue oak","1478.0",4.3,2022-08-18,33,1478,"md",1
"164","Cucu Mesa","Low","Lower Cucu","blue oak","1478.0",4.1,2022-08-18,33,1478,"md",2
"165","Cucu Mesa","Low","Lower Cucu","blue oak","1478.0",4,2022-08-18,33,1478,"md",3
"166","LL","Weathertop",NA,"blue oak","2011.0",5.2,2022-08-18,33,2011,"md",1
"167","LL","Weathertop",NA,"blue oak","2011.0",4.5,2022-08-18,33,2011,"md",2
"168","LL","Weathertop",NA,"blue oak","2011.0",4.8,2022-08-18,33,2011,"md",3
"169","LL","Weathertop",NA,"blue oak","2011.0",5,2022-08-18,33,2011,"md",4
"170","LL","Weathertop","RT","blue oak","2010.0",4,2022-08-18,33,2010,"md",1
"171","LL","Weathertop","RT","blue oak","2010.0",3,2022-08-18,33,2010,"md",2
"172","LL","Weathertop","RT","blue oak","2010.0",4.2,2022-08-18,33,2010,"md",3
"173","LL","Hobbiton","TS","blue oak","2009.0",3.9,2022-08-18,33,2009,"md",1
"174","LL","Hobbiton","TS","blue oak","2009.0",3.9,2022-08-18,33,2009,"md",2
"175","LL","Hobbiton","TS","blue oak","2009.0",4,2022-08-18,33,2009,"md",3
"176","LL","MiddleEarth","AT001","live oak","2352.0",5.6,2022-07-19,29,2352,"md",1
"177","LL","MiddleEarth","AT001","live oak","2352.0",5.7,2022-07-19,29,2352,"md",2
"178","LL","MiddleEarth","AT001","live oak","2352.0",5.5,2022-07-19,29,2352,"md",3
"179","LL","MiddleEarth","AT001","live oak","2354.0",4.7,2022-07-19,29,2354,"md",1
"180","LL","MiddleEarth","AT001","live oak","2354.0",4.2,2022-07-19,29,2354,"md",2
"181","LL","MiddleEarth","AT001","live oak","2354.0",3.2,2022-07-19,29,2354,"md",3
"182","LL","MiddleEarth","AT001","live oak","2354.0",4.3,2022-07-19,29,2354,"md",4
"183","LL","MiddleEarth","AT001","blue oak","2360.0",4.5,2022-07-19,29,2360,"md",1
"184","LL","MiddleEarth","AT001","blue oak","2360.0",4.6,2022-07-19,29,2360,"md",2
"185","LL","MiddleEarth","AT001","blue oak","2360.0",4.6,2022-07-19,29,2360,"md",3
"186","LL","MiddleEarth","AT001","blue oak","2365.0",4.1,2022-07-19,29,2365,"md",1
"187","LL","MiddleEarth","AT001","blue oak","2365.0",3.6,2022-07-19,29,2365,"md",2
"188","LL","MiddleEarth","AT001","blue oak","2365.0",4.1,2022-07-19,29,2365,"md",3
"189","LL","MiddleEarth","AT001","blue oak","2367.0",3.8,2022-07-19,29,2367,"md",1
"190","LL","MiddleEarth","AT001","blue oak","2367.0",3.85,2022-07-19,29,2367,"md",2
"191","LL","MiddleEarth","AT001","blue oak","2367.0",4,2022-07-19,29,2367,"md",3
"192","LL","MiddleEarth","near AT001","live oak","2376.0",5.1,2022-07-19,29,2376,"md",1
"193","LL","MiddleEarth","near AT001","live oak","2376.0",4.8,2022-07-19,29,2376,"md",2
"194","LL","MiddleEarth","near AT001","live oak","2376.0",5.1,2022-07-19,29,2376,"md",3
"195","LL","MiddleEarth","near AT001","blue oak","2378.0",3.7,2022-07-19,29,2378,"md",1
"196","LL","MiddleEarth","near AT001","blue oak","2378.0",3.75,2022-07-19,29,2378,"md",2
"197","LL","MiddleEarth","near AT001","blue oak","2378.0",3.8,2022-07-19,29,2378,"md",3
"198","LL","MiddleEarth","near AT001","blue oak","2378.0",3.7,2022-07-19,29,2378,"md",4
"199","LL","MiddleEarth","near AT001","blue oak","2379.0",4.6,2022-07-19,29,2379,"md",1
"200","LL","MiddleEarth","near AT001","blue oak","2379.0",4.6,2022-07-19,29,2379,"md",2
"201","LL","MiddleEarth","near AT001","blue oak","2379.0",4.7,2022-07-19,29,2379,"md",3
"202","LL","MiddleEarth","near AT001","live oak","2380.0",4.2,2022-07-19,29,2380,"md",1
"203","LL","MiddleEarth","near AT001","live oak","2380.0",3.8,2022-07-19,29,2380,"md",2
"204","LL","MiddleEarth","near AT001","live oak","2380.0",4.3,2022-07-19,29,2380,"md",3
"205","LL","Hobbiton","AT002","blue oak","2343.0",3.1,2022-07-19,29,2343,"md",1
"206","LL","Hobbiton","AT002","blue oak","2343.0",3.1,2022-07-19,29,2343,"md",2
"207","LL","Hobbiton","AT002","blue oak","2343.0",3.2,2022-07-19,29,2343,"md",3
"208","LL","Hobbiton","AT002","blue oak","2343.0",3.3,2022-07-19,29,2343,"md",4
"209","LL","Hobbiton","AT002","live oak","2345.0",3.4,2022-07-19,29,2345,"md",1
"210","LL","Hobbiton","AT002","live oak","2345.0",3.1,2022-07-19,29,2345,"md",2
"211","LL","Hobbiton","AT002","live oak","2345.0",3.7,2022-07-19,29,2345,"md",3
"212","LL","Hobbiton","AT002","live oak","2345.0",3.6,2022-07-19,29,2345,"md",4
"213","LL","Hobbiton","AT002","blue oak","2346.0",4.8,2022-07-19,29,2346,"md",1
"214","LL","Hobbiton","AT002","blue oak","2346.0",4.6,2022-07-19,29,2346,"md",2
"215","LL","Hobbiton","AT002","blue oak","2347.0",4.5,2022-07-19,29,2347,"md",1
"216","LL","Hobbiton","AT002","blue oak","2347.0",4.3,2022-07-19,29,2347,"md",2
"217","LL","Hobbiton","AT002","blue oak","2347.0",3.8,2022-07-19,29,2347,"md",3
"218","LL","Hobbiton","AT002","blue oak","2347.0",4.2,2022-07-19,29,2347,"md",4
"219","LL","Hobbiton","near AT002","blue oak","2375.0",4.6,2022-07-19,29,2375,"md",1
"220","LL","Hobbiton","near AT002","blue oak","2375.0",4.5,2022-07-19,29,2375,"md",2
"221","LL","Hobbiton","near AT002","blue oak","2375.0",4.4,2022-07-19,29,2375,"md",3
"222","LL","Ridge","AT003","live oak","2331.0",3.5,2022-07-19,29,2331,"md",1
"223","LL","Ridge","AT003","live oak","2331.0",3.6,2022-07-19,29,2331,"md",2
"224","LL","Ridge","AT003","live oak","2331.0",3.8,2022-07-19,29,2331,"md",3
"225","LL","Hobbiton","AT004","live oak","2301.0",4.25,2022-07-19,29,2301,"md",1
"226","LL","Hobbiton","AT004","live oak","2301.0",4.4,2022-07-19,29,2301,"md",2
"227","LL","Hobbiton","AT004","live oak","2301.0",4.5,2022-07-19,29,2301,"md",3
"228","LL","Weathertop","B1","blue oak","2370.0",4.5,2022-07-19,29,2370,"md",1
"229","LL","Weathertop","B1","blue oak","2370.0",4.7,2022-07-19,29,2370,"md",2
"230","LL","Weathertop","B1","blue oak","2370.0",4.1,2022-07-19,29,2370,"md",3
"231","LL","Weathertop","B2","blue oak","2371.0",3.55,2022-07-19,29,2371,"md",1
"232","LL","Weathertop","B2","blue oak","2371.0",3.4,2022-07-19,29,2371,"md",2
"233","LL","Weathertop","B2","blue oak","2371.0",3.4,2022-07-19,29,2371,"md",3
"234","LL","Weathertop","B3","blue oak","2372.0",3.7,2022-07-19,29,2372,"md",1
"235","LL","Weathertop","B3","blue oak","2372.0",4.1,2022-07-19,29,2372,"md",2
"236","LL","Weathertop","B3","blue oak","2372.0",4,2022-07-19,29,2372,"md",3
"237","LL","Weathertop","B3","blue oak","2372.0",3.6,2022-07-19,29,2372,"md",4
"238","LL","Weathertop","B3","blue oak","2372.0",4.2,2022-07-19,29,2372,"md",5
"239","LL","Weathertop","ExtraBlueHilltop","blue oak","2381.0",4.8,2022-07-19,29,2381,"md",1
"240","LL","Weathertop","ExtraBlueHilltop","blue oak","2381.0",4.6,2022-07-19,29,2381,"md",2
"241","LL","Weathertop","ExtraBlueHilltop","blue oak","2381.0",4.5,2022-07-19,29,2381,"md",3
"242","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",3.8,2022-07-19,29,2382,"md",1
"243","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",3.9,2022-07-19,29,2382,"md",2
"244","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",4.3,2022-07-19,29,2382,"md",3
"245","LL","Weathertop","ExtraBlueHilltop","blue oak","2382.0",3.9,2022-07-19,29,2382,"md",4
"246","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4,2022-07-19,29,2383,"md",1
"247","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4.5,2022-07-19,29,2383,"md",2
"248","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4.2,2022-07-19,29,2383,"md",3
"249","LL","Weathertop","ExtraBlueHilltop","blue oak","2383.0",4.1,2022-07-19,29,2383,"md",4
"250","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",5.3,2022-07-19,29,2384,"md",1
"251","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",5,2022-07-19,29,2384,"md",2
"252","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",4.3,2022-07-19,29,2384,"md",3
"253","LL","Weathertop","ExtraBlueHilltop","blue oak","2384.0",4.8,2022-07-19,29,2384,"md",4
"254","Cucu Mesa","High","Cucu Mesa","blue oak","2005.0",4.4,2022-07-19,29,2005,"md",1
"255","Cucu Mesa","High","Cucu Mesa","blue oak","2005.0",4.4,2022-07-19,29,2005,"md",2
"256","Cucu Mesa","High","Cucu Mesa","blue oak","2005.0",4.2,2022-07-19,29,2005,"md",3
"257","Cucu Mesa","High","Cucu Mesa","blue oak","2006.0",4.3,2022-07-19,29,2006,"md",1
"258","Cucu Mesa","High","Cucu Mesa","blue oak","2006.0",4.7,2022-07-19,29,2006,"md",2
"259","Cucu Mesa","High","Cucu Mesa","blue oak","2006.0",4.4,2022-07-19,29,2006,"md",3
"260","Cucu Mesa","High","Cucu Mesa","blue oak","2007.0",4,2022-07-19,29,2007,"md",1
"261","Cucu Mesa","High","Cucu Mesa","blue oak","2007.0",4.5,2022-07-19,29,2007,"md",2
"262","Cucu Mesa","High","Cucu Mesa","blue oak","2007.0",4.2,2022-07-19,29,2007,"md",3
"263","PineNeedle","Low","low Pine Needle","live oak","2092.0",2.8,2022-07-19,29,2092,"md",1
"264","PineNeedle","Low","low Pine Needle","live oak","2092.0",2.9,2022-07-19,29,2092,"md",2
"265","PineNeedle","Low","low Pine Needle","live oak","2092.0",3.6,2022-07-19,29,2092,"md",3
"266","PineNeedle","Low","low Pine Needle","live oak","2092.0",3.5,2022-07-19,29,2092,"md",4
"267","PineNeedle","Low","low Pine Needle","live oak","2092.0",3.5,2022-07-19,29,2092,"md",5
"268","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.95,2022-07-19,29,2091,"md",1
"269","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.99,2022-07-19,29,2091,"md",2
"270","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.5,2022-07-19,29,2091,"md",3
"271","PineNeedle","Low","low Pine Needle","live oak","2091.0",2.85,2022-07-19,29,2091,"md",4
"272","PineNeedle","Low","low Pine Needle","blue oak","2090.0",3.5,2022-07-19,29,2090,"md",1
"273","PineNeedle","Low","low Pine Needle","blue oak","2090.0",4.7,2022-07-19,29,2090,"md",2
"274","PineNeedle","Low","low Pine Needle","blue oak","2090.0",4,2022-07-19,29,2090,"md",3
"275","PineNeedle","Low","low Pine Needle","blue oak","2090.0",3.8,2022-07-19,29,2090,"md",4
"276","PineNeedle","Low","low Pine Needle","live oak","2089.0",2.5,2022-07-19,29,2089,"md",1
