"","branch","year","file","date_new","week","day","tree_id","notes_leaf_area","area_cm2","species","date_leaf_area","year_leaf_area","sub_branch"
"24","3","0","txt",2022-04-04,14,4,"2005",NA,35.35,"B",2022-04-04,"0",NA
"25","1","0","txt",2022-07-19,29,19,"2005",NA,62.886,"B",2022-07-19,"0",NA
"26","2","0","txt",2022-07-19,29,19,"2005",NA,59.853,"B",2022-07-19,"0",NA
"27","3","0","txt",2022-07-19,29,19,"2005",NA,37.19,"B",2022-07-19,"0",NA
"28","1","0","txt",2022-04-27,17,27,"2006",NA,50.411,"B",2022-04-27,"0",NA
"29","2","0","txt",2022-04-27,17,27,"2006",NA,41.002,"B",2022-04-27,"0",NA
"30","3","0","txt",2022-04-27,17,27,"2006",NA,15.059,"B",2022-04-27,"0",NA
"31","1","0","txt",2022-07-19,29,19,"2006",NA,17.479,"B",2022-07-19,"0",NA
"32","2","0","txt",2022-07-19,29,19,"2006",NA,20.755,"B",2022-07-19,"0",NA
"33","3","0","txt",2022-07-19,29,19,"2006",NA,21.595,"B",2022-07-19,"0",NA
"34","1","0","txt",2022-04-27,17,27,"2007",NA,29.795,"B",2022-04-27,"0",NA
"35","2","0","txt",2022-04-27,17,27,"2007",NA,29.003,"B",2022-04-27,"0",NA
"36","3","0","txt",2022-04-27,17,27,"2007",NA,16.573,"B",2022-04-27,"0",NA
"37","1","0","txt",2022-04-04,14,4,"2007",NA,21.548,"B",2022-04-04,"0",NA
"38","2","0","txt",2022-04-04,14,4,"2007",NA,13.072,"B",2022-04-04,"0",NA
"39","3","0","txt",2022-04-04,14,4,"2007",NA,36.239,"B",2022-04-04,"0",NA
"40","1","0","txt",2022-07-19,29,19,"2007",NA,32.303,"B",2022-07-19,"0",NA
"41","2","0","txt",2022-07-19,29,19,"2007",NA,19.703,"B",2022-07-19,"0",NA
"42","3","0","txt",2022-07-19,29,19,"2007",NA,17.857,"B",2022-07-19,"0",NA
"43","1","0","txt",2022-04-04,14,4,"2008",NA,26.426,"B",2022-04-04,"0",NA
"44","2","0","txt",2022-04-04,14,4,"2008",NA,30.991,"B",2022-04-04,"0",NA
"45","3","0","txt",2022-04-04,14,4,"2008",NA,24.088,"B",2022-04-04,"0",NA
"46","1","0","txt",2022-03-30,13,30,"2009",NA,20.239,"B",2022-03-30,"0",NA
"47","2","0","txt",2022-03-30,13,30,"2009",NA,26.665,"B",2022-03-30,"0",NA
"48","3","0","txt",2022-03-30,13,30,"2009",NA,23.959,"B",2022-03-30,"0",NA
"49","4","0","txt",2022-03-30,13,30,"2009",NA,33.638,"B",2022-03-30,"0",NA
"50","5","0","txt",2022-03-30,13,30,"2009",NA,22.994,"B",2022-03-30,"0",NA
"51","6","0","txt",2022-03-30,13,30,"2009",NA,17.116,"B",2022-03-30,"0",NA
"52","1","0","txt",2022-04-25,17,25,"2009",NA,35.268,"B",2022-04-25,"0",NA
"53","2","0","txt",2022-04-25,17,25,"2009",NA,32.056,"B",2022-04-25,"0",NA
"54","3","0","txt",2022-04-25,17,25,"2009",NA,24.25,"B",2022-04-25,"0",NA
"55","1","0","txt",2022-05-23,21,23,"2009",NA,26.321,"B",2022-05-23,"0",NA
"56","2","0","txt",2022-05-23,21,23,"2009",NA,21.758,"B",2022-05-23,"0",NA
"57","3","0","txt",2022-05-23,21,23,"2009",NA,13.715,"B",2022-05-23,"0",NA
"58","1","0","txt",2022-07-19,29,19,"2009",NA,15.585,"B",2022-07-19,"0",NA
"59","2","0","txt",2022-07-19,29,19,"2009",NA,25.335,"B",2022-07-19,"0",NA
"60","3","0","txt",2022-07-19,29,19,"2009",NA,23.4,"B",2022-07-19,"0",NA
"61","1","0","txt",2022-04-25,17,25,"2010",NA,32.976,"B",2022-04-25,"0",NA
"62","2","0","txt",2022-04-25,17,25,"2010",NA,26.048,"B",2022-04-25,"0",NA
"63","3","0","txt",2022-04-25,17,25,"2010",NA,30.164,"B",2022-04-25,"0",NA
"64","1","0","txt",2022-05-23,21,23,"2010",NA,31.499,"B",2022-05-23,"0",NA
"65","2","0","txt",2022-05-23,21,23,"2010",NA,47.289,"B",2022-05-23,"0",NA
"66","3","0","txt",2022-05-23,21,23,"2010",NA,40.646,"B",2022-05-23,"0",NA
"67","1","0","txt",2022-07-19,29,19,"2010",NA,41.416,"B",2022-07-19,"0",NA
"68","2","0","txt",2022-07-19,29,19,"2010",NA,32.972,"B",2022-07-19,"0",NA
"69","3","0","txt",2022-07-19,29,19,"2010",NA,30.399,"B",2022-07-19,"0",NA
"70","4","0","txt",2022-07-19,29,19,"2010",NA,25.553,"B",2022-07-19,"0",NA
"71","5","0","txt",2022-07-19,29,19,"2010",NA,22.885,"B",2022-07-19,"0",NA
"72","6","0","txt",2022-07-19,29,19,"2010",NA,36.141,"B",2022-07-19,"0",NA
"73","1","0","txt",2022-04-25,17,25,"2011",NA,27.748,"B",2022-04-25,"0",NA
"74","2","0","txt",2022-04-25,17,25,"2011",NA,20.709,"B",2022-04-25,"0",NA
"75","3","0","txt",2022-04-25,17,25,"2011",NA,28.311,"B",2022-04-25,"0",NA
"76","1","0","txt",2022-05-23,21,23,"2011",NA,21.451,"B",2022-05-23,"0",NA
"77","2","0","txt",2022-05-23,21,23,"2011",NA,15.039,"B",2022-05-23,"0",NA
"78","3","0","txt",2022-05-23,21,23,"2011",NA,18.489,"B",2022-05-23,"0",NA
"79","1","0","txt",2022-07-19,29,19,"2011",NA,23.136,"B",2022-07-19,"0",NA
"80","2","0","txt",2022-07-19,29,19,"2011",NA,18.519,"B",2022-07-19,"0",NA
"81","3","0","txt",2022-07-19,29,19,"2011",NA,25.467,"B",2022-07-19,"0",NA
"82","1","0","txt",2022-04-27,17,27,"2012",NA,16.266,"B",2022-04-27,"0",NA
"83","2","0","txt",2022-04-27,17,27,"2012",NA,12.928,"B",2022-04-27,"0",NA
"84","3","0","txt",2022-04-27,17,27,"2012",NA,15.298,"B",2022-04-27,"0",NA
"85","1","0","txt",2022-04-04,14,4,"2012",NA,13.289,"B",2022-04-04,"0",NA
"86","2","0","txt",2022-04-04,14,4,"2012",NA,13.729,"B",2022-04-04,"0",NA
"87","3","0","txt",2022-04-04,14,4,"2012",NA,5.928,"B",2022-04-04,"0",NA
"88","1","0","txt",2022-07-19,29,19,"2012",NA,28.44,"B",2022-07-19,"0",NA
"89","2","0","txt",2022-07-19,29,19,"2012",NA,14.727,"B",2022-07-19,"0",NA
"90","3","0","txt",2022-07-19,29,19,"2012",NA,18.08,"B",2022-07-19,"0",NA
"91","1","0","txt",2022-04-04,14,4,"2013",NA,21.807,"B",2022-04-04,"0",NA
"92","2","0","txt",2022-04-04,14,4,"2013",NA,13.067,"B",2022-04-04,"0",NA
"93","3","0","txt",2022-04-04,14,4,"2013",NA,24.131,"B",2022-04-04,"0",NA
"94","1","0","txt",2022-07-19,29,19,"2013",NA,14.733,"B",2022-07-19,"0",NA
"95","3","0","txt",2022-07-19,29,19,"2013",NA,32.635,"B",2022-07-19,"0",NA
"96","1","0","txt",2022-04-04,14,4,"2014",NA,29.365,"B",2022-04-04,"0",NA
"97","2","0","txt",2022-04-04,14,4,"2014",NA,26.01,"B",2022-04-04,"0",NA
"98","3","0","txt",2022-04-04,14,4,"2014",NA,26.735,"B",2022-04-04,"0",NA
"99","1","0","txt",2022-04-27,17,27,"2015",NA,20.585,"B",2022-04-27,"0",NA
"100","2","0","txt",2022-04-27,17,27,"2015",NA,16.392,"B",2022-04-27,"0",NA
"101","3","0","txt",2022-04-27,17,27,"2015",NA,9.982,"B",2022-04-27,"0",NA
"102","1","0","txt",2022-04-04,14,4,"2015",NA,27.126,"B",2022-04-04,"0",NA
"103","2","0","txt",2022-04-04,14,4,"2015",NA,20.048,"B",2022-04-04,"0",NA
"104","3","0","txt",2022-04-04,14,4,"2015",NA,20.566,"B",2022-04-04,"0",NA
"105","1","0","txt",2022-07-19,29,19,"2015",NA,17.122,"B",2022-07-19,"0",NA
"106","2","0","txt",2022-07-19,29,19,"2015",NA,20.286,"B",2022-07-19,"0",NA
"107","3","0","txt",2022-07-19,29,19,"2015",NA,20.363,"B",2022-07-19,"0",NA
"108","1","0","txt",2022-03-30,13,30,"2020",NA,28.882,"B",2022-03-30,"0",NA
"109","2","0","txt",2022-03-30,13,30,"2020",NA,51.102,"B",2022-03-30,"0",NA
"110","3","0","txt",2022-03-30,13,30,"2020",NA,39.945,"B",2022-03-30,"0",NA
"111","1","0","txt",2022-04-27,17,27,"2020",NA,35.975,"B",2022-04-27,"0",NA
"112","2","0","txt",2022-04-27,17,27,"2020",NA,24.361,"B",2022-04-27,"0",NA
"113","3","0","txt",2022-04-27,17,27,"2020",NA,24.352,"B",2022-04-27,"0",NA
"114","1","0","txt",2022-04-04,14,4,"2020",NA,17.28,"B",2022-04-04,"0",NA
"115","2","0","txt",2022-04-04,14,4,"2020",NA,17.881,"B",2022-04-04,"0",NA
"116","3","0","txt",2022-04-04,14,4,"2020",NA,15.827,"B",2022-04-04,"0",NA
"117","1","0","txt",2022-05-23,21,23,"2020",NA,12.116,"B",2022-05-23,"0",NA
"118","2","0","txt",2022-05-23,21,23,"2020",NA,20.363,"B",2022-05-23,"0",NA
"119","3","0","txt",2022-05-23,21,23,"2020",NA,19.433,"B",2022-05-23,"0",NA
"120","1","0","txt",2022-07-19,29,19,"2020",NA,19.63,"B",2022-07-19,"0",NA
"121","2","0","txt",2022-07-19,29,19,"2020",NA,13.61,"B",2022-07-19,"0",NA
"122","3","0","txt",2022-07-19,29,19,"2020",NA,13.975,"B",2022-07-19,"0",NA
"123","1","0","txt",2022-04-27,17,27,"2021",NA,22.918,"B",2022-04-27,"0",NA
"124","2","0","txt",2022-04-27,17,27,"2021",NA,15.404,"B",2022-04-27,"0",NA
"125","3","0","txt",2022-04-27,17,27,"2021",NA,19.235,"B",2022-04-27,"0",NA
"126","1","0","txt",2022-04-04,14,4,"2021",NA,22.617,"B",2022-04-04,"0",NA
"127","3","0","txt",2022-04-04,14,4,"2021",NA,13.269,"B",2022-04-04,"0",NA
"128","2","0","txt",2022-04-04,14,4,"2021",NA,30.128,"B",2022-04-04,"0",NA
"129","1","0","txt",2022-05-23,21,23,"2021",NA,24.506,"B",2022-05-23,"0",NA
"130","2","0","txt",2022-05-23,21,23,"2021",NA,27.174,"B",2022-05-23,"0",NA
"131","3","0","txt",2022-05-23,21,23,"2021",NA,20.582,"B",2022-05-23,"0",NA
"132","1","0","txt",2022-07-19,29,19,"2021",NA,19.176,"B",2022-07-19,"0",NA
"133","2","0","txt",2022-07-19,29,19,"2021",NA,17.049,"B",2022-07-19,"0",NA
"134","3","0","txt",2022-07-19,29,19,"2021",NA,21.822,"B",2022-07-19,"0",NA
"135","1","0","txt",2022-04-27,17,27,"2024",NA,29.53,"B",2022-04-27,"0",NA
"136","2","0","txt",2022-04-27,17,27,"2024",NA,18.249,"B",2022-04-27,"0",NA
"137","3","0","txt",2022-04-27,17,27,"2024",NA,34.068,"B",2022-04-27,"0",NA
"138","1","0","txt",2022-04-04,14,4,"2024",NA,42.191,"B",2022-04-04,"0",NA
"139","2","0","txt",2022-04-04,14,4,"2024",NA,50.501,"B",2022-04-04,"0",NA
"140","3","0","txt",2022-04-04,14,4,"2024",NA,33.536,"B",2022-04-04,"0",NA
"141","1","0","txt",2022-05-23,21,23,"2024",NA,37.982,"B",2022-05-23,"0",NA
"142","2","0","txt",2022-05-23,21,23,"2024",NA,43.101,"B",2022-05-23,"0",NA
"143","3","0","txt",2022-05-23,21,23,"2024",NA,41.033,"B",2022-05-23,"0",NA
"144","1","0","txt",2022-07-19,29,19,"2024",NA,49.277,"B",2022-07-19,"0",NA
"145","2","0","txt",2022-07-19,29,19,"2024",NA,20.074,"B",2022-07-19,"0",NA
"146","3","0","txt",2022-07-19,29,19,"2024",NA,30.615,"B",2022-07-19,"0",NA
"147","1","0","txt",2022-04-27,17,27,"2025",NA,30.381,"B",2022-04-27,"0",NA
"148","2","0","txt",2022-04-27,17,27,"2025",NA,39.133,"B",2022-04-27,"0",NA
"149","3","0","txt",2022-04-27,17,27,"2025",NA,16.387,"B",2022-04-27,"0",NA
"150","1","0","txt",2022-04-04,14,4,"2025",NA,18.167,"B",2022-04-04,"0",NA
"151","2","0","txt",2022-04-04,14,4,"2025",NA,28.613,"B",2022-04-04,"0",NA
"152","3","0","txt",2022-04-04,14,4,"2025",NA,26.915,"B",2022-04-04,"0",NA
"153","1","0","txt",2022-05-23,21,23,"2025",NA,25.503,"B",2022-05-23,"0",NA
"154","2","0","txt",2022-05-23,21,23,"2025",NA,35.98,"B",2022-05-23,"0",NA
"155","3","0","txt",2022-05-23,21,23,"2025",NA,23.069,"B",2022-05-23,"0",NA
"156","1","0","txt",2022-07-19,29,19,"2025",NA,13.982,"B",2022-07-19,"0",NA
"157","2","0","txt",2022-07-19,29,19,"2025",NA,19.538,"B",2022-07-19,"0",NA
"158","3","0","txt",2022-07-19,29,19,"2025",NA,25.493,"B",2022-07-19,"0",NA
"159","1","0","txt",2022-04-27,17,27,"2026",NA,27.081,"B",2022-04-27,"0",NA
"160","2","0","txt",2022-04-27,17,27,"2026",NA,34.503,"B",2022-04-27,"0",NA
"161","3","0","txt",2022-04-27,17,27,"2026",NA,23.973,"B",2022-04-27,"0",NA
"162","1","0","txt",2022-04-04,14,4,"2026",NA,29.42,"B",2022-04-04,"0",NA
"163","2","0","txt",2022-04-04,14,4,"2026",NA,20.134,"B",2022-04-04,"0",NA
"164","3","0","txt",2022-04-04,14,4,"2026",NA,14.847,"B",2022-04-04,"0",NA
"165","1","0","txt",2022-05-23,21,23,"2026",NA,29.336,"B",2022-05-23,"0",NA
"166","2","0","txt",2022-05-23,21,23,"2026",NA,33.493,"B",2022-05-23,"0",NA
"167","3","0","txt",2022-05-23,21,23,"2026",NA,21.808,"B",2022-05-23,"0",NA
"168","1","0","txt",2022-07-19,29,19,"2026",NA,24.801,"B",2022-07-19,"0",NA
"169","2","0","txt",2022-07-19,29,19,"2026",NA,15.584,"B",2022-07-19,"0",NA
"170","3","0","txt",2022-07-19,29,19,"2026",NA,19.653,"B",2022-07-19,"0",NA
"171","1","0","txt",2022-04-27,17,27,"2027",NA,19.823,"B",2022-04-27,"0",NA
"172","2","0","txt",2022-04-27,17,27,"2027",NA,25.445,"B",2022-04-27,"0",NA
"173","3","0","txt",2022-04-27,17,27,"2027",NA,12.468,"B",2022-04-27,"0",NA
"174","1","0","txt",2022-04-04,14,4,"2027",NA,34.17,"B",2022-04-04,"0",NA
"175","2","0","txt",2022-04-04,14,4,"2027",NA,35.955,"B",2022-04-04,"0",NA
"176","3","0","txt",2022-04-04,14,4,"2027",NA,16.634,"B",2022-04-04,"0",NA
"177","1","0","txt",2022-05-23,21,23,"2027",NA,19.843,"B",2022-05-23,"0",NA
"178","2","0","txt",2022-05-23,21,23,"2027",NA,19.13,"B",2022-05-23,"0",NA
"179","3","0","txt",2022-05-23,21,23,"2027",NA,12.483,"B",2022-05-23,"0",NA
"180","1","0","txt",2022-07-19,29,19,"2027",NA,7.461,"B",2022-07-19,"0",NA
"181","2","0","txt",2022-07-19,29,19,"2027",NA,10.674,"B",2022-07-19,"0",NA
"182","3","0","txt",2022-07-19,29,19,"2027",NA,30.59,"B",2022-07-19,"0",NA
"183","1","0","txt",2022-04-27,17,27,"2028",NA,17.05,"B",2022-04-27,"0",NA
"184","2","0","txt",2022-04-27,17,27,"2028",NA,37.178,"B",2022-04-27,"0",NA
"185","3","0","txt",2022-04-27,17,27,"2028",NA,52.258,"B",2022-04-27,"0",NA
"186","1","0","txt",2022-04-04,14,4,"2028",NA,30.389,"B",2022-04-04,"0",NA
"187","1","1","txt",2022-04-04,14,4,"2028",NA,108.891,"B",2022-04-04,"1",NA
"188","2","0","txt",2022-04-04,14,4,"2028",NA,29.053,"B",2022-04-04,"0",NA
"189","2","1","txt",2022-04-04,14,4,"2028",NA,100.319,"B",2022-04-04,"1",NA
"190","3","0","txt",2022-04-04,14,4,"2028",NA,17.467,"B",2022-04-04,"0",NA
"191","3","1","txt",2022-04-04,14,4,"2028",NA,31.603,"B",2022-04-04,"1",NA
"192","1","0","txt",2022-05-23,21,23,"2028",NA,25.329,"B",2022-05-23,"0",NA
"193","2","0","txt",2022-05-23,21,23,"2028",NA,20.023,"B",2022-05-23,"0",NA
"194","3","0","txt",2022-05-23,21,23,"2028",NA,14.948,"B",2022-05-23,"0",NA
"195","1","0","txt",2022-07-19,29,19,"2028",NA,33.774,"B",2022-07-19,"0",NA
"196","2","0","txt",2022-07-19,29,19,"2028",NA,21.836,"B",2022-07-19,"0",NA
"197","3","0","txt",2022-07-19,29,19,"2028",NA,29.665,"B",2022-07-19,"0",NA
"198","1","0","txt",2022-04-27,17,27,"2031",NA,26.292,"B",2022-04-27,"0",NA
"199","2","0","txt",2022-04-27,17,27,"2031",NA,33.114,"B",2022-04-27,"0",NA
"200","3","0","txt",2022-04-27,17,27,"2031",NA,21.452,"B",2022-04-27,"0",NA
"201","1","0","txt",2022-04-04,14,4,"2031",NA,46.243,"B",2022-04-04,"0",NA
"202","2","0","txt",2022-04-04,14,4,"2031",NA,9.77,"B",2022-04-04,"0",NA
"203","3","0","txt",2022-04-04,14,4,"2031",NA,40.556,"B",2022-04-04,"0",NA
"204","1","0","txt",2022-07-19,29,19,"2031",NA,19.296,"B",2022-07-19,"0",NA
"205","2","0","txt",2022-07-19,29,19,"2031",NA,15.15,"B",2022-07-19,"0",NA
"206","3","0","txt",2022-07-19,29,19,"2031",NA,19.189,"B",2022-07-19,"0",NA
"207","1","0","txt",2022-04-27,17,27,"2085",NA,26.946,"B",2022-04-27,"0",NA
"208","2","0","txt",2022-04-27,17,27,"2085",NA,18.963,"B",2022-04-27,"0",NA
"209","3","0","txt",2022-04-27,17,27,"2085",NA,40.921,"B",2022-04-27,"0",NA
"210","1","0","txt",2022-04-04,14,4,"2085",NA,14.504,"B",2022-04-04,"0",NA
"211","2","0","txt",2022-04-04,14,4,"2085",NA,21.133,"B",2022-04-04,"0",NA
"212","3","0","txt",2022-04-04,14,4,"2085",NA,21.936,"B",2022-04-04,"0",NA
"213","1","0","txt",2022-07-19,29,19,"2085",NA,38.944,"B",2022-07-19,"0",NA
"214","2","0","txt",2022-07-19,29,19,"2085",NA,25.657,"B",2022-07-19,"0",NA
"215","3","0","txt",2022-07-19,29,19,"2085",NA,17.989,"B",2022-07-19,"0",NA
"216","1","0","txt",2022-04-27,17,27,"2086",NA,57.279,"B",2022-04-27,"0",NA
"217","2","0","txt",2022-04-27,17,27,"2086",NA,50.859,"B",2022-04-27,"0",NA
"218","3","0","txt",2022-04-27,17,27,"2086",NA,74.293,"B",2022-04-27,"0",NA
"219","1","0","txt",2022-04-04,14,4,"2086",NA,46.02,"B",2022-04-04,"0",NA
"220","2","0","txt",2022-04-04,14,4,"2086",NA,35.534,"B",2022-04-04,"0",NA
"221","3","0","txt",2022-04-04,14,4,"2086",NA,44.611,"B",2022-04-04,"0",NA
"222","1","0","txt",2022-07-19,29,19,"2086",NA,54,"B",2022-07-19,"0",NA
"223","2","0","txt",2022-07-19,29,19,"2086",NA,30.261,"B",2022-07-19,"0",NA
"224","3","0","txt",2022-07-19,29,19,"2086",NA,24.494,"B",2022-07-19,"0",NA
"225","1","0","txt",2022-04-27,17,27,"2087",NA,28.873,"B",2022-04-27,"0",NA
"226","2","0","txt",2022-04-27,17,27,"2087",NA,37.159,"B",2022-04-27,"0",NA
"227","3","0","txt",2022-04-27,17,27,"2087",NA,27.046,"B",2022-04-27,"0",NA
"228","1","0","txt",2022-04-04,14,4,"2087",NA,68.22,"B",2022-04-04,"0",NA
"229","2","0","txt",2022-04-04,14,4,"2087",NA,32.345,"B",2022-04-04,"0",NA
"230","3","0","txt",2022-04-04,14,4,"2087",NA,34.271,"B",2022-04-04,"0",NA
"231","1","0","txt",2022-07-19,29,19,"2087",NA,17.375,"B",2022-07-19,"0",NA
"232","2","0","txt",2022-07-19,29,19,"2087",NA,22.988,"B",2022-07-19,"0",NA
"233","3","0","txt",2022-07-19,29,19,"2087",NA,19.792,"B",2022-07-19,"0",NA
"234","1","0","txt",2022-04-27,17,27,"2088",NA,30.35,"B",2022-04-27,"0",NA
"235","2","0","txt",2022-04-27,17,27,"2088",NA,26.218,"B",2022-04-27,"0",NA
"236","3","0","txt",2022-04-27,17,27,"2088",NA,26.778,"B",2022-04-27,"0",NA
"237","1","0","txt",2022-04-04,14,4,"2088",NA,10.168,"B",2022-04-04,"0",NA
"238","2","0","txt",2022-04-04,14,4,"2088",NA,16.239,"B",2022-04-04,"0",NA
"239","3","0","txt",2022-04-04,14,4,"2088",NA,26.417,"B",2022-04-04,"0",NA
"240","1","0","txt",2022-07-19,29,19,"2088",NA,29.398,"B",2022-07-19,"0",NA
"241","2","0","txt",2022-07-19,29,19,"2088",NA,24.759,"B",2022-07-19,"0",NA
"242","3","0","txt",2022-07-19,29,19,"2088",NA,23.846,"B",2022-07-19,"0",NA
"243","1","0","txt",2022-04-27,17,27,"2090",NA,29.421,"B",2022-04-27,"0",NA
"244","2","0","txt",2022-04-27,17,27,"2090",NA,35.085,"B",2022-04-27,"0",NA
"245","3","0","txt",2022-04-27,17,27,"2090",NA,19.848,"B",2022-04-27,"0",NA
"246","1","0","txt",2022-04-04,14,4,"2090",NA,25.116,"B",2022-04-04,"0",NA
"247","2","0","txt",2022-04-04,14,4,"2090",NA,31.618,"B",2022-04-04,"0",NA
"248","3","0","txt",2022-04-04,14,4,"2090",NA,20.186,"B",2022-04-04,"0",NA
"249","1","0","txt",2022-07-19,29,19,"2090",NA,17.652,"B",2022-07-19,"0",NA
"250","2","0","txt",2022-07-19,29,19,"2090",NA,24.689,"B",2022-07-19,"0",NA
"251","3","0","txt",2022-07-19,29,19,"2090",NA,34.564,"B",2022-07-19,"0",NA
"252","1","0","txt",2022-05-23,21,23,"2301",NA,22.763,"B",2022-05-23,"0",NA
"253","2","0","txt",2022-05-23,21,23,"2301",NA,37.052,"B",2022-05-23,"0",NA
"254","3","0","txt",2022-05-23,21,23,"2301",NA,15.554,"B",2022-05-23,"0",NA
"255","1","0","txt",2022-03-30,13,30,"2343",NA,32.975,"B",2022-03-30,"0",NA
"256","2","0","txt",2022-03-30,13,30,"2343",NA,33.701,"B",2022-03-30,"0",NA
"257","3","0","txt",2022-03-30,13,30,"2343",NA,33.193,"B",2022-03-30,"0",NA
"258","1","0","txt",2022-04-25,17,25,"2343",NA,31.878,"B",2022-04-25,"0",NA
"259","2","0","txt",2022-04-25,17,25,"2343",NA,41.22,"B",2022-04-25,"0",NA
"260","3","0","txt",2022-04-25,17,25,"2343",NA,36.887,"B",2022-04-25,"0",NA
"261","1","0","txt",2022-07-19,29,19,"2343",NA,42.123,"B",2022-07-19,"0",NA
"262","2","0","txt",2022-07-19,29,19,"2343",NA,49.042,"B",2022-07-19,"0",NA
"263","3","0","txt",2022-07-19,29,19,"2343",NA,35.318,"B",2022-07-19,"0",NA
"264","1","0","txt",2022-03-30,13,30,"2346",NA,18.816,"B",2022-03-30,"0",NA
"265","2","0","txt",2022-03-30,13,30,"2346",NA,24.348,"B",2022-03-30,"0",NA
"266","3","0","txt",2022-03-30,13,30,"2346",NA,22.534,"B",2022-03-30,"0",NA
"267","1","0","txt",2022-04-25,17,25,"2346",NA,16.382,"B",2022-04-25,"0",NA
"268","2","0","txt",2022-04-25,17,25,"2346",NA,10.337,"B",2022-04-25,"0",NA
"269","3","0","txt",2022-04-25,17,25,"2346",NA,15.292,"B",2022-04-25,"0",NA
"270","1","0","txt",2022-05-23,21,23,"2346",NA,11.26,"B",2022-05-23,"0",NA
"271","2","0","txt",2022-05-23,21,23,"2346",NA,11.782,"B",2022-05-23,"0",NA
"272","3","0","txt",2022-05-23,21,23,"2346",NA,7.476,"B",2022-05-23,"0",NA
"273","1","0","txt",2022-07-19,29,19,"2346",NA,10.887,"B",2022-07-19,"0",NA
"274","2","0","txt",2022-07-19,29,19,"2346",NA,16.113,"B",2022-07-19,"0",NA
"275","3","0","txt",2022-07-19,29,19,"2346",NA,11.931,"B",2022-07-19,"0",NA
"276","1","0","txt",2022-03-30,13,30,"2347",NA,36.051,"B",2022-03-30,"0",NA
"277","2","0","txt",2022-03-30,13,30,"2347",NA,16.158,"B",2022-03-30,"0",NA
"278","3","0","txt",2022-03-30,13,30,"2347",NA,21.112,"B",2022-03-30,"0",NA
"279","1","0","txt",2022-04-25,17,25,"2347",NA,31.202,"B",2022-04-25,"0",NA
"280","2","0","txt",2022-04-25,17,25,"2347",NA,28.486,"B",2022-04-25,"0",NA
"281","3","0","txt",2022-04-25,17,25,"2347",NA,32.32,"B",2022-04-25,"0",NA
"282","1","0","txt",2022-05-23,21,23,"2347",NA,27.063,"B",2022-05-23,"0",NA
"283","2","0","txt",2022-05-23,21,23,"2347",NA,15.161,"B",2022-05-23,"0",NA
"284","3","0","txt",2022-05-23,21,23,"2347",NA,18.624,"B",2022-05-23,"0",NA
"285","1","0","txt",2022-07-19,29,19,"2347",NA,22.809,"B",2022-07-19,"0",NA
"286","2","0","txt",2022-07-19,29,19,"2347",NA,34.651,"B",2022-07-19,"0",NA
"287","3","0","txt",2022-07-19,29,19,"2347",NA,10.145,"B",2022-07-19,"0",NA
"288","1","0","txt",2022-04-25,17,25,"234x",NA,23.696,"B",2022-04-25,"0",NA
"289","2","0","txt",2022-04-25,17,25,"234x",NA,20.472,"B",2022-04-25,"0",NA
