effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
ran_pars,week,cor__(Intercept).lwa_g_cm2_new,NA,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new,49.3028401627222,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,site,sd__(Intercept),0.48814228534946186,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.8285046558310644,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,(Intercept),-2.3100587233553918,0.4419068350524505,-5.227479052414313,8.010243826116872,7.920525844407311e-4,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new,41.8802794395884,30.550079732365155,1.3708729995627436,7.5189880746303315,0.20993362726038942,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),0.5992509182717803,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,cor__(Intercept).lwa_g_cm2_new,-0.999999999737653,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__lwa_g_cm2_new,39.813728391775314,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__(Intercept),0,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,cor__(Intercept).lwa_g_cm2_new,NA,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new,49.3028401627222,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,site,sd__(Intercept),0.48814228534946186,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.8285046558310644,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,NA,NA,space,41,0.4489658050044876,-31.799941195632876,77.59988239126575,89.5948868581959,63.59988239126575,34,NA,0.0036730748747102345,0.48713739436307,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,NA,NA,hyd,130,0.8285046558310644,-169.54562387112313,359.09124774224625,387.7665922468021,NA,120,339.09124774224625,0.01910223185536408,0.5216736833128213,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,NA,NA,time,61,0.48391598972271005,-44.353552325560436,106.70710465112087,125.70496942868067,NA,52,88.70710465112087,0.1332965831892546,0.6305345440094758,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,NA,NA,interaction,61,0.4712359592533018,-49.53266115464139,115.06532230928278,131.95231322266926,NA,53,99.06532230928278,0.13165471351886354,0.6040864412206998,lwa_g_cm2_new
