"","site","week","tree","date","plot","species","mpa","time","date_wp","cwc","date_shift","week_cwc_link"
"144","Chamise",14,"2021",2022-04-04,"Chamise","blue oak",2.8,"md",2022-04-04,NA,NA,NA
"145","Chamise",14,"2021",2022-04-04,"Chamise","blue oak",0.108,"pd",2022-04-04,NA,NA,NA
"146","Chamise",14,"2021",2022-04-04,"Chamise","blue oak",0.138,"pd",2022-04-04,NA,NA,NA
"147","Chamise",14,"2021",2022-04-04,"Chamise","blue oak",0.279,"pd",2022-04-04,NA,NA,NA
"148","Chamise",14,"2021",2022-04-04,"Chamise","blue oak",0.208,"pd",2022-04-04,NA,NA,NA
"149","Chamise",14,"2021",2022-04-05,NA,NA,NA,NA,NA,0.0621053,2022-04-05,14
"150","Chamise",14,"2022",2022-04-04,"Chamise","live oak",0.278,"pd",2022-04-04,NA,NA,NA
"151","Chamise",14,"2022",2022-04-04,"Chamise","live oak",0.147,"pd",2022-04-04,NA,NA,NA
"152","Chamise",14,"2022",2022-04-04,"Chamise","live oak",0.17,"pd",2022-04-04,NA,NA,NA
"153","Chamise",14,"2022",2022-04-04,"Chamise","live oak",0.156,"pd",2022-04-04,NA,NA,NA
"154","Chamise",14,"2022",2022-04-05,NA,NA,NA,NA,NA,0.0652834,2022-04-05,14
"155","Chamise",14,"2023",2022-04-04,"Chamise","live oak",0.396,"pd",2022-04-04,NA,NA,NA
"156","Chamise",14,"2023",2022-04-04,"Chamise","live oak",0.503,"pd",2022-04-04,NA,NA,NA
"157","Chamise",14,"2023",2022-04-04,"Chamise","live oak",0.318,"pd",2022-04-04,NA,NA,NA
"158","Chamise",14,"2023",2022-04-04,"Chamise","live oak",0.178,"pd",2022-04-04,NA,NA,NA
"159","Chamise",14,"2023",2022-04-04,"Chamise","live oak",0.22,"pd",2022-04-04,NA,NA,NA
"160","Chamise",14,"2023",2022-04-05,NA,NA,NA,NA,NA,0.0834795,2022-04-05,14
"161","Chamise",14,"2024",2022-04-04,"Chamise","blue oak",2.2,"md",2022-04-04,NA,NA,NA
"162","Chamise",14,"2024",2022-04-04,"Chamise","blue oak",2.3,"md",2022-04-04,NA,NA,NA
"163","Chamise",14,"2024",2022-04-04,"Chamise","blue oak",0.405,"pd",2022-04-04,NA,NA,NA
"164","Chamise",14,"2024",2022-04-04,"Chamise","blue oak",0.445,"pd",2022-04-04,NA,NA,NA
"165","Chamise",14,"2024",2022-04-04,"Chamise","blue oak",0.389,"pd",2022-04-04,NA,NA,NA
"166","Chamise",14,"2024",2022-04-05,NA,NA,NA,NA,NA,0.0355296,2022-04-05,14
"167","Chamise",14,"2025",2022-04-04,"Chamise","blue oak",0.101,"pd",2022-04-04,NA,NA,NA
"168","Chamise",14,"2025",2022-04-04,"Chamise","blue oak",0.05,"pd",2022-04-04,NA,NA,NA
"169","Chamise",14,"2025",2022-04-04,"Chamise","blue oak",0.12,"pd",2022-04-04,NA,NA,NA
"170","Chamise",14,"2025",2022-04-04,"Chamise","blue oak",0.113,"pd",2022-04-04,NA,NA,NA
"171","Chamise",14,"2025",2022-04-04,"Chamise","blue oak",0.144,"pd",2022-04-04,NA,NA,NA
"172","Chamise",14,"2025",2022-04-05,NA,NA,NA,NA,NA,0.0605638,2022-04-05,14
"173","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",2.3,"md",2022-04-04,NA,NA,NA
"174","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",3.5,"md",2022-04-04,NA,NA,NA
"175","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",2.5,"md",2022-04-04,NA,NA,NA
"176","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",2.1,"md",2022-04-04,NA,NA,NA
"177","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",0.508,"pd",2022-04-04,NA,NA,NA
"178","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",0.475,"pd",2022-04-04,NA,NA,NA
"179","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",0.424,"pd",2022-04-04,NA,NA,NA
"180","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",0.391,"pd",2022-04-04,NA,NA,NA
"181","Chamise",14,"2026",2022-04-04,"Shedd","blue oak",0.394,"pd",2022-04-04,NA,NA,NA
"182","Chamise",14,"2026",2022-04-05,NA,NA,NA,NA,NA,0.0264174,2022-04-05,14
"183","Chamise",14,"2027",2022-04-04,"Shedd","blue oak",0.608,"pd",2022-04-04,NA,NA,NA
"184","Chamise",14,"2027",2022-04-04,"Shedd","blue oak",0.528,"pd",2022-04-04,NA,NA,NA
"185","Chamise",14,"2027",2022-04-04,"Shedd","blue oak",0.582,"pd",2022-04-04,NA,NA,NA
"186","Chamise",14,"2027",2022-04-05,NA,NA,NA,NA,NA,0.0697813,2022-04-05,14
"187","Chamise",14,"2028",2022-04-04,"Shedd","blue oak",0.475,"pd",2022-04-04,NA,NA,NA
"188","Chamise",14,"2028",2022-04-04,"Shedd","blue oak",0.688,"pd",2022-04-04,NA,NA,NA
"189","Chamise",14,"2028",2022-04-04,"Shedd","blue oak",0.428,"pd",2022-04-04,NA,NA,NA
"190","Chamise",14,"2028",2022-04-04,"Shedd","blue oak",0.556,"pd",2022-04-04,NA,NA,NA
"191","Chamise",14,"2028",2022-04-05,NA,NA,NA,NA,NA,0.0763207,2022-04-05,14
"192","Chamise",14,"2029",2022-04-04,"Shedd","live oak",0.158,"pd",2022-04-04,NA,NA,NA
"193","Chamise",14,"2029",2022-04-04,"Shedd","live oak",0.215,"pd",2022-04-04,NA,NA,NA
"194","Chamise",14,"2029",2022-04-04,"Shedd","live oak",0.218,"pd",2022-04-04,NA,NA,NA
"195","Chamise",14,"2029",2022-04-04,"Shedd","live oak",0.324,"pd",2022-04-04,NA,NA,NA
"196","Chamise",14,"2029",2022-04-04,"Shedd","live oak",0.258,"pd",2022-04-04,NA,NA,NA
"197","Chamise",14,"2029",2022-04-05,NA,NA,NA,NA,NA,0.0642989,2022-04-05,14
"198","Chamise",14,"2030",2022-04-04,"Shedd","live oak",0.065,"pd",2022-04-04,NA,NA,NA
"199","Chamise",14,"2030",2022-04-04,"Shedd","live oak",0.222,"pd",2022-04-04,NA,NA,NA
"200","Chamise",14,"2030",2022-04-04,"Shedd","live oak",0.268,"pd",2022-04-04,NA,NA,NA
"201","Chamise",14,"2030",2022-04-04,"Shedd","live oak",0.18,"pd",2022-04-04,NA,NA,NA
"202","Chamise",14,"2030",2022-04-04,"Shedd","live oak",0.208,"pd",2022-04-04,NA,NA,NA
"203","Chamise",14,"2030",2022-04-05,NA,NA,NA,NA,NA,0.0328956,2022-04-05,14
"204","Chamise",14,"2031",2022-04-04,"Shedd","blue oak",0.212,"pd",2022-04-04,NA,NA,NA
"205","Chamise",14,"2031",2022-04-04,"Shedd","blue oak",0.188,"pd",2022-04-04,NA,NA,NA
"206","Chamise",14,"2031",2022-04-04,"Shedd","blue oak",0.328,"pd",2022-04-04,NA,NA,NA
"207","Chamise",14,"2031",2022-04-04,"Shedd","blue oak",0.248,"pd",2022-04-04,NA,NA,NA
"208","Chamise",14,"2031",2022-04-05,NA,NA,NA,NA,NA,0.0239987,2022-04-05,14
"209","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.944,"pd",2022-04-04,NA,NA,NA
"210","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.82,"pd",2022-04-04,NA,NA,NA
"211","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.826,"pd",2022-04-04,NA,NA,NA
"212","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.831,"pd",2022-04-04,NA,NA,NA
"213","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.862,"pd",2022-04-04,NA,NA,NA
"214","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.904,"pd",2022-04-04,NA,NA,NA
"215","Chamise",14,NA,2022-04-04,"Chamise","LEU",0.8,"pd",2022-04-04,NA,NA,NA
"216","Chamise",15,"2020",2022-04-12,NA,NA,NA,NA,NA,0,2022-04-12,15
"217","Chamise",15,"2020",2022-04-13,"Chamise","blue oak",2.3,"md",2022-04-13,NA,NA,NA
"218","Chamise",15,"2020",2022-04-13,"Chamise","blue oak",2.2,"md",2022-04-13,NA,NA,NA
"219","Chamise",15,"2020",2022-04-13,"Chamise","blue oak",2,"md",2022-04-13,NA,NA,NA
"220","Chamise",15,"2021",2022-04-12,NA,NA,NA,NA,NA,0.0084689,2022-04-12,15
"221","Chamise",15,"2021",2022-04-13,"Chamise","blue oak",2.4,"md",2022-04-13,NA,NA,NA
"222","Chamise",15,"2021",2022-04-13,"Chamise","blue oak",1.7,"md",2022-04-13,NA,NA,NA
"223","Chamise",15,"2021",2022-04-13,"Chamise","blue oak",1.83,"md",2022-04-13,NA,NA,NA
"224","Chamise",15,"2022",2022-04-12,NA,NA,NA,NA,NA,0.0152992,2022-04-12,15
"225","Chamise",15,"2023",2022-04-12,NA,NA,NA,NA,NA,0.023179,2022-04-12,15
"226","Chamise",15,"2024",2022-04-12,NA,NA,NA,NA,NA,2e-07,2022-04-12,15
"227","Chamise",15,"2024",2022-04-13,"Chamise","blue oak",1.85,"md",2022-04-13,NA,NA,NA
"228","Chamise",15,"2024",2022-04-13,"Chamise","blue oak",2.56,"md",2022-04-13,NA,NA,NA
"229","Chamise",15,"2024",2022-04-13,"Chamise","blue oak",2.6,"md",2022-04-13,NA,NA,NA
"230","Chamise",15,"2025",2022-04-12,NA,NA,NA,NA,NA,0.0061813,2022-04-12,15
"231","Chamise",15,"2025",2022-04-13,"Chamise","blue oak",1.471,"md",2022-04-13,NA,NA,NA
"232","Chamise",15,"2025",2022-04-13,"Chamise","blue oak",2.231,"md",2022-04-13,NA,NA,NA
"233","Chamise",15,"2025",2022-04-13,"Chamise","blue oak",1.447,"md",2022-04-13,NA,NA,NA
"234","Chamise",15,"2025",2022-04-13,"Chamise","blue oak",1.553,"md",2022-04-13,NA,NA,NA
"235","Chamise",15,"2026",2022-04-12,NA,NA,NA,NA,NA,0,2022-04-12,15
"236","Chamise",15,"2026",2022-04-13,"Shedd","blue oak",1.731,"md",2022-04-13,NA,NA,NA
"237","Chamise",15,"2026",2022-04-13,"Shedd","blue oak",1.702,"md",2022-04-13,NA,NA,NA
"238","Chamise",15,"2026",2022-04-13,"Shedd","blue oak",1.658,"md",2022-04-13,NA,NA,NA
"239","Chamise",15,"2027",2022-04-12,NA,NA,NA,NA,NA,0.0079662,2022-04-12,15
"240","Chamise",15,"2027",2022-04-13,"Shedd","blue oak",2.287,"md",2022-04-13,NA,NA,NA
"241","Chamise",15,"2027",2022-04-13,"Shedd","blue oak",2.371,"md",2022-04-13,NA,NA,NA
"242","Chamise",15,"2027",2022-04-13,"Shedd","blue oak",2.19,"md",2022-04-13,NA,NA,NA
"243","Chamise",15,"2027",2022-04-13,"Shedd","blue oak",2.314,"md",2022-04-13,NA,NA,NA
"244","Chamise",15,"2028",2022-04-12,NA,NA,NA,NA,NA,0.0272247,2022-04-12,15
"245","Chamise",15,"2028",2022-04-13,"Shedd","blue oak",1.469,"md",2022-04-13,NA,NA,NA
"246","Chamise",15,"2028",2022-04-13,"Shedd","blue oak",1.762,"md",2022-04-13,NA,NA,NA
"247","Chamise",15,"2028",2022-04-13,"Shedd","blue oak",1.761,"md",2022-04-13,NA,NA,NA
"248","Chamise",15,"2029",2022-04-12,NA,NA,NA,NA,NA,0.0159369,2022-04-12,15
"249","Chamise",15,"2030",2022-04-12,NA,NA,NA,NA,NA,0,2022-04-12,15
"250","Chamise",15,"2031",2022-04-12,NA,NA,NA,NA,NA,0,2022-04-12,15
"251","Chamise",15,"2031",2022-04-13,"Shedd","blue oak",1.731,"md",2022-04-13,NA,NA,NA
"252","Chamise",15,"2031",2022-04-13,"Shedd","blue oak",2.201,"md",2022-04-13,NA,NA,NA
"253","Chamise",15,"2031",2022-04-13,"Shedd","blue oak",2.081,"md",2022-04-13,NA,NA,NA
"254","Chamise",16,"2020",2022-04-20,NA,NA,NA,NA,NA,0,2022-04-20,16
"255","Chamise",16,"2021",2022-04-20,NA,NA,NA,NA,NA,0.0234377,2022-04-20,16
"256","Chamise",16,"2022",2022-04-20,NA,NA,NA,NA,NA,0.0025339,2022-04-20,16
