tree_id,date,pd_ md,dm_1,dm_2,dm_3,notes
2380,2022-05-09,md,1.378,1.4524,1.3553,
2369,2022-05-09,md,0.5253,0.5579,0.5188,
2020,2022-05-09,md,0.995,1.0577,0.977,y0
2093,2022-05-09,md,0.9065,0.9564,0.8915,y1
2345,2022-05-09,md,0.5504,0.579,0.54,y1
2365,2022-05-09,md,0.9308,0.9887,0.9144,
2371,2022-05-09,md,0.899,0.9532,0.8777,
2367,2022-05-09,md,0.8552,0.9123,0.8368,
2085,2022-05-09,md,0.6851,0.728,0.6696,
2005,2022-05-09,md,0.6279,0.6704,0.6139,
2023,2022-05-09,md,1.1541,1.2203,1.1342,y1
2007,2022-05-09,md,0.3739,0.3977,0.3663,
2015,2022-05-09,md,0.4036,0.4292,0.3946,
2347,2022-05-09,md,0.8076,0.8615,0.7881,
2352,2022-05-09,md,0.3643,0.385,0.3548,
2354,2022-05-09,md,0.7573,0.8005,0.7439,
2375,2022-05-09,md,0.9088,0.9673,0.8895,
2010,2022-05-09,md,2.8126,3.0069,2.7669,
2384,2022-05-09,md,1.4462,1.5402,1.4185,
2364,2022-05-09,md,0.9361,0.9923,0.9168,
2029,2022-05-09,md,0.6351,0.6764,0.6225,y0
2093,2022-05-09,md,0.551,0.5823,0.5414,y0
2376,2022-05-09,md,0.8349,0.8808,0.8193,y1
2091,2022-05-09,md,0.7436,0.7866,0.727,y0
2004,2022-05-09,md,0.3409,0.3631,0.3353,
2011,2022-05-09,md,0.8041,0.8536,0.7851,
2090,2022-05-09,md,0.4201,0.4473,0.4113,
2031,2022-05-09,md,1.389,1.4742,1.3609,
2021,2022-05-09,md,0.5536,0.5899,0.5415,
2022,2022-05-09,md,1.1778,1.2408,1.1466,
2370,2022-05-09,md,0.6274,0.6662,0.615,
2027,2022-05-09,md,0.9928,1.0551,0.9698,
2089,2022-05-09,md,0.5982,0.6366,0.5848,y0
1475,2022-05-09,md,1.0036,1.0674,0.9793,
2026,2022-05-09,md,0.9933,1.0577,0.9701,
2378,2022-05-09,md,0.9143,0.9723,0.8959,
2310,2022-05-09,md,1.7589,1.8569,1.7206,
2092,2022-05-09,md,0.2304,0.2432,0.2253,y0
2089,2022-05-09,md,0.6577,0.6933,0.6437,y1
2025,2022-05-09,md,1.0936,1.1647,1.0704,
2084,2022-05-09,md,1.1452,1.2168,1.1194,
2343,2022-05-09,md,1.2233,1.3012,1.1999,
2024,2022-05-09,md,0.6217,0.6602,0.6112,
2092,2022-05-09,md,0.7308,0.7706,0.7172,y1
2030,2022-05-09,md,0.4604,0.4873,0.4537,y0
2020,2022-05-09,md,NA,0.9876,0.9087,
2086,2022-05-09,md,1.4427,1.5286,1.4104,
2029,2022-05-09,md,0.4294,0.4538,0.4204,y1
2377,2022-05-09,md,1.0575,1.1161,1.0378,
2372,2022-05-09,md,0.4875,0.5184,0.4757,
2030,2022-05-09,md,0.6478,0.6813,0.6362,y1
2009,2022-05-09,md,0.8239,0.8795,0.8088,
2345,2022-05-09,md,0.1064,0.1109,0.1034,y0
2013,2022-05-09,md,0.4598,0.4861,0.446,
2006,2022-05-09,md,0.8142,0.8681,0.7941,
2023,2022-05-09,md,0.5434,0.5754,0.5318,y0
2346,2022-05-09,md,1.0674,1.1339,1.0538,
2012,2022-05-09,md,0.4112,0.4378,0.4016,
2083,2022-05-09,md,0.9134,0.9697,0.8924,
2382,2022-05-09,md,0.4786,0.5078,0.4667,
CUCU ARCA,2022-05-09,md,NA,0.8267,0.7625,
CUCU LEU,2022-05-09,md,NA,0.1744,0.1609,
LL LEU,2022-05-09,md,NA,0.3119,0.2891,
